PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,
1,9.2272E+05,0.0000E+00,0.0000E+00,0.0000E+00,9.2272E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9925E+04,4.2612E+04,1.1254E+05,1.5568E+05,2.2984E+05,1.3559E+05,1.7251E+05,8.2377E+03,7.1003E+03,1.6281E+04,6.8864E+02,9.5296E+02,7.4735E+02,,,,,,
1.5,4.1068E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.1068E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3279E+04,2.7358E+04,6.3702E+04,7.8652E+04,1.1321E+05,3.8062E+04,4.8094E+04,4.3813E+03,4.0945E+03,8.6634E+03,3.3569E+02,4.5720E+02,3.8404E+02,,,,,,
1.596,3.6067E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.6067E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1282E+04,2.5257E+04,5.7855E+04,6.9671E+04,9.9947E+04,3.0984E+04,3.9109E+04,3.9649E+03,3.7381E+03,7.8190E+03,2.9663E+02,4.0309E+02,3.4607E+02,,,,,,
1.6088,6.1797E+05,0.0000E+00,0.0000E+00,2.6331E+05,3.5466E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6331E+05,2.1034E+04,2.4993E+04,5.7135E+04,6.8574E+04,9.8328E+04,3.0169E+04,3.8074E+04,3.9141E+03,3.6941E+03,7.7157E+03,2.9187E+02,3.9652E+02,3.4144E+02,,,,,,
1.6492,1.0556E+06,0.0000E+00,0.0000E+00,7.1911E+05,3.3652E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.1911E+05,2.0276E+04,2.4180E+04,5.4937E+04,6.5239E+04,9.3416E+04,2.7756E+04,3.5015E+04,3.7596E+03,3.5596E+03,7.4012E+03,2.7748E+02,3.7245E+02,3.2738E+02,,,,,,
1.6624,1.2212E+06,0.0000E+00,0.0000E+00,8.9036E+05,3.3087E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6514E+05,7.2521E+05,2.0038E+04,2.3922E+04,5.4245E+04,6.4194E+04,9.1879E+04,2.7021E+04,3.4082E+04,3.7112E+03,3.5172E+03,7.3025E+03,2.7297E+02,3.6628E+02,3.2298E+02,,,,,,
2,9.9998E+05,0.0000E+00,0.0000E+00,7.7787E+05,2.2212E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.2052E+05,4.5735E+05,1.5129E+04,1.8422E+04,4.0005E+04,4.3379E+04,6.1502E+04,1.4322E+04,1.8006E+04,2.7361E+03,2.6416E+03,5.3082E+03,1.8676E+02,2.4494E+02,2.3503E+02,,,,,,
2.0141,9.8245E+05,0.0000E+00,0.0000E+00,7.6371E+05,2.1873E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.1474E+05,4.4897E+05,1.4964E+04,1.8232E+04,3.9531E+04,4.2712E+04,6.0536E+04,1.3975E+04,1.7568E+04,2.7042E+03,2.6122E+03,5.2428E+03,1.8389E+02,2.4109E+02,2.3219E+02,,,,,,
2.0302,1.1182E+06,0.0000E+00,0.0000E+00,9.0330E+05,2.1494E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5537E+05,3.0830E+05,4.3963E+05,1.4779E+04,1.8017E+04,3.8998E+04,4.1963E+04,5.9452E+04,1.3590E+04,1.7081E+04,2.6684E+03,2.5791E+03,5.1693E+03,1.8066E+02,2.3677E+02,2.2900E+02,,,,,,
2.2562,8.6652E+05,0.0000E+00,0.0000E+00,6.9634E+05,1.7018E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2996E+05,2.3412E+05,3.3226E+05,1.2502E+04,1.5342E+04,3.2466E+04,3.3032E+04,4.6553E+04,9.3522E+03,1.1733E+04,2.2334E+03,2.1724E+03,4.2769E+03,1.4226E+02,1.8551E+02,1.9043E+02,,,,,,
