PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,5s1/2,,,,,,,,,,,,,,,
6,3.5850E+04,0.0000E+00,3.0258E+04,4.9893E+03,6.0191E+02,0.0000E+00,9.8737E+03,7.2581E+03,1.3127E+04,1.7155E+03,9.9582E+02,1.8065E+03,1.9492E+02,2.7647E+02,2.5210E+02,1.1662E+02,2.1145E+02,2.1745E+01,,,,,,,,,,,,,,,
8,1.6359E+04,0.0000E+00,1.3793E+04,2.2772E+03,2.8806E+02,0.0000E+00,5.3820E+03,3.0226E+03,5.3888E+03,9.1545E+02,4.3420E+02,7.7666E+02,6.2621E+01,8.8234E+01,1.3408E+02,5.1075E+01,9.1341E+01,1.1561E+01,,,,,,,,,,,,,,,
10,8.8254E+03,0.0000E+00,7.4343E+03,1.2304E+03,1.6061E+02,0.0000E+00,3.2848E+03,1.5020E+03,2.6475E+03,5.5308E+02,2.2268E+02,3.9375E+02,2.5370E+01,3.5538E+01,8.0876E+01,2.6282E+01,4.6476E+01,6.9716E+00,,,,,,,,,,,,,,,
15,2.8307E+03,0.0000E+00,2.3806E+03,3.9599E+02,5.4163E+01,0.0000E+00,1.2767E+03,4.0525E+02,6.9856E+02,2.1300E+02,6.2972E+01,1.0885E+02,4.6905E+00,6.4864E+00,3.1105E+01,7.4940E+00,1.2883E+01,2.6799E+00,,,,,,,,,,,,,,,
16.051,2.3368E+03,0.0000E+00,1.9647E+03,3.2707E+02,4.5041E+01,0.0000E+00,1.0841E+03,3.2414E+02,5.5645E+02,1.8072E+02,5.0699E+01,8.7275E+01,3.5204E+00,4.8564E+00,2.6390E+01,6.0383E+00,1.0339E+01,2.2734E+00,,,,,,,,,,,,,,,
16.18,1.5763E+04,1.3478E+04,1.9207E+03,3.1978E+02,4.4071E+01,1.3478E+04,1.0633E+03,3.1570E+02,5.4170E+02,1.7724E+02,4.9417E+01,8.5026E+01,3.4031E+00,4.6933E+00,2.5882E+01,5.8861E+00,1.0073E+01,2.2296E+00,,,,,,,,,,,,,,,
20,9.1545E+03,7.9048E+03,1.0499E+03,1.7520E+02,2.4619E+01,7.9048E+03,6.3055E+02,1.5568E+02,2.6364E+02,1.0497E+02,2.4824E+01,4.2141E+01,1.3761E+00,1.8825E+00,1.5331E+01,2.9637E+00,5.0041E+00,1.3201E+00,,,,,,,,,,,,,,,
30,3.0518E+03,2.6625E+03,3.2664E+02,5.4722E+01,7.9285E+00,2.6625E+03,2.2306E+02,3.9147E+01,6.4434E+01,3.7150E+01,6.4221E+00,1.0591E+01,2.3829E-01,3.2036E-01,5.4294E+00,7.6957E-01,1.2624E+00,4.6715E-01,,,,,,,,,,,,,,,
40,1.3664E+03,1.1979E+03,1.4128E+02,2.3732E+01,3.4970E+00,1.1979E+03,1.0364E+02,1.4432E+01,2.3211E+01,1.7293E+01,2.4055E+00,3.8752E+00,6.7892E-02,8.9960E-02,2.5278E+00,2.8886E-01,4.6289E-01,2.1750E-01,,,,,,,,,,,,,,,
50,7.2318E+02,6.3564E+02,7.3349E+01,1.2344E+01,1.8391E+00,6.3564E+02,5.6331E+01,6.6052E+00,1.0414E+01,9.4169E+00,1.1121E+00,1.7562E+00,2.5541E-02,3.3427E-02,1.3768E+00,1.3376E-01,2.1007E-01,1.1846E-01,,,,,,,,,,,,,,,
60,4.2701E+02,3.7592E+02,4.2790E+01,7.2116E+00,1.0827E+00,3.7592E+02,3.3927E+01,3.4771E+00,5.3859E+00,5.6810E+00,5.8957E-01,9.1467E-01,1.1493E-02,1.4881E-02,8.3072E-01,7.0986E-02,1.0952E-01,7.1481E-02,,,,,,,,,,,,,,,
80,1.8397E+02,1.6224E+02,1.8186E+01,3.0712E+00,4.6579E-01,1.6224E+02,1.5030E+01,1.2609E+00,1.8948E+00,2.5234E+00,2.1572E-01,3.2473E-01,3.2833E-03,4.1493E-03,3.6908E-01,2.6018E-02,3.8935E-02,3.1759E-02,,,,,,,,,,,,,,,
100,9.5102E+01,8.3949E+01,9.3334E+00,1.5785E+00,2.4092E-01,8.3949E+01,7.9153E+00,5.7530E-01,8.4286E-01,1.3314E+00,9.8960E-02,1.4529E-01,1.2546E-03,1.5637E-03,1.9478E-01,1.1949E-02,1.7433E-02,1.6762E-02,,,,,,,,,,,,,,,
150,2.8470E+01,2.5155E+01,2.7727E+00,4.7001E-01,7.2369E-02,2.5155E+01,2.4359E+00,1.4058E-01,1.9622E-01,4.1105E-01,2.4414E-02,3.4044E-02,2.2706E-04,2.7607E-04,6.0149E-02,2.9475E-03,4.0955E-03,5.1765E-03,,,,,,,,,,,,,,,
200,1.2140E+01,1.0730E+01,1.1790E+00,1.9997E-01,3.0953E-02,1.0730E+01,1.0545E+00,5.2990E-02,7.1540E-02,1.7811E-01,9.2435E-03,1.2463E-02,7.0363E-05,8.4727E-05,2.6090E-02,1.1164E-03,1.5003E-03,2.2457E-03,,,,,,,,,,,,,,,
300,3.7475E+00,3.3130E+00,3.6318E-01,6.1681E-02,9.5914E-03,3.3130E+00,3.3063E-01,1.4142E-02,1.8405E-02,5.5951E-02,2.4785E-03,3.2195E-03,1.4571E-05,1.7724E-05,8.1983E-03,2.9946E-04,3.8779E-04,7.0593E-04,,,,,,,,,,,,,,,
400,1.6876E+00,1.4922E+00,1.6332E-01,2.7758E-02,4.3261E-03,1.4922E+00,1.4998E-01,5.8354E-03,7.5065E-03,2.5405E-02,1.0252E-03,1.3158E-03,5.0880E-06,6.4479E-06,3.7230E-03,1.2387E-04,1.5852E-04,3.2076E-04,,,,,,,,,,,,,,,
500,9.3767E-01,8.2923E-01,9.0627E-02,1.5407E-02,2.4046E-03,8.2923E-01,8.3649E-02,3.0475E-03,3.9303E-03,1.4176E-02,5.3655E-04,6.8932E-04,2.3681E-06,3.1316E-06,2.0775E-03,6.4813E-05,8.3088E-05,1.7914E-04,,,,,,,,,,,,,,,
600,5.9470E-01,5.2601E-01,5.7399E-02,9.7588E-03,1.5245E-03,5.2601E-01,5.3160E-02,1.8400E-03,2.3984E-03,9.0107E-03,3.2459E-04,4.2040E-04,1.3201E-06,1.7817E-06,1.3206E-03,3.9179E-05,5.0721E-05,1.1400E-04,,,,,,,,,,,,,,,
800,3.0507E-01,2.6994E-01,2.9363E-02,4.9923E-03,7.8094E-04,2.6994E-01,2.7312E-02,8.7946E-04,1.1715E-03,4.6301E-03,1.5461E-04,2.0620E-04,5.4763E-07,8.2856E-07,6.7862E-04,1.8672E-05,2.4866E-05,5.8774E-05,,,,,,,,,,,,,,,
1000,1.9003E-01,1.6820E-01,1.8244E-02,3.1013E-03,4.8570E-04,1.6820E-01,1.7016E-02,5.1846E-04,7.0934E-04,2.8844E-03,9.1206E-05,1.2493E-04,2.9982E-07,4.6563E-07,4.2281E-04,1.0999E-05,1.5097E-05,3.6792E-05,,,,,,,,,,,,,,,
1500,8.8210E-02,7.8121E-02,8.4309E-03,1.4326E-03,2.2501E-04,7.8121E-02,7.8920E-03,2.1926E-04,3.1964E-04,1.3376E-03,3.8655E-05,5.6106E-05,1.1169E-07,1.9473E-07,1.9616E-04,4.6571E-06,6.7985E-06,1.7396E-05,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
