PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,,,,,,,,,,,,,,,,,,,,,
1,1.6655E+05,0.0000E+00,1.5458E+05,1.1962E+04,0.0000E+00,0.0000E+00,5.1430E+04,3.4860E+04,6.8294E+04,5.7788E+03,2.0903E+03,4.0926E+03,,,,,,,,,,,,,,,,,,,,,
1.5,5.7361E+04,0.0000E+00,5.2983E+04,4.3785E+03,0.0000E+00,0.0000E+00,2.2631E+04,1.0283E+04,2.0068E+04,2.4763E+03,6.4465E+02,1.2575E+03,,,,,,,,,,,,,,,,,,,,,
2,2.6458E+04,0.0000E+00,2.4364E+04,2.0943E+03,0.0000E+00,0.0000E+00,1.2109E+04,4.1598E+03,8.0944E+03,1.3088E+03,2.6678E+02,5.1879E+02,,,,,,,,,,,,,,,,,,,,,
2.8021,1.0523E+04,0.0000E+00,9.6578E+03,8.6525E+02,0.0000E+00,0.0000E+00,5.5832E+03,1.3866E+03,2.6880E+03,5.9813E+02,9.0943E+01,1.7618E+02,,,,,,,,,,,,,,,,,,,,,
2.8245,9.6109E+04,8.5815E+04,9.4469E+03,8.4718E+02,0.0000E+00,8.5815E+04,5.4789E+03,1.3504E+03,2.6176E+03,5.8691E+02,8.8615E+01,1.7165E+02,,,,,,,,,,,,,,,,,,,,,
3,8.6579E+04,7.7864E+04,7.9930E+03,7.2195E+02,0.0000E+00,7.7864E+04,4.7484E+03,1.1048E+03,2.1398E+03,5.0831E+02,7.2775E+01,1.4086E+02,,,,,,,,,,,,,,,,,,,,,
4,4.1329E+04,3.7421E+04,3.5744E+03,3.3344E+02,0.0000E+00,3.7421E+04,2.3550E+03,4.1624E+02,8.0323E+02,2.5173E+02,2.7904E+01,5.3802E+01,,,,,,,,,,,,,,,,,,,,,
5,2.2881E+04,2.0800E+04,1.8995E+03,1.8120E+02,0.0000E+00,2.0800E+04,1.3395E+03,1.9156E+02,3.6847E+02,1.4327E+02,1.2983E+01,2.4951E+01,,,,,,,,,,,,,,,,,,,,,
6,1.3963E+04,1.2726E+04,1.1276E+03,1.0930E+02,0.0000E+00,1.2726E+04,8.3441E+02,1.0048E+02,1.9272E+02,8.9324E+01,6.8587E+00,1.3113E+01,,,,,,,,,,,,,,,,,,,,,
8,6.2693E+03,5.7297E+03,4.9088E+02,4.8652E+01,0.0000E+00,5.7297E+03,3.8726E+02,3.5631E+01,6.7991E+01,4.1528E+01,2.4547E+00,4.6688E+00,,,,,,,,,,,,,,,,,,,,,
10,3.3206E+03,3.0393E+03,2.5560E+02,2.5712E+01,0.0000E+00,3.0393E+03,2.1005E+02,1.5709E+01,2.9841E+01,2.2562E+01,1.0888E+00,2.0614E+00,,,,,,,,,,,,,,,,,,,,,
15,1.0169E+03,9.3233E+02,7.6726E+01,7.8782E+00,0.0000E+00,9.3233E+02,6.6814E+01,3.4408E+00,6.4717E+00,7.1868E+00,2.4054E-01,4.5085E-01,,,,,,,,,,,,,,,,,,,,,
20,4.3054E+02,3.9498E+02,3.2211E+01,3.3466E+00,0.0000E+00,3.9498E+02,2.8925E+01,1.1473E+00,2.1389E+00,3.1163E+00,8.0581E-02,1.4971E-01,,,,,,,,,,,,,,,,,,,,,
30,1.2515E+02,1.1488E+02,9.2964E+00,9.7819E-01,0.0000E+00,1.1488E+02,8.6193E+00,2.3873E-01,4.3837E-01,9.3050E-01,1.6855E-02,3.0842E-02,,,,,,,,,,,,,,,,,,,,,
40,5.1335E+01,4.7130E+01,3.8020E+00,4.0276E-01,0.0000E+00,4.7130E+01,3.5834E+00,7.7729E-02,1.4084E-01,3.8732E-01,5.5041E-03,9.9354E-03,,,,,,,,,,,,,,,,,,,,,
50,2.5540E+01,2.3450E+01,1.8889E+00,2.0094E-01,0.0000E+00,2.3450E+01,1.7981E+00,3.2530E-02,5.8246E-02,1.9451E-01,2.3080E-03,4.1153E-03,,,,,,,,,,,,,,,,,,,,,
60,1.4384E+01,1.3207E+01,1.0631E+00,1.1341E-01,0.0000E+00,1.3207E+01,1.0188E+00,1.5992E-02,2.8322E-02,1.1027E-01,1.1361E-03,2.0038E-03,,,,,,,,,,,,,,,,,,,,,
80,5.7840E+00,5.3110E+00,4.2725E-01,4.5749E-02,0.0000E+00,5.3110E+00,4.1288E-01,5.2475E-03,9.1213E-03,4.4729E-02,3.7362E-04,6.4615E-04,,,,,,,,,,,,,,,,,,,,,
100,2.8463E+00,2.6135E+00,2.1023E-01,2.2562E-02,0.0000E+00,2.6135E+00,2.0417E-01,2.2387E-03,3.8117E-03,2.2133E-02,1.5902E-04,2.7057E-04,,,,,,,,,,,,,,,,,,,,,
150,7.8644E-01,7.2206E-01,5.8128E-02,6.2544E-03,0.0000E+00,7.2206E-01,5.6833E-02,4.8908E-04,8.0597E-04,6.1624E-03,3.4744E-05,5.7295E-05,,,,,,,,,,,,,,,,,,,,,
200,3.1901E-01,2.9288E-01,2.3589E-02,2.5417E-03,0.0000E+00,2.9288E-01,2.3139E-02,1.7218E-04,2.7790E-04,2.5097E-03,1.2227E-05,1.9774E-05,,,,,,,,,,,,,,,,,,,,,
300,9.2719E-02,8.5119E-02,6.8602E-03,7.4012E-04,0.0000E+00,8.5119E-02,6.7505E-03,4.2399E-05,6.7293E-05,7.3232E-04,3.0077E-06,4.7939E-06,,,,,,,,,,,,,,,,,,,,,
400,4.0334E-02,3.7026E-02,2.9851E-03,3.2223E-04,0.0000E+00,3.7026E-02,2.9417E-03,1.6686E-05,2.6682E-05,3.1914E-04,1.1829E-06,1.9013E-06,,,,,,,,,,,,,,,,,,,,,
500,2.1940E-02,2.0141E-02,1.6240E-03,1.7536E-04,0.0000E+00,2.0141E-02,1.6017E-03,8.4489E-06,1.3787E-05,1.7378E-04,5.9896E-07,9.8169E-07,,,,,,,,,,,,,,,,,,,,,
600,1.3735E-02,1.2609E-02,1.0166E-03,1.0980E-04,0.0000E+00,1.2609E-02,1.0032E-03,5.0086E-06,8.3349E-06,1.0885E-04,3.5370E-07,5.9572E-07,,,,,,,,,,,,,,,,,,,,,
800,6.9630E-03,6.3923E-03,5.1512E-04,5.5661E-05,0.0000E+00,6.3923E-03,5.0873E-04,2.3158E-06,4.0781E-06,5.5206E-05,1.6340E-07,2.9202E-07,,,,,,,,,,,,,,,,,,,,,
1000,4.3309E-03,3.9762E-03,3.2009E-04,3.4610E-05,0.0000E+00,3.9762E-03,3.1627E-04,1.3458E-06,2.4793E-06,3.4337E-05,9.4412E-08,1.7851E-07,,,,,,,,,,,,,,,,,,,,,
1500,2.0304E-03,1.8642E-03,1.4993E-04,1.6240E-05,0.0000E+00,1.8642E-03,1.4824E-04,5.5873E-07,1.1315E-06,1.6119E-05,3.8997E-08,8.2405E-08,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,1.67,3.33,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
