PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,,,,
1,2.0415E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.0415E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3045E+04,1.4672E+05,2.0563E+05,3.2053E+05,5.1274E+05,6.5926E+05,1.4714E+04,1.2540E+04,3.9019E+04,3.6164E+04,5.3629E+04,2.6534E+03,1.4068E+03,3.4450E+03,,,,
1.0216,1.9630E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.9630E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.2907E+04,1.4364E+05,2.0233E+05,3.1409E+05,4.8630E+05,6.2483E+05,1.4282E+04,1.2260E+04,3.7851E+04,3.5191E+04,5.2086E+04,2.5671E+03,1.3699E+03,3.3361E+03,,,,
1.0297,1.9755E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.9755E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.1187E+04,3.2847E+04,1.4249E+05,2.0104E+05,3.1165E+05,4.7669E+05,6.1233E+05,1.4123E+04,1.2156E+04,3.7421E+04,3.4830E+04,5.1515E+04,2.5355E+03,1.3563E+03,3.2962E+03,,,,
1.5,9.4778E+05,0.0000E+00,0.0000E+00,0.0000E+00,9.4778E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6541E+04,2.7637E+04,9.1224E+04,1.2994E+05,1.9218E+05,1.7177E+05,2.1840E+05,8.1528E+03,7.8858E+03,2.1309E+04,1.9989E+04,2.8681E+04,1.3992E+03,8.3129E+02,1.8356E+03,,,,
2,5.1693E+05,0.0000E+00,0.0000E+00,0.0000E+00,5.1693E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8709E+04,2.1481E+04,6.0536E+04,8.1112E+04,1.1667E+05,7.1975E+04,9.0867E+04,5.2364E+03,5.4337E+03,1.3411E+04,1.2025E+04,1.6903E+04,8.7685E+02,5.5483E+02,1.1420E+03,,,,
2.7829,2.4885E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.4885E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1778E+04,1.4557E+04,3.5649E+04,4.2272E+04,5.9254E+04,2.4462E+04,3.0634E+04,3.0847E+03,3.3894E+03,7.6037E+03,6.1801E+03,8.4977E+03,5.0546E+02,3.3647E+02,6.4140E+02,,,,
2.8052,7.7212E+05,0.0000E+00,0.0000E+00,5.2772E+05,2.4440E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.2772E+05,1.1640E+04,1.4405E+04,3.5172E+04,4.1560E+04,5.8221E+04,2.3810E+04,2.9811E+04,3.0447E+03,3.3490E+03,7.4965E+03,6.0753E+03,8.3492E+03,4.9868E+02,3.3226E+02,6.3224E+02,,,,
2.9084,5.8441E+05,0.0000E+00,0.0000E+00,3.5924E+05,2.2517E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.5924E+05,1.1033E+04,1.3723E+04,3.3073E+04,3.8459E+04,5.3721E+04,2.1054E+04,2.6337E+04,2.8696E+03,3.1709E+03,7.0280E+03,5.6186E+03,7.7036E+03,4.6904E+02,3.1375E+02,5.9220E+02,,,,
2.9316,9.0930E+05,0.0000E+00,0.0000E+00,6.8818E+05,2.2111E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3644E+05,3.5175E+05,1.0903E+04,1.3575E+04,3.2623E+04,3.7800E+04,5.2766E+04,2.0488E+04,2.5623E+04,2.8322E+03,3.1326E+03,6.9280E+03,5.5217E+03,7.5668E+03,4.6272E+02,3.0978E+02,5.8367E+02,,,,
3,7.8065E+05,0.0000E+00,0.0000E+00,5.7086E+05,2.0979E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3825E+05,3.3261E+05,1.0535E+04,1.3153E+04,3.1348E+04,3.5943E+04,5.0087E+04,1.8930E+04,2.3662E+04,2.7266E+03,3.0241E+03,6.6461E+03,5.2495E+03,7.1830E+03,4.4491E+02,2.9856E+02,5.5963E+02,,,,
