PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
4,1.4495E+05,0.0000E+00,0.0000E+00,1.1887E+05,2.6083E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3273E+04,1.7514E+04,3.3332E+04,2.2895E+04,3.1855E+04,3.4561E+03,3.8632E+03,7.1590E+03,3.8481E+03,5.3369E+03,1.1626E+02,1.4401E+02,6.0062E+02,5.3928E+02,9.6807E+02,5.1746E+01,,,,,,,,
5,8.2309E+04,0.0000E+00,0.0000E+00,6.7149E+04,1.5160E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.9682E+03,1.1110E+04,2.0450E+04,1.1186E+04,1.5435E+04,2.2729E+03,2.4145E+03,4.3581E+03,1.9630E+03,2.6990E+03,4.5724E+01,5.6820E+01,3.9254E+02,3.3572E+02,5.8830E+02,3.3825E+01,,,,,,,,
6,5.1487E+04,0.0000E+00,0.0000E+00,4.1836E+04,9.6506E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.4259E+03,7.4860E+03,1.3433E+04,6.1146E+03,8.3773E+03,1.6022E+03,1.6166E+03,2.8565E+03,1.1076E+03,1.5117E+03,2.1014E+01,2.6026E+01,2.7556E+02,2.2425E+02,3.8534E+02,2.3750E+01,,,,,,,,
6.701,3.8645E+04,0.0000E+00,0.0000E+00,3.1330E+04,7.3143E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.2249E+03,5.8396E+03,1.0320E+04,4.2076E+03,5.7386E+03,1.2920E+03,1.2581E+03,2.1947E+03,7.7554E+02,1.0536E+03,1.3001E+01,1.6065E+01,2.2173E+02,1.7435E+02,2.9602E+02,1.9113E+01,,,,,,,,
6.7546,1.0550E+05,0.0000E+00,6.7650E+04,3.0680E+04,7.1687E+03,0.0000E+00,0.0000E+00,0.0000E+00,6.7650E+04,5.1464E+03,5.7342E+03,1.0123E+04,4.0946E+03,5.5825E+03,1.2720E+03,1.2353E+03,2.1529E+03,7.5564E+02,1.0262E+03,1.2555E+01,1.5512E+01,2.1825E+02,1.7117E+02,2.9038E+02,1.8815E+01,,,,,,,,
7.3112,8.6171E+04,0.0000E+00,5.5398E+04,2.4906E+04,5.8673E+03,0.0000E+00,0.0000E+00,0.0000E+00,5.5398E+04,4.4260E+03,4.7746E+03,8.3463E+03,3.1195E+03,4.2394E+03,1.0883E+03,1.0281E+03,1.7755E+03,5.8260E+02,7.8852E+02,8.8616E+00,1.0930E+01,1.8648E+02,1.4239E+02,2.3949E+02,1.6077E+01,,,,,,,,
7.3698,1.1550E+05,0.0000E+00,8.5359E+04,2.4388E+04,5.7497E+03,0.0000E+00,0.0000E+00,3.1130E+04,5.4229E+04,4.3590E+03,4.6865E+03,8.1842E+03,3.0348E+03,4.1230E+03,1.0713E+03,1.0091E+03,1.7411E+03,5.6743E+02,7.6772E+02,8.5546E+00,1.0550E+01,1.8354E+02,1.3975E+02,2.3484E+02,1.5824E+01,,,,,,,,
7.6958,1.0377E+05,0.0000E+00,7.6865E+04,2.1753E+04,5.1501E+03,0.0000E+00,0.0000E+00,2.8367E+04,4.8498E+04,4.0114E+03,4.2342E+03,7.3526E+03,2.6125E+03,3.5424E+03,9.8309E+02,9.1150E+02,1.5647E+03,4.9139E+02,6.6357E+02,7.0604E+00,8.6990E+00,1.6831E+02,1.2620E+02,2.1107E+02,1.4512E+01,,,,,,,,
7.7574,1.1741E+05,0.0000E+00,9.1062E+04,2.1299E+04,5.0465E+03,0.0000E+00,1.5823E+04,2.7722E+04,4.7517E+04,3.9501E+03,4.1555E+03,7.2079E+03,2.5411E+03,3.4444E+03,9.6761E+02,8.9448E+02,1.5341E+03,4.7848E+02,6.4592E+02,6.8144E+00,8.3945E+00,1.6564E+02,1.2384E+02,2.0694E+02,1.4282E+01,,,,,,,,
8,1.0884E+05,0.0000E+00,8.4542E+04,1.9630E+04,4.6651E+03,0.0000E+00,1.5144E+04,2.5523E+04,4.3875E+04,3.7211E+03,3.8635E+03,6.6733E+03,2.2825E+03,3.0896E+03,9.0998E+02,8.3148E+02,1.4210E+03,4.3162E+02,5.8185E+02,5.9411E+00,7.3135E+00,1.5570E+02,1.1510E+02,1.9169E+02,1.3425E+01,,,,,,,,
10,6.1542E+04,0.0000E+00,4.8087E+04,1.0830E+04,2.6252E+03,0.0000E+00,1.0287E+04,1.4353E+04,2.3447E+04,2.3946E+03,2.2436E+03,3.7674E+03,1.0361E+03,1.3885E+03,5.7928E+02,4.8334E+02,8.0473E+02,2.0141E+02,2.6871E+02,2.1743E+00,2.6625E+00,9.8826E+01,6.6864E+01,1.0865E+02,8.5239E+00,,,,,,,,
15,2.0983E+04,0.0000E+00,1.6458E+04,3.6214E+03,9.0429E+02,0.0000E+00,4.7234E+03,4.5951E+03,7.1393E+03,1.0377E+03,7.8679E+02,1.2554E+03,2.3413E+02,3.0739E+02,2.4741E+02,1.7046E+02,2.7030E+02,4.7391E+01,6.1922E+01,3.3639E-01,4.0762E-01,4.2056E+01,2.3863E+01,3.6513E+01,3.6288E+00,,,,,,,,
20,9.6327E+03,0.0000E+00,7.5676E+03,1.6467E+03,4.1847E+02,0.0000E+00,2.6133E+03,1.9826E+03,2.9717E+03,5.5753E+02,3.5835E+02,5.5101E+02,7.8456E+01,1.0131E+02,1.3208E+02,7.8110E+01,1.1946E+02,1.6265E+01,2.0899E+01,8.6548E-02,1.0399E-01,2.2421E+01,1.0947E+01,1.6156E+01,1.9344E+00,,,,,,,,
30,3.1528E+03,0.0000E+00,2.4792E+03,5.3474E+02,1.3879E+02,0.0000E+00,1.0697E+03,5.8275E+02,8.2677E+02,2.2307E+02,1.1215E+02,1.6323E+02,1.6078E+01,2.0214E+01,5.2590E+01,2.4675E+01,3.5746E+01,3.4209E+00,4.2802E+00,1.2169E-02,1.4408E-02,8.9719E+00,3.4638E+00,4.8421E+00,7.6928E-01,,,,,,,,
40,1.4120E+03,0.0000E+00,1.1106E+03,2.3870E+02,6.2692E+01,0.0000E+00,5.4708E+02,2.3867E+02,3.2488E+02,1.1318E+02,4.7634E+01,6.6507E+01,5.1007E+00,6.2756E+00,2.6637E+01,1.0545E+01,1.4656E+01,1.1001E+00,1.3473E+00,2.9764E-03,3.4817E-03,4.5423E+00,1.4818E+00,1.9875E+00,3.8944E-01,,,,,,,,
46.836,9.0607E+02,0.0000E+00,7.1271E+02,1.5296E+02,4.0403E+01,0.0000E+00,3.7429E+02,1.4527E+02,1.9315E+02,7.7248E+01,2.9505E+01,4.0223E+01,2.7018E+00,3.2820E+00,1.8170E+01,6.5515E+00,8.8913E+00,5.8632E-01,7.0925E-01,1.3729E-03,1.5945E-03,3.0979E+00,9.2109E-01,1.2063E+00,2.6560E-01,,,,,,,,
47.211,4.9922E+03,4.1063E+03,6.9685E+02,1.4955E+02,3.9513E+01,4.1063E+03,3.6709E+02,1.4165E+02,1.8812E+02,7.5757E+01,2.8795E+01,3.9207E+01,2.6162E+00,3.1759E+00,1.7819E+01,6.3948E+00,8.6679E+00,5.6790E-01,6.8653E-01,1.3203E-03,1.5327E-03,3.0380E+00,8.9907E-01,1.1761E+00,2.6047E-01,,,,,,,,
50,4.2969E+03,3.5434E+03,5.9271E+02,1.2714E+02,3.3657E+01,3.5434E+03,3.1908E+02,1.1811E+02,1.5551E+02,6.5810E+01,2.4155E+01,3.2596E+01,2.0747E+00,2.5065E+00,1.5478E+01,5.3697E+00,7.2141E+00,4.5131E-01,5.4303E-01,9.9636E-04,1.1536E-03,2.6386E+00,7.5510E-01,9.7899E-01,2.2623E-01,,,,,,,,
60,2.6567E+03,2.2069E+03,3.5381E+02,7.5806E+01,2.0182E+01,2.2069E+03,2.0306E+02,6.6142E+01,8.4613E+01,4.1836E+01,1.3761E+01,1.8038E+01,9.9152E-01,1.1791E+00,9.8373E+00,3.0690E+00,4.0047E+00,2.1697E-01,2.5712E-01,4.0730E-04,4.6732E-04,1.6768E+00,4.3178E-01,5.4376E-01,1.4376E-01,,,,,,,,
80,1.2241E+03,1.0256E+03,1.5609E+02,3.3400E+01,8.9614E+00,1.0256E+03,9.7644E+01,2.6329E+01,3.2116E+01,2.0126E+01,5.6055E+00,7.0010E+00,3.0920E-01,3.5832E-01,4.7332E+00,1.2556E+00,1.5611E+00,6.8255E-02,7.8350E-02,9.9970E-05,1.1296E-04,8.0659E-01,1.7678E-01,2.1213E-01,6.9155E-02,,,,,,,,
100,6.6358E+02,5.5863E+02,8.2538E+01,1.7650E+01,4.7601E+00,5.5863E+02,5.4587E+01,1.2861E+01,1.5091E+01,1.1266E+01,2.7789E+00,3.3368E+00,1.2573E-01,1.4280E-01,2.6506E+00,6.2422E-01,7.4627E-01,2.7897E-02,3.1398E-02,3.3943E-05,3.7886E-05,4.5161E-01,8.7938E-02,1.0145E-01,3.8721E-02,,,,,,,,
150,2.1449E+02,1.8152E+02,2.5923E+01,5.5405E+00,1.5056E+00,1.8152E+02,1.8560E+01,3.5219E+00,3.8415E+00,3.8437E+00,7.7723E-01,8.6681E-01,2.5130E-02,2.7618E-02,9.0547E-01,1.7547E-01,1.9429E-01,5.6151E-03,6.1168E-03,5.0132E-06,5.4922E-06,1.5420E-01,2.4719E-02,2.6483E-02,1.3223E-02,,,,,,,,
200,9.6009E+01,8.1423E+01,1.1467E+01,2.4508E+00,6.6838E-01,8.1423E+01,8.5619E+00,1.4268E+00,1.4785E+00,1.7780E+00,3.1840E-01,3.3719E-01,8.2707E-03,8.9447E-03,4.1875E-01,7.2056E-02,7.5746E-02,1.8552E-03,1.9879E-03,1.3595E-06,1.4795E-06,7.1374E-02,1.0154E-02,1.0329E-02,6.1212E-03,,,,,,,,
300,3.1513E+01,2.6775E+01,3.7240E+00,7.9593E-01,2.1800E-01,2.6775E+01,2.9041E+00,4.1581E-01,4.0403E-01,6.0509E-01,9.3858E-02,9.3156E-02,1.8384E-03,1.9837E-03,1.4261E-01,2.1300E-02,2.0974E-02,4.1410E-04,4.4271E-04,2.3641E-07,2.6081E-07,2.4310E-02,3.0024E-03,2.8614E-03,2.0858E-03,,,,,,,,
