PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,5s1/2,,,,,,,,,,,,,,,
1,4.4960E+05,0.0000E+00,0.0000E+00,4.2350E+05,2.6101E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.6002E+04,6.0511E+04,1.1951E+05,8.0264E+04,1.1721E+05,6.9005E+03,6.4433E+03,1.2564E+04,1.9338E+02,,,,,,,,,,,,,,,
1.5,1.7224E+05,0.0000E+00,0.0000E+00,1.6042E+05,1.1819E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3490E+04,2.7676E+04,5.3497E+04,2.2730E+04,3.3024E+04,3.3667E+03,2.8647E+03,5.4939E+03,9.3348E+01,,,,,,,,,,,,,,,
1.8032,1.0985E+05,0.0000E+00,0.0000E+00,1.0181E+05,8.0396E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6983E+04,1.8658E+04,3.5754E+04,1.2416E+04,1.7995E+04,2.3985E+03,1.9194E+03,3.6544E+03,6.7365E+01,,,,,,,,,,,,,,,
1.8176,4.2999E+05,0.0000E+00,3.2228E+05,9.9802E+04,7.9040E+03,0.0000E+00,0.0000E+00,0.0000E+00,3.2228E+05,1.6741E+04,1.8333E+04,3.5118E+04,1.2090E+04,1.7520E+04,2.3631E+03,1.8856E+03,3.5889E+03,6.6363E+01,,,,,,,,,,,,,,,
1.8653,4.0467E+05,0.0000E+00,3.0364E+05,9.3559E+04,7.4779E+03,0.0000E+00,0.0000E+00,0.0000E+00,3.0364E+05,1.5979E+04,1.7312E+04,3.3121E+04,1.1086E+04,1.6061E+04,2.2516E+03,1.7795E+03,3.3836E+03,6.3208E+01,,,,,,,,,,,,,,,
1.8802,5.5175E+05,0.0000E+00,4.5268E+05,9.1711E+04,7.3508E+03,0.0000E+00,0.0000E+00,1.5331E+05,2.9937E+05,1.5750E+04,1.7007E+04,3.2525E+04,1.0794E+04,1.5635E+04,2.2182E+03,1.7479E+03,3.3224E+03,6.2265E+01,,,,,,,,,,,,,,,
2,4.8328E+05,0.0000E+00,3.9830E+05,7.8550E+04,6.4309E+03,0.0000E+00,0.0000E+00,1.3605E+05,2.6225E+05,1.4080E+04,1.4800E+04,2.8227E+04,8.7620E+03,1.2681E+04,1.9749E+03,1.5194E+03,2.8811E+03,5.5404E+01,,,,,,,,,,,,,,,
2.0461,4.5727E+05,0.0000E+00,3.7698E+05,7.4174E+04,6.1189E+03,0.0000E+00,0.0000E+00,1.2933E+05,2.4765E+05,1.3506E+04,1.4052E+04,2.6774E+04,8.1091E+03,1.1732E+04,1.8916E+03,1.4421E+03,2.7321E+03,5.3064E+01,,,,,,,,,,,,,,,
2.0625,5.1264E+05,0.0000E+00,4.3393E+05,7.2698E+04,6.0131E+03,0.0000E+00,6.4413E+04,1.2691E+05,2.4260E+05,1.3310E+04,1.3799E+04,2.6281E+04,7.8916E+03,1.1416E+04,1.8632E+03,1.4159E+03,2.6816E+03,5.2268E+01,,,,,,,,,,,,,,,
3,2.0059E+05,0.0000E+00,1.7016E+05,2.7847E+04,2.5762E+03,0.0000E+00,3.4551E+04,4.7226E+04,8.8386E+04,6.5496E+03,5.6135E+03,1.0518E+04,2.1186E+03,3.0473E+03,9.0089E+02,5.7570E+02,1.0744E+03,2.5247E+01,,,,,,,,,,,,,,,
4,9.5194E+04,0.0000E+00,8.0811E+04,1.3085E+04,1.2989E+03,0.0000E+00,2.0636E+04,2.1146E+04,3.9028E+04,3.6907E+03,2.6680E+03,4.9372E+03,7.3580E+02,1.0532E+03,5.0371E+02,2.7459E+02,5.0651E+02,1.4107E+01,,,,,,,,,,,,,,,
5,5.2639E+04,0.0000E+00,4.4674E+04,7.2145E+03,7.4989E+02,0.0000E+00,1.3403E+04,1.1060E+04,2.0212E+04,2.3253E+03,1.4558E+03,2.6676E+03,3.1574E+02,4.5006E+02,3.1603E+02,1.5031E+02,2.7470E+02,8.8481E+00,,,,,,,,,,,,,,,
6,3.2203E+04,0.0000E+00,2.7317E+04,4.4115E+03,4.7379E+02,0.0000E+00,9.2613E+03,6.4191E+03,1.1637E+04,1.5770E+03,8.7230E+02,1.5853E+03,1.5572E+02,2.2116E+02,2.1376E+02,9.0310E+01,1.6374E+02,5.9837E+00,,,,,,,,,,,,,,,
8,1.4658E+04,0.0000E+00,1.2420E+04,2.0118E+03,2.2588E+02,0.0000E+00,5.0162E+03,2.6550E+03,4.7487E+03,8.3794E+02,3.7741E+02,6.7672E+02,4.9642E+01,7.0054E+01,1.1325E+02,3.9244E+01,7.0222E+01,3.1692E+00,,,,,,,,,,,,,,,
10,7.8968E+03,0.0000E+00,6.6850E+03,1.0862E+03,1.2556E+02,0.0000E+00,3.0480E+03,1.3133E+03,2.3237E+03,5.0452E+02,1.9242E+02,3.4124E+02,1.9991E+01,2.8049E+01,6.8093E+01,2.0146E+01,3.5419E+01,1.9051E+00,,,,,,,,,,,,,,,
15,2.5268E+03,0.0000E+00,2.1356E+03,3.4905E+02,4.2173E+01,0.0000E+00,1.1754E+03,3.5156E+02,6.0869E+02,1.9301E+02,5.3863E+01,9.3444E+01,3.6587E+00,5.0690E+00,2.6029E+01,5.6676E+00,9.7485E+00,7.2771E-01,,,,,,,,,,,,,,,
15.144,2.4593E+03,0.0000E+00,2.0784E+03,3.3975E+02,4.1087E+01,0.0000E+00,1.1484E+03,3.4061E+02,5.8941E+02,1.8857E+02,5.2233E+01,9.0566E+01,3.5129E+00,4.8655E+00,2.5430E+01,5.4966E+00,9.4492E+00,7.1096E-01,,,,,,,,,,,,,,,
15.265,1.6782E+04,1.4378E+04,2.0319E+03,3.3218E+02,4.0202E+01,1.4378E+04,1.1264E+03,3.3173E+02,5.7378E+02,1.8495E+02,5.0909E+01,8.8230E+01,3.3957E+00,4.7020E+00,2.4941E+01,5.3579E+00,9.2064E+00,6.9727E-01,,,,,,,,,,,,,,,
20,8.3571E+03,7.2433E+03,9.4041E+02,1.5426E+02,1.9126E+01,7.2433E+03,5.7746E+02,1.3433E+02,2.2862E+02,9.4675E+01,2.1092E+01,3.5957E+01,1.0672E+00,1.4633E+00,1.2780E+01,2.2260E+00,3.7625E+00,3.5681E-01,,,,,,,,,,,,,,,
30,2.7694E+03,2.4233E+03,2.9193E+02,4.8100E+01,6.1340E+00,2.4233E+03,2.0288E+02,3.3534E+01,5.5517E+01,3.3292E+01,5.4099E+00,8.9671E+00,1.8355E-01,2.4742E-01,4.4941E+00,5.7287E-01,9.4152E-01,1.2547E-01,,,,,,,,,,,,,,,
40,1.2343E+03,1.0848E+03,1.2605E+02,2.0830E+01,2.6986E+00,1.0848E+03,9.3841E+01,1.2301E+01,1.9910E+01,1.5430E+01,2.0148E+00,3.2641E+00,5.2028E-02,6.9143E-02,2.0833E+00,2.1379E-01,3.4341E-01,5.8163E-02,,,,,,,,,,,,,,,
50,6.5166E+02,5.7407E+02,6.5350E+01,1.0822E+01,1.4163E+00,5.7407E+02,5.0837E+01,5.6094E+00,8.9038E+00,8.3752E+00,9.2762E-01,1.4737E+00,1.9491E-02,2.5595E-02,1.1310E+00,9.8564E-02,1.5524E-01,3.1576E-02,,,,,,,,,,,,,,,
60,3.8404E+02,3.3882E+02,3.8078E+01,6.3152E+00,8.3249E-01,3.3882E+02,3.0540E+01,2.9444E+00,4.5936E+00,5.0396E+00,4.9013E-01,7.6535E-01,8.7531E-03,1.1302E-02,6.8065E-01,5.2135E-02,8.0700E-02,1.9004E-02,,,,,,,,,,,,,,,
80,1.6502E+02,1.4582E+02,1.6152E+01,2.6846E+00,3.5724E-01,1.4582E+02,1.3478E+01,1.0632E+00,1.6101E+00,2.2299E+00,1.7846E-01,2.7060E-01,2.4900E-03,3.1536E-03,3.0125E-01,1.9013E-02,2.8565E-02,8.4113E-03,,,,,,,,,,,,,,,
100,8.5119E+01,7.5280E+01,8.2768E+00,1.3778E+00,1.8442E-01,7.5280E+01,7.0789E+00,4.8358E-01,7.1434E-01,1.1734E+00,8.1585E-02,1.2072E-01,9.4903E-04,1.1861E-03,1.5854E-01,8.7025E-03,1.2752E-02,4.4270E-03,,,,,,,,,,,,,,,
150,2.5396E+01,2.2480E+01,2.4520E+00,4.0885E-01,5.5210E-02,2.2480E+01,2.1688E+00,1.1757E-01,1.6559E-01,3.6029E-01,2.0024E-02,2.8152E-02,1.7072E-04,2.0916E-04,4.8733E-02,2.1343E-03,2.9815E-03,1.3610E-03,,,,,,,,,,,,,,,
200,1.0805E+01,9.5675E+00,1.0406E+00,1.7375E-01,2.3561E-02,9.5675E+00,9.3625E-01,4.4172E-02,6.0220E-02,1.5580E-01,7.5552E-03,1.0278E-02,5.2702E-05,6.4073E-05,2.1078E-02,8.0553E-04,1.0891E-03,5.8878E-04,,,,,,,,,,,,,,,
300,3.3268E+00,2.9463E+00,3.1977E-01,5.3464E-02,7.2807E-03,2.9463E+00,2.9257E-01,1.1744E-02,1.5450E-02,4.8775E-02,2.0180E-03,2.6467E-03,1.0870E-05,1.3407E-05,6.6004E-03,2.1514E-04,2.8068E-04,1.8448E-04,,,,,,,,,,,,,,,
400,1.4958E+00,1.3249E+00,1.4359E-01,2.4025E-02,3.2785E-03,1.3249E+00,1.3247E-01,4.8347E-03,6.2930E-03,2.2104E-02,8.3288E-04,1.0797E-03,3.8057E-06,4.8370E-06,2.9914E-03,8.8795E-05,1.1458E-04,8.3688E-05,,,,,,,,,,,,,,,
500,8.3028E-01,7.3553E-01,7.9608E-02,1.3324E-02,1.8204E-03,7.3553E-01,7.3794E-02,2.5210E-03,3.2929E-03,1.2319E-02,4.3492E-04,5.6560E-04,1.7760E-06,2.3194E-06,1.6673E-03,4.6374E-05,6.0009E-05,4.6706E-05,,,,,,,,,,,,,,,
600,5.2626E-01,4.6627E-01,5.0394E-02,8.4349E-03,1.1534E-03,4.6627E-01,4.6864E-02,1.5254E-03,2.0041E-03,7.8247E-03,2.6277E-04,3.4511E-04,9.7234E-07,1.3498E-06,1.0591E-03,2.8007E-05,3.6632E-05,2.9724E-05,,,,,,,,,,,,,,,
800,2.6980E-01,2.3913E-01,2.5768E-02,4.3129E-03,5.9052E-04,2.3913E-01,2.4061E-02,7.2574E-04,9.8149E-04,4.0178E-03,1.2514E-04,1.6891E-04,4.1284E-07,6.0721E-07,5.4389E-04,1.3328E-05,1.7964E-05,1.5337E-05,,,,,,,,,,,,,,,
1000,1.6803E-01,1.4898E-01,1.6010E-02,2.6796E-03,3.6722E-04,1.4898E-01,1.4988E-02,4.2774E-04,5.9428E-04,2.5027E-03,7.3640E-05,1.0263E-04,2.1875E-07,3.5994E-07,3.3884E-04,7.8425E-06,1.0914E-05,9.6240E-06,,,,,,,,,,,,,,,
1500,7.8030E-02,6.9219E-02,7.4030E-03,1.2386E-03,1.7014E-04,6.9219E-02,6.9542E-03,1.8067E-04,2.6807E-04,1.1611E-03,3.1164E-05,4.6142E-05,8.0886E-08,1.5353E-07,1.5730E-04,3.3176E-06,4.9239E-06,4.5974E-06,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
