PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
1,7.3789E+05,0.0000E+00,6.5855E+05,7.7975E+04,1.3646E+03,0.0000E+00,1.1016E+05,1.8580E+05,3.6259E+05,1.9598E+04,1.7786E+04,3.4645E+04,2.4067E+03,3.5397E+03,1.3646E+03,,,,,,,,,,,,,,,,,,
1.5,2.7185E+05,0.0000E+00,2.4186E+05,2.9371E+04,6.2086E+02,0.0000E+00,5.6830E+04,6.3099E+04,1.2193E+05,9.0268E+03,6.4668E+03,1.2497E+04,5.5935E+02,8.2045E+02,6.2086E+02,,,,,,,,,,,,,,,,,,
2,1.2930E+05,0.0000E+00,1.1465E+05,1.4298E+04,3.4635E+02,0.0000E+00,3.3448E+04,2.7796E+04,5.3408E+04,5.0643E+03,3.0002E+03,5.7653E+03,1.8988E+02,2.7792E+02,3.4635E+02,,,,,,,,,,,,,,,,,,
3,4.3971E+04,0.0000E+00,3.8809E+04,5.0157E+03,1.4688E+02,0.0000E+00,1.4784E+04,8.2688E+03,1.5756E+04,2.1568E+03,9.5112E+02,1.8127E+03,3.8702E+01,5.6453E+01,1.4688E+02,,,,,,,,,,,,,,,,,,
4,2.0092E+04,0.0000E+00,1.7679E+04,2.3347E+03,7.8051E+01,0.0000E+00,7.9370E+03,3.3670E+03,6.3755E+03,1.1424E+03,4.0187E+02,7.6112E+02,1.1922E+01,1.7338E+01,7.8051E+01,,,,,,,,,,,,,,,,,,
5,1.0851E+04,0.0000E+00,9.5280E+03,1.2758E+03,4.6761E+01,0.0000E+00,4.7885E+03,1.6434E+03,3.0960E+03,6.8503E+02,2.0086E+02,3.7844E+02,4.6689E+00,6.7723E+00,4.6761E+01,,,,,,,,,,,,,,,,,,
6,6.5283E+03,0.0000E+00,5.7242E+03,7.7364E+02,3.0404E+01,0.0000E+00,3.1254E+03,9.0377E+02,1.6950E+03,4.4560E+02,1.1226E+02,2.1055E+02,2.1438E+00,3.0855E+00,3.0404E+01,,,,,,,,,,,,,,,,,,
6.5044,5.2069E+03,0.0000E+00,4.5629E+03,6.1895E+02,2.5044E+01,0.0000E+00,2.5778E+03,6.9127E+02,1.2938E+03,3.6709E+02,8.6422E+01,1.6174E+02,1.5162E+00,2.1793E+00,2.5044E+01,,,,,,,,,,,,,,,,,,
6.5565,4.0805E+04,3.5714E+04,4.4616E+03,6.0542E+02,2.4565E+01,3.5714E+04,2.5289E+03,6.7313E+02,1.2595E+03,3.6009E+02,8.4206E+01,1.5756E+02,1.4651E+00,2.1056E+00,2.4565E+01,,,,,,,,,,,,,,,,,,
8,2.4805E+04,2.1899E+04,2.5426E+03,3.4787E+02,1.5091E+01,2.1899E+04,1.5568E+03,3.4455E+02,6.4126E+02,2.2126E+02,4.3730E+01,8.1372E+01,6.2014E-01,8.8846E-01,1.5091E+01,,,,,,,,,,,,,,,,,,
10,1.3708E+04,1.2167E+04,1.3463E+03,1.8572E+02,8.6150E+00,1.2167E+04,8.8955E+02,1.6033E+02,2.9644E+02,1.2634E+02,2.0649E+01,3.8165E+01,2.3396E-01,3.3380E-01,8.6150E+00,,,,,,,,,,,,,,,,,,
15,4.5142E+03,4.0351E+03,4.1768E+02,5.8361E+01,2.9966E+00,4.0351E+03,3.0887E+02,3.8538E+01,7.0278E+01,4.3945E+01,5.0749E+00,9.2494E+00,3.8249E-02,5.4094E-02,2.9966E+00,,,,,,,,,,,,,,,,,,
20,2.0014E+03,1.7948E+03,1.7990E+02,2.5316E+01,1.3765E+00,1.7948E+03,1.4155E+02,1.3683E+01,2.4663E+01,2.0185E+01,1.8226E+00,3.2841E+00,1.0312E-02,1.4467E-02,1.3765E+00,,,,,,,,,,,,,,,,,,
30,6.1607E+02,5.5400E+02,5.3974E+01,7.6542E+00,4.4305E-01,5.5400E+02,4.5406E+01,3.0960E+00,5.4721E+00,6.4966E+00,4.1716E-01,7.3654E-01,1.6035E-03,2.2183E-03,4.4305E-01,,,,,,,,,,,,,,,,,,
40,2.6203E+02,2.3590E+02,2.2703E+01,3.2344E+00,1.9356E-01,2.3590E+02,1.9791E+01,1.0636E+00,1.8488E+00,2.8383E+00,1.4452E-01,2.5052E-01,4.2610E-04,5.8286E-04,1.9356E-01,,,,,,,,,,,,,,,,,,
50,1.3378E+02,1.2051E+02,1.1523E+01,1.6446E+00,1.0060E-01,1.2051E+02,1.0269E+01,4.6213E-01,7.9151E-01,1.4734E+00,6.3068E-02,1.0773E-01,1.5248E-04,2.0662E-04,1.0060E-01,,,,,,,,,,,,,,,,,,
60,7.6845E+01,6.9248E+01,6.5956E+00,9.4317E-01,5.8530E-02,6.9248E+01,5.9673E+00,2.3358E-01,3.9477E-01,8.5715E-01,3.1975E-02,5.3889E-02,6.6025E-05,8.8610E-05,5.8530E-02,,,,,,,,,,,,,,,,,,
80,3.1805E+01,2.8671E+01,2.7194E+00,3.8987E-01,2.4642E-02,2.8671E+01,2.5080E+00,7.9756E-02,1.3169E-01,3.6082E-01,1.0963E-02,1.8046E-02,1.7787E-05,2.3542E-05,2.4642E-02,,,,,,,,,,,,,,,,,,
100,1.5975E+01,1.4404E+01,1.3634E+00,1.9579E-01,1.2514E-02,1.4404E+01,1.2721E+00,3.4854E-02,5.6424E-02,1.8322E-01,4.8029E-03,7.7516E-03,6.5219E-06,8.5266E-06,1.2514E-02,,,,,,,,,,,,,,,,,,
150,4.5631E+00,4.1147E+00,3.8877E-01,5.5960E-02,3.6307E-03,4.1147E+00,3.6844E-01,7.9443E-03,1.2389E-02,5.3151E-02,1.0991E-03,1.7073E-03,1.1006E-06,1.4172E-06,3.6307E-03,,,,,,,,,,,,,,,,,,
200,1.8892E+00,1.7036E+00,1.6090E-01,2.3190E-02,1.5157E-03,1.7036E+00,1.5366E-01,2.8699E-03,4.3679E-03,2.2188E-02,3.9804E-04,6.0280E-04,3.2747E-07,4.1954E-07,1.5157E-03,,,,,,,,,,,,,,,,,,
300,5.6263E-01,5.0735E-01,4.7913E-02,6.9142E-03,4.5524E-04,5.0735E-01,4.6100E-02,7.3161E-04,1.0818E-03,6.6629E-03,1.0130E-04,1.4984E-04,6.4702E-08,8.4959E-08,4.5524E-04,,,,,,,,,,,,,,,,,,
400,2.4814E-01,2.2375E-01,2.1135E-02,3.0507E-03,2.0161E-04,2.2375E-01,2.0408E-02,2.9366E-04,4.3366E-04,2.9499E-03,4.0672E-05,6.0150E-05,2.2194E-08,3.0321E-08,2.0161E-04,,,,,,,,,,,,,,,,,,
500,1.3610E-01,1.2272E-01,1.1589E-02,1.6732E-03,1.1083E-04,1.2272E-01,1.1213E-02,1.5049E-04,2.2520E-04,1.6211E-03,2.0871E-05,3.1209E-05,1.0103E-08,1.4585E-08,1.1083E-04,,,,,,,,,,,,,,,,,,
