PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,,,,,,,,,,,,,,,,,,,,,,,,
1,7.6990E+04,7.3239E+04,3.7508E+03,0.0000E+00,0.0000E+00,7.3239E+04,3.3815E+03,1.2374E+02,2.4558E+02,,,,,,,,,,,,,,,,,,,,,,,,
1.5,2.5152E+04,2.3914E+04,1.2382E+03,0.0000E+00,0.0000E+00,2.3914E+04,1.1534E+03,2.8442E+01,5.6385E+01,,,,,,,,,,,,,,,,,,,,,,,,
2,1.1066E+04,1.0516E+04,5.5093E+02,0.0000E+00,0.0000E+00,1.0516E+04,5.2192E+02,9.7336E+00,1.9275E+01,,,,,,,,,,,,,,,,,,,,,,,,
3,3.3666E+03,3.1969E+03,1.6968E+02,0.0000E+00,0.0000E+00,3.1969E+03,1.6366E+02,2.0237E+00,4.0017E+00,,,,,,,,,,,,,,,,,,,,,,,,
4,1.4181E+03,1.3461E+03,7.1967E+01,0.0000E+00,0.0000E+00,1.3461E+03,7.0043E+01,6.4657E-01,1.2772E+00,,,,,,,,,,,,,,,,,,,,,,,,
5,7.1805E+02,6.8144E+02,3.6615E+01,0.0000E+00,0.0000E+00,6.8144E+02,3.5825E+01,2.6590E-01,5.2441E-01,,,,,,,,,,,,,,,,,,,,,,,,
6,4.0926E+02,3.8833E+02,2.0940E+01,0.0000E+00,0.0000E+00,3.8833E+02,2.0560E+01,1.2835E-01,2.5192E-01,,,,,,,,,,,,,,,,,,,,,,,,
8,1.6678E+02,1.5820E+02,8.5808E+00,0.0000E+00,0.0000E+00,1.5820E+02,8.4619E+00,4.0237E-02,7.8749E-02,,,,,,,,,,,,,,,,,,,,,,,,
10,8.2413E+01,7.8156E+01,4.2574E+00,0.0000E+00,0.0000E+00,7.8156E+01,4.2095E+00,1.6222E-02,3.1665E-02,,,,,,,,,,,,,,,,,,,,,,,,
15,2.2502E+01,2.1332E+01,1.1694E+00,0.0000E+00,0.0000E+00,2.1332E+01,1.1604E+00,3.0559E-03,5.9259E-03,,,,,,,,,,,,,,,,,,,,,,,,
20,8.8550E+00,8.3934E+00,4.6167E-01,0.0000E+00,0.0000E+00,8.3934E+00,4.5896E-01,9.2657E-04,1.7862E-03,,,,,,,,,,,,,,,,,,,,,,,,
30,2.3477E+00,2.2249E+00,1.2283E-01,0.0000E+00,0.0000E+00,2.2249E+00,1.2233E-01,1.7168E-04,3.2741E-04,,,,,,,,,,,,,,,,,,,,,,,,
40,9.0877E-01,8.6113E-01,4.7636E-02,0.0000E+00,0.0000E+00,8.6113E-01,4.7486E-02,5.2019E-05,9.8217E-05,,,,,,,,,,,,,,,,,,,,,,,,
50,4.3396E-01,4.1119E-01,2.2775E-02,0.0000E+00,0.0000E+00,4.1119E-01,2.2716E-02,2.0688E-05,3.8722E-05,,,,,,,,,,,,,,,,,,,,,,,,
60,2.3695E-01,2.2450E-01,1.2446E-02,0.0000E+00,0.0000E+00,2.2450E-01,1.2418E-02,9.7839E-06,1.8166E-05,,,,,,,,,,,,,,,,,,,,,,,,
80,9.1137E-02,8.6344E-02,4.7927E-03,0.0000E+00,0.0000E+00,8.6344E-02,4.7841E-03,3.0382E-06,5.5530E-06,,,,,,,,,,,,,,,,,,,,,,,,
100,4.3478E-02,4.1190E-02,2.2885E-03,0.0000E+00,0.0000E+00,4.1190E-02,2.2850E-03,1.2412E-06,2.2455E-06,,,,,,,,,,,,,,,,,,,,,,,,
150,1.1439E-02,1.0836E-02,6.0297E-04,0.0000E+00,0.0000E+00,1.0836E-02,6.0227E-04,2.5498E-07,4.4972E-07,,,,,,,,,,,,,,,,,,,,,,,,
200,4.5163E-03,4.2786E-03,2.3772E-04,0.0000E+00,0.0000E+00,4.2786E-03,2.3748E-04,8.6346E-08,1.5066E-07,,,,,,,,,,,,,,,,,,,,,,,,
300,1.2702E-03,1.2034E-03,6.6864E-05,0.0000E+00,0.0000E+00,1.2034E-03,6.6808E-05,2.0348E-08,3.5357E-08,,,,,,,,,,,,,,,,,,,,,,,,
400,5.4285E-04,5.1428E-04,2.8574E-05,0.0000E+00,0.0000E+00,5.1428E-04,2.8552E-05,7.7753E-09,1.3878E-08,,,,,,,,,,,,,,,,,,,,,,,,
