PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
1,8.1025E+05,0.0000E+00,0.0000E+00,0.0000E+00,8.1025E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9275E+04,4.2740E+04,1.0823E+05,1.4753E+05,2.1708E+05,9.9359E+04,1.2620E+05,7.7318E+03,6.6520E+03,1.4833E+04,6.1670E+02,,,,,,,,
1.4681,3.7904E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.7904E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3222E+04,2.7397E+04,6.2349E+04,7.5240E+04,1.0829E+05,2.9165E+04,3.6815E+04,4.2237E+03,3.8992E+03,8.1073E+03,3.2637E+02,,,,,,,,
1.4799,7.0608E+05,0.0000E+00,0.0000E+00,3.3324E+05,3.7285E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3324E+05,2.2951E+04,2.7110E+04,6.1581E+04,7.4064E+04,1.0656E+05,2.8398E+04,3.5843E+04,4.1694E+03,3.8532E+03,8.0008E+03,3.2200E+02,,,,,,,,
1.5,1.1014E+06,0.0000E+00,0.0000E+00,7.3885E+05,3.6258E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.3885E+05,2.2499E+04,2.6628E+04,6.0296E+04,7.2104E+04,1.0366E+05,2.7143E+04,3.4252E+04,4.0791E+03,3.7765E+03,7.8234E+03,3.1474E+02,,,,,,,,
1.5145,1.1600E+06,0.0000E+00,0.0000E+00,8.0457E+05,3.5543E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.0457E+05,2.2181E+04,2.6288E+04,5.9395E+04,7.0733E+04,1.0164E+05,2.6283E+04,3.3161E+04,4.0160E+03,3.7227E+03,7.6993E+03,3.0967E+02,,,,,,,,
1.5266,1.3625E+06,0.0000E+00,0.0000E+00,1.0130E+06,3.4959E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0426E+05,8.0869E+05,2.1919E+04,2.6007E+04,5.8654E+04,6.9608E+04,9.9988E+04,2.5588E+04,3.2279E+04,3.9642E+03,3.6784E+03,7.5974E+03,3.0552E+02,,,,,,,,
1.8632,1.0559E+06,0.0000E+00,0.0000E+00,8.2673E+05,2.2914E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.4018E+05,4.8655E+05,1.6179E+04,1.9607E+04,4.2330E+04,4.5702E+04,6.5019E+04,1.2907E+04,1.6229E+04,2.8527E+03,2.7007E+03,5.3973E+03,2.1680E+02,,,,,,,,
1.8781,1.2005E+06,0.0000E+00,0.0000E+00,9.7524E+05,2.2523E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6543E+05,3.3328E+05,4.7653E+05,1.5978E+04,1.9375E+04,4.1762E+04,4.4904E+04,6.3859E+04,1.2551E+04,1.5779E+04,2.8149E+03,2.6665E+03,5.3220E+03,2.1380E+02,,,,,,,,
2,1.0313E+06,0.0000E+00,0.0000E+00,8.3484E+05,1.9645E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4722E+05,2.8341E+05,4.0421E+05,1.4465E+04,1.7617E+04,3.7491E+04,3.9003E+04,5.5300E+04,1.0055E+04,1.2628E+04,2.5320E+03,2.4085E+03,4.7591E+03,1.9155E+02,,,,,,,,
2.0736,9.4760E+05,0.0000E+00,0.0000E+00,7.6611E+05,1.8149E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4061E+05,2.5803E+05,3.6747E+05,1.3654E+04,1.6662E+04,3.5204E+04,3.5911E+04,5.0833E+04,8.8419E+03,1.1098E+04,2.3816E+03,2.2698E+03,4.4595E+03,1.7978E+02,,,,,,,,
2.0902,9.8818E+05,0.0000E+00,0.0000E+00,8.0984E+05,1.7834E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.8281E+04,1.3904E+05,2.5272E+05,3.5979E+05,1.3481E+04,1.6457E+04,3.4715E+04,3.5257E+04,4.9889E+04,8.5935E+03,1.0785E+04,2.3495E+03,2.2401E+03,4.3956E+03,1.7727E+02,,,,,,,,
2.2761,8.1386E+05,0.0000E+00,0.0000E+00,6.6619E+05,1.4767E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.2130E+04,1.2174E+05,2.0346E+05,2.8886E+05,1.1744E+04,1.4376E+04,2.9839E+04,2.8876E+04,4.0698E+04,6.3231E+03,7.9235E+03,2.0308E+03,1.9422E+03,3.7611E+03,1.5243E+02,,,,,,,,
