PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
1,9.5820E+05,0.0000E+00,8.5000E+05,1.0667E+05,1.5298E+03,0.0000E+00,1.2303E+05,2.4630E+05,4.8067E+05,2.3353E+04,2.3290E+04,4.5316E+04,5.9628E+03,8.7470E+03,1.5298E+03,,,,,,,,,,,,,,,,,,
1.5,3.6136E+05,0.0000E+00,3.2041E+05,4.0241E+04,7.0786E+02,0.0000E+00,6.5522E+04,8.6993E+04,1.6789E+05,1.0960E+04,8.7996E+03,1.6963E+04,1.4290E+03,2.0897E+03,7.0786E+02,,,,,,,,,,,,,,,,,,
2,1.7371E+05,0.0000E+00,1.5370E+05,1.9612E+04,3.9910E+02,0.0000E+00,3.9485E+04,3.9158E+04,7.5058E+04,6.2181E+03,4.1769E+03,7.9992E+03,4.9539E+02,7.2271E+02,3.9910E+02,,,,,,,,,,,,,,,,,,
3,5.9631E+04,0.0000E+00,5.2558E+04,6.9013E+03,1.7152E+02,0.0000E+00,1.7945E+04,1.1943E+04,2.2670E+04,2.6890E+03,1.3655E+03,2.5905E+03,1.0444E+02,1.5180E+02,1.7152E+02,,,,,,,,,,,,,,,,,,
4,2.7395E+04,0.0000E+00,2.4079E+04,3.2237E+03,9.2299E+01,0.0000E+00,9.8077E+03,4.9471E+03,9.3240E+03,1.4419E+03,5.8985E+02,1.1111E+03,3.3022E+01,4.7838E+01,9.2299E+01,,,,,,,,,,,,,,,,,,
5,1.4844E+04,0.0000E+00,1.3021E+04,1.7671E+03,5.5869E+01,0.0000E+00,5.9948E+03,2.4450E+03,4.5815E+03,8.7375E+02,2.9979E+02,5.6143E+02,1.3164E+01,1.9016E+01,5.5869E+01,,,,,,,,,,,,,,,,,,
6,8.9519E+03,0.0000E+00,7.8409E+03,1.0744E+03,3.6643E+01,0.0000E+00,3.9525E+03,1.3574E+03,2.5310E+03,5.7343E+02,1.6973E+02,3.1627E+02,6.1161E+00,8.8129E+00,3.6643E+01,,,,,,,,,,,,,,,,,,
7.6731,4.4960E+03,0.0000E+00,3.9311E+03,5.4446E+02,2.0399E+01,0.0000E+00,2.2101E+03,6.0359E+02,1.1174E+03,3.1939E+02,7.7158E+01,1.4272E+02,2.1379E+00,3.0516E+00,2.0399E+01,,,,,,,,,,,,,,,,,,
7.7345,3.4342E+04,2.9946E+04,3.8437E+03,5.3251E+02,2.0009E+01,2.9946E+04,2.1681E+03,5.8775E+02,1.0878E+03,3.1328E+02,7.5183E+01,1.3903E+02,2.0658E+00,2.9482E+00,2.0009E+01,,,,,,,,,,,,,,,,,,
8,3.1618E+04,2.7621E+04,3.4943E+03,4.8475E+02,1.8434E+01,2.7621E+04,1.9984E+03,5.2508E+02,9.7083E+02,2.8865E+02,6.7350E+01,1.2442E+02,1.7865E+00,2.5479E+00,1.8434E+01,,,,,,,,,,,,,,,,,,
10,1.7887E+04,1.5761E+04,1.8552E+03,2.5944E+02,1.0630E+01,1.5761E+04,1.1545E+03,2.4713E+02,4.5365E+02,1.6648E+02,3.2222E+01,5.9088E+01,6.7976E-01,9.6526E-01,1.0630E+01,,,,,,,,,,,,,,,,,,
15,5.9822E+03,5.3175E+03,5.7898E+02,8.1983E+01,3.7639E+00,5.3175E+03,4.0869E+02,6.0634E+01,1.0966E+02,5.8960E+01,8.1070E+00,1.4642E+01,1.1396E-01,1.6031E-01,3.7639E+00,,,,,,,,,,,,,,,,,,
20,2.6788E+03,2.3908E+03,2.5052E+02,3.5736E+01,1.7508E+00,2.3908E+03,1.8972E+02,2.1822E+01,3.8979E+01,2.7424E+01,2.9586E+00,5.2776E+00,3.1247E-02,4.3589E-02,1.7508E+00,,,,,,,,,,,,,,,,,,
30,8.3552E+02,7.4838E+02,7.5685E+01,1.0884E+01,5.7293E-01,7.4838E+02,6.1866E+01,5.0262E+00,8.7929E+00,8.9734E+00,6.9124E-01,1.2081E+00,4.9335E-03,6.7820E-03,5.7293E-01,,,,,,,,,,,,,,,,,,
40,3.5832E+02,3.2144E+02,3.2006E+01,4.6237E+00,2.5302E-01,3.2144E+02,2.7255E+01,1.7476E+00,3.0040E+00,3.9628E+00,2.4248E-01,4.1533E-01,1.3255E-03,1.8004E-03,2.5302E-01,,,,,,,,,,,,,,,,,,
50,1.8404E+02,1.6523E+02,1.6314E+01,2.3642E+00,1.3254E-01,1.6523E+02,1.4252E+01,7.6606E-01,1.2966E+00,2.0760E+00,1.0684E-01,1.8017E-01,4.7848E-04,6.4359E-04,1.3254E-01,,,,,,,,,,,,,,,,,,
