PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,4s1/2,,,,,,,,,,,,,,,,,,,,
1,3.2367E+05,0.0000E+00,2.9184E+05,3.1008E+04,8.1370E+02,0.0000E+00,7.4392E+04,7.3625E+04,1.4383E+05,1.0626E+04,6.8946E+03,1.3487E+04,8.1370E+02,,,,,,,,,,,,,,,,,,,,
1.5,1.1383E+05,0.0000E+00,1.0203E+05,1.1443E+04,3.5798E+02,0.0000E+00,3.4651E+04,2.2892E+04,4.4488E+04,4.7041E+03,2.2872E+03,4.4514E+03,3.5798E+02,,,,,,,,,,,,,,,,,,,,
2,5.3034E+04,0.0000E+00,4.7355E+04,5.4843E+03,1.9444E+02,0.0000E+00,1.9222E+04,9.5820E+03,1.8551E+04,2.5619E+03,9.9438E+02,1.9280E+03,1.9444E+02,,,,,,,,,,,,,,,,,,,,
3,1.7640E+04,0.0000E+00,1.5683E+04,1.8782E+03,7.8796E+01,0.0000E+00,7.8977E+03,2.6617E+03,5.1233E+03,1.0369E+03,2.8738E+02,5.5397E+02,7.8796E+01,,,,,,,,,,,,,,,,,,,,
4,7.9686E+03,0.0000E+00,7.0674E+03,8.6114E+02,4.0062E+01,0.0000E+00,4.0442E+03,1.0367E+03,1.9865E+03,5.2756E+02,1.1429E+02,2.1929E+02,4.0062E+01,,,,,,,,,,,,,,,,,,,,
4.011,7.9078E+03,0.0000E+00,7.0133E+03,8.5468E+02,3.9798E+01,0.0000E+00,4.0178E+03,1.0272E+03,1.9683E+03,5.2409E+02,1.1327E+02,2.1732E+02,3.9798E+01,,,,,,,,,,,,,,,,,,,,
4.0432,6.7766E+04,6.0032E+04,6.8590E+03,8.3624E+02,3.9044E+01,6.0032E+04,3.9422E+03,1.0003E+03,1.9165E+03,5.1416E+02,1.1036E+02,2.1172E+02,3.9044E+01,,,,,,,,,,,,,,,,,,,,
5,3.9986E+04,3.5714E+04,3.7822E+03,4.6624E+02,2.3289E+01,3.5714E+04,2.3581E+03,4.8955E+02,9.3451E+02,3.0679E+02,5.4772E+01,1.0468E+02,2.3289E+01,,,,,,,,,,,,,,,,,,,,
6,2.4730E+04,2.2176E+04,2.2585E+03,2.8090E+02,1.4785E+01,2.2176E+04,1.4981E+03,2.6197E+02,4.9838E+02,1.9480E+02,2.9645E+01,5.6460E+01,1.4785E+01,,,,,,,,,,,,,,,,,,,,
8,1.1409E+04,1.0285E+04,9.9223E+02,1.2496E+02,7.0712E+00,1.0285E+04,7.1576E+02,9.5632E+01,1.8084E+02,9.3168E+01,1.0990E+01,2.0803E+01,7.0712E+00,,,,,,,,,,,,,,,,,,,,
