PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,,,,
1,1.6955E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.6955E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.0580E+04,3.7585E+04,1.3775E+05,1.9578E+05,2.9894E+05,3.7987E+05,4.8740E+05,1.2833E+04,1.1123E+04,3.0905E+04,2.4799E+04,3.5894E+04,1.6540E+03,1.2683E+02,2.4560E+02,,,,
1.5,7.6266E+05,0.0000E+00,0.0000E+00,0.0000E+00,7.6266E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6312E+04,2.8819E+04,8.3317E+04,1.1567E+05,1.6923E+05,1.2137E+05,1.5425E+05,7.0121E+03,6.8128E+03,1.6777E+04,1.3304E+04,1.8720E+04,8.6338E+02,7.2810E+01,1.3045E+02,,,,
2,4.1396E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.1396E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8019E+04,2.1316E+04,5.4447E+04,6.9741E+04,9.9707E+04,4.9421E+04,6.2416E+04,4.4688E+03,4.6077E+03,1.0502E+04,7.8268E+03,1.0820E+04,5.3673E+02,4.7459E+01,8.3066E+01,,,,
2.3912,2.7927E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.7927E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3937E+04,1.7050E+04,4.0838E+04,4.8761E+04,6.8842E+04,2.7388E+04,3.4452E+04,3.3493E+03,3.5482E+03,7.7318E+03,5.4388E+03,7.4399E+03,3.9721E+02,3.7680E+01,6.1028E+01,,,,
2.4103,4.4445E+05,0.0000E+00,0.0000E+00,1.7011E+05,2.7434E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7011E+05,1.3775E+04,1.6870E+04,4.0300E+04,4.7953E+04,6.7667E+04,2.6661E+04,3.3532E+04,3.3059E+03,3.5059E+03,7.6246E+03,5.3481E+03,7.3122E+03,3.9185E+02,3.7224E+01,6.0175E+01,,,,
2.4911,6.9359E+05,0.0000E+00,0.0000E+00,4.3876E+05,2.5483E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.3876E+05,1.3122E+04,1.6138E+04,3.8132E+04,4.4726E+04,6.2981E+04,2.3846E+04,2.9969E+04,3.1322E+03,3.3353E+03,7.1955E+03,4.9856E+03,6.8037E+03,3.7042E+02,3.5387E+01,5.6759E+01,,,,
2.5111,8.0123E+05,0.0000E+00,0.0000E+00,5.5092E+05,2.5031E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1857E+05,4.3236E+05,1.2967E+04,1.5964E+04,3.7622E+04,4.3972E+04,6.1888E+04,2.3208E+04,2.9162E+04,3.0915E+03,3.2951E+03,7.0949E+03,4.9010E+03,6.6851E+03,3.6540E+02,3.4955E+01,5.5959E+01,,,,
2.9416,6.6962E+05,0.0000E+00,0.0000E+00,4.9480E+05,1.7482E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0652E+05,2.8828E+05,1.0183E+04,1.2768E+04,2.8633E+04,3.1023E+04,4.3210E+04,1.3430E+04,1.6814E+04,2.3772E+03,2.5737E+03,5.3367E+03,3.4539E+03,4.6683E+03,2.7828E+02,2.7244E+01,4.2047E+01,,,,
2.9651,7.6020E+05,0.0000E+00,0.0000E+00,5.8855E+05,1.7165E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0433E+05,2.0219E+05,2.8203E+05,1.0058E+04,1.2618E+04,2.8232E+04,3.0465E+04,4.2411E+04,1.3059E+04,1.6347E+04,2.3455E+03,2.5411E+03,5.2592E+03,3.3917E+03,4.5822E+03,2.7445E+02,2.6896E+01,4.1434E+01,,,,
3,7.3929E+05,0.0000E+00,0.0000E+00,5.7219E+05,1.6711E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0313E+05,1.9597E+05,2.7308E+05,9.8760E+03,1.2401E+04,2.7651E+04,2.9662E+04,4.1262E+04,1.2532E+04,1.5683E+04,2.2999E+03,2.4939E+03,5.1474E+03,3.3023E+03,4.4585E+03,2.6892E+02,2.6392E+01,4.0549E+01,,,,
3.407,5.4000E+05,0.0000E+00,0.0000E+00,4.1550E+05,1.2451E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.5514E+04,1.3851E+05,1.9148E+05,8.0747E+03,1.0219E+04,2.1966E+04,2.2018E+04,3.0380E+04,7.9641E+03,9.9363E+03,1.8535E+03,2.0251E+03,4.0596E+03,2.4534E+03,3.2881E+03,2.1518E+02,2.1406E+01,3.1947E+01,,,,
3.4343,5.6183E+05,0.0000E+00,0.0000E+00,4.3962E+05,1.2221E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.2493E+04,8.4409E+04,1.3549E+05,1.8723E+05,7.9714E+03,1.0092E+04,2.1645E+04,2.1601E+04,2.9790E+04,7.7382E+03,9.6526E+03,1.8284E+03,1.9984E+03,3.9987E+03,2.4071E+03,3.2246E+03,2.1217E+02,2.1122E+01,3.1466E+01,,,,
3.6775,4.7707E+05,0.0000E+00,0.0000E+00,3.7295E+05,1.0412E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0570E+04,7.4901E+04,1.1204E+05,1.5544E+05,7.1313E+03,9.0508E+03,1.9054E+04,1.8297E+04,2.5121E+04,6.0357E+03,7.5164E+03,1.6254E+03,1.7807E+03,3.5088E+03,2.0406E+03,2.7227E+03,1.8796E+02,1.8811E+01,2.7605E+01,,,,
