PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
1,8.6388E+05,0.0000E+00,0.0000E+00,0.0000E+00,8.6388E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9540E+04,4.2638E+04,1.1014E+05,1.5114E+05,2.2270E+05,1.1798E+05,1.4964E+05,7.8199E+03,6.6637E+03,1.5000E+04,6.1662E+02,,,,,,,,
1.5,3.8499E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.8499E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2873E+04,2.6976E+04,6.1876E+04,7.5148E+04,1.0807E+05,3.2663E+04,4.1153E+04,4.1449E+03,3.8165E+03,7.9540E+03,3.1571E+02,,,,,,,,
1.5268,3.7103E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.7103E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2288E+04,2.6359E+04,6.0195E+04,7.2573E+04,1.0427E+05,3.0790E+04,3.8781E+04,4.0279E+03,3.7178E+03,7.7239E+03,3.0641E+02,,,,,,,,
1.5391,6.8327E+05,0.0000E+00,0.0000E+00,3.1836E+05,3.6490E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.1836E+05,2.2029E+04,2.6083E+04,5.9451E+04,7.1436E+04,1.0259E+05,2.9981E+04,3.7757E+04,3.9762E+03,3.6741E+03,7.6223E+03,3.0232E+02,,,,,,,,
1.5765,1.1200E+06,0.0000E+00,0.0000E+00,7.7307E+05,3.4697E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.7307E+05,2.1260E+04,2.5261E+04,5.7248E+04,6.8084E+04,9.7655E+04,2.7659E+04,3.4818E+04,3.8241E+03,3.5447E+03,7.3227E+03,2.9028E+02,,,,,,,,
1.5891,1.3108E+06,0.0000E+00,0.0000E+00,9.6956E+05,3.4120E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9392E+05,7.7564E+05,2.1009E+04,2.4992E+04,5.6531E+04,6.6999E+04,9.6059E+04,2.6926E+04,3.3892E+04,3.7749E+03,3.5026E+03,7.2256E+03,2.8638E+02,,,,,,,,
1.9332,1.0232E+06,0.0000E+00,0.0000E+00,7.9886E+05,2.2429E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.2883E+05,4.7003E+05,1.5594E+04,1.8942E+04,4.0983E+04,4.4268E+04,6.2852E+04,1.3736E+04,1.7231E+04,2.7325E+03,2.5860E+03,5.1588E+03,2.0438E+02,,,,,,,,
1.9487,1.1637E+06,0.0000E+00,0.0000E+00,9.4331E+05,2.2042E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6087E+05,3.2213E+05,4.6031E+05,1.5400E+04,1.8718E+04,4.0432E+04,4.3494E+04,6.1730E+04,1.3357E+04,1.6754E+04,2.6962E+03,2.5533E+03,5.0867E+03,2.0156E+02,,,,,,,,
2,1.0881E+06,0.0000E+00,0.0000E+00,8.7979E+05,2.0826E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4857E+05,3.0124E+05,4.2998E+05,1.4784E+04,1.8004E+04,3.8678E+04,4.1052E+04,5.8187E+04,1.2192E+04,1.5285E+04,2.5813E+03,2.4490E+03,4.8579E+03,1.9264E+02,,,,,,,,
2.1591,9.0980E+05,0.0000E+00,0.0000E+00,7.3384E+05,1.7596E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3555E+05,2.4697E+05,3.5131E+05,1.3092E+04,1.6016E+04,3.3864E+04,3.4500E+04,4.8723E+04,9.2938E+03,1.1636E+04,2.2683E+03,2.1617E+03,4.2345E+03,1.6848E+02,,,,,,,,
2.1764,9.4872E+05,0.0000E+00,0.0000E+00,7.7584E+05,1.7288E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.6006E+04,1.3401E+05,2.4188E+05,3.4394E+05,1.2926E+04,1.5819E+04,3.3393E+04,3.3870E+04,4.7816E+04,9.0325E+03,1.1308E+04,2.2378E+03,2.1334E+03,4.1738E+03,1.6613E+02,,,,,,,,
2.3667,7.8323E+05,0.0000E+00,0.0000E+00,6.3986E+05,1.4337E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.0067E+04,1.1744E+05,1.9544E+05,2.7692E+05,1.1287E+04,1.3850E+04,2.8759E+04,2.7820E+04,3.9116E+04,6.6772E+03,8.3469E+03,1.9390E+03,1.8542E+03,3.5789E+03,1.4319E+02,,,,,,,,
