PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,,,,,,,,,,,,,,,,,,,,,,,,
1,1.7817E+05,1.6785E+05,1.0321E+04,0.0000E+00,0.0000E+00,1.6785E+05,7.7597E+03,8.6019E+02,1.7009E+03,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.2375E+04,5.8941E+04,3.4348E+03,0.0000E+00,0.0000E+00,5.8941E+04,2.8037E+03,2.1215E+02,4.1890E+02,,,,,,,,,,,,,,,,,,,,,,,,
2,2.8496E+04,2.6952E+04,1.5436E+03,0.0000E+00,0.0000E+00,2.6952E+04,1.3188E+03,7.5661E+01,1.4922E+02,,,,,,,,,,,,,,,,,,,,,,,,
3,9.0729E+03,8.5848E+03,4.8816E+02,0.0000E+00,0.0000E+00,8.5848E+03,4.3761E+02,1.7032E+01,3.3520E+01,,,,,,,,,,,,,,,,,,,,,,,,
4,3.9313E+03,3.7200E+03,2.1130E+02,0.0000E+00,0.0000E+00,3.7200E+03,1.9437E+02,5.7127E+00,1.1220E+01,,,,,,,,,,,,,,,,,,,,,,,,
5,2.0296E+03,1.9204E+03,1.0917E+02,0.0000E+00,0.0000E+00,1.9204E+03,1.0206E+02,2.4032E+00,4.7127E+00,,,,,,,,,,,,,,,,,,,,,,,,
6,1.1738E+03,1.1107E+03,6.3184E+01,0.0000E+00,0.0000E+00,1.1107E+03,5.9708E+01,1.1747E+00,2.3010E+00,,,,,,,,,,,,,,,,,,,,,,,,
8,4.8883E+02,4.6248E+02,2.6347E+01,0.0000E+00,0.0000E+00,4.6248E+02,2.5241E+01,3.7545E-01,7.3064E-01,,,,,,,,,,,,,,,,,,,,,,,,
10,2.4548E+02,2.3223E+02,1.3249E+01,0.0000E+00,0.0000E+00,2.3223E+02,1.2797E+01,1.5374E-01,2.9828E-01,,,,,,,,,,,,,,,,,,,,,,,,
15,6.8904E+01,6.5174E+01,3.7301E+00,0.0000E+00,0.0000E+00,6.5174E+01,3.6423E+00,2.9984E-02,5.7757E-02,,,,,,,,,,,,,,,,,,,,,,,,
20,2.7596E+01,2.6099E+01,1.4973E+00,0.0000E+00,0.0000E+00,2.6099E+01,1.4702E+00,9.3095E-03,1.7818E-02,,,,,,,,,,,,,,,,,,,,,,,,
30,7.4761E+00,7.0693E+00,4.0684E-01,0.0000E+00,0.0000E+00,7.0693E+00,4.0171E-01,1.7722E-03,3.3524E-03,,,,,,,,,,,,,,,,,,,,,,,,
40,2.9323E+00,2.7725E+00,1.5984E-01,0.0000E+00,0.0000E+00,2.7725E+00,1.5827E-01,5.4571E-04,1.0214E-03,,,,,,,,,,,,,,,,,,,,,,,,
50,1.4131E+00,1.3360E+00,7.7115E-02,0.0000E+00,0.0000E+00,1.3360E+00,7.6489E-02,2.1945E-04,4.0699E-04,,,,,,,,,,,,,,,,,,,,,,,,
60,7.7687E-01,7.3445E-01,4.2428E-02,0.0000E+00,0.0000E+00,7.3445E-01,4.2131E-02,1.0468E-04,1.9230E-04,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0172E-01,2.8522E-01,1.6496E-02,0.0000E+00,0.0000E+00,2.8522E-01,1.6404E-02,3.2877E-05,5.9473E-05,,,,,,,,,,,,,,,,,,,,,,,,
100,1.4492E-01,1.3699E-01,7.9293E-03,0.0000E+00,0.0000E+00,1.3699E-01,7.8916E-03,1.3558E-05,2.4183E-05,,,,,,,,,,,,,,,,,,,,,,,,
