PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2,
4.8279,3.4783E+05,0.0000E+00,0.0000E+00,2.5766E+05,9.0170E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.7794E+04,8.5236E+04,1.1463E+05,5.3957E+03,7.0177E+03,1.5382E+04,1.4994E+04,2.0196E+04,5.6406E+03,6.9416E+03,1.4719E+03,1.7348E+03,3.6080E+03,2.7317E+03,3.6487E+03,3.1660E+02,3.1877E+02,6.1993E+02,5.0176E+01,6.3067E+01,3.8899E+01,
4.8665,3.6201E+05,0.0000E+00,0.0000E+00,2.7353E+05,8.8474E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1219E+04,5.7017E+04,8.3315E+04,1.1198E+05,5.3272E+03,6.9309E+03,1.5149E+04,1.4701E+04,1.9790E+04,5.4788E+03,6.7409E+03,1.4520E+03,1.7119E+03,3.5522E+03,2.6788E+03,3.5760E+03,3.1221E+02,3.1447E+02,6.1027E+02,4.9205E+01,6.1811E+01,3.8363E+01,
5,3.3874E+05,0.0000E+00,0.0000E+00,2.5579E+05,8.2949E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0854E+04,5.4362E+04,7.7099E+04,1.0347E+05,5.0997E+03,6.6432E+03,1.4382E+04,1.3744E+04,1.8466E+04,4.9625E+03,6.1004E+03,1.3860E+03,1.6362E+03,3.3683E+03,2.5060E+03,3.3386E+03,2.9775E+02,3.0028E+02,5.7851E+02,4.6037E+01,5.7714E+01,3.6596E+01,
5.1591,3.1336E+05,0.0000E+00,0.0000E+00,2.3639E+05,7.6971E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9945E+04,5.1309E+04,7.0318E+04,9.4815E+04,4.8460E+03,6.3226E+03,1.3538E+04,1.2707E+04,1.7031E+04,4.4226E+03,5.4313E+03,1.3131E+03,1.5522E+03,3.1662E+03,2.3184E+03,3.0816E+03,2.8179E+02,2.8453E+02,5.4361E+02,4.2595E+01,5.3275E+01,3.4646E+01,
5.2004,3.2069E+05,0.0000E+00,0.0000E+00,2.4517E+05,7.5516E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3346E+04,1.9774E+04,5.0544E+04,6.8812E+04,9.2696E+04,4.7831E+03,6.2430E+03,1.3331E+04,1.2455E+04,1.6681E+04,4.2943E+03,5.2724E+03,1.2951E+03,1.5314E+03,3.1165E+03,2.2727E+03,3.0190E+03,2.7786E+02,2.8063E+02,5.3503E+02,4.1756E+01,5.2195E+01,3.4166E+01,
6,2.2608E+05,0.0000E+00,0.0000E+00,1.7258E+05,5.3498E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1004E+04,1.6779E+04,3.8454E+04,4.5783E+04,6.0558E+04,3.7726E+03,4.9357E+03,1.0043E+04,8.6181E+03,1.1415E+04,2.5171E+03,3.0767E+03,1.0089E+03,1.1960E+03,2.3363E+03,1.5783E+03,2.0744E+03,2.1550E+02,2.1817E+02,4.0055E+02,2.9017E+01,3.5886E+01,2.6539E+01,
8,1.1074E+05,0.0000E+00,0.0000E+00,8.4297E+04,2.6442E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.2103E+03,1.0855E+04,2.1766E+04,1.9357E+04,2.5109E+04,2.2966E+03,2.9721E+03,5.5240E+03,3.9416E+03,5.1038E+03,8.2965E+02,1.0044E+03,6.0234E+02,7.0744E+02,1.2758E+03,7.2814E+02,9.3618E+02,1.2771E+02,1.2808E+02,2.1836E+02,1.3406E+01,1.6217E+01,1.5776E+01,
10,6.3005E+04,0.0000E+00,0.0000E+00,4.7841E+04,1.5164E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.0485E+03,7.3543E+03,1.3489E+04,9.6507E+03,1.2298E+04,1.5379E+03,1.9453E+03,3.3861E+03,2.0729E+03,2.6363E+03,3.4015E+02,4.0852E+02,3.9889E+02,4.5913E+02,7.7961E+02,3.8582E+02,4.8731E+02,8.4171E+01,8.2742E+01,1.3334E+02,7.1113E+00,8.4505E+00,1.0423E+01,
15,2.2240E+04,0.0000E+00,0.0000E+00,1.6815E+04,5.4245E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4938E+03,3.3080E+03,5.2754E+03,2.5707E+03,3.1672E+03,7.1763E+02,8.4688E+02,1.3152E+03,5.9967E+02,7.3664E+02,6.3331E+01,7.4844E+01,1.8363E+02,1.9819E+02,3.0225E+02,1.1311E+02,1.3801E+02,3.8492E+01,3.5494E+01,5.1881E+01,2.0886E+00,2.3978E+00,4.7849E+00,
16.298,1.7934E+04,0.0000E+00,0.0000E+00,1.3548E+04,4.3853E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1386E+03,2.7763E+03,4.3102E+03,1.9449E+03,2.3786E+03,6.1094E+02,7.0779E+02,1.0744E+03,4.6032E+02,5.6126E+02,4.4505E+01,5.2406E+01,1.5600E+02,1.6548E+02,2.4691E+02,8.7044E+01,1.0542E+02,3.2664E+01,3.0267E+01,4.2381E+01,1.6079E+00,1.8322E+00,4.0633E+00,
