PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
1,1.9150E+06,0.0000E+00,0.0000E+00,1.6428E+06,2.7223E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1034E+05,2.5288E+05,5.1984E+05,7.5973E+05,2.5308E+04,2.9090E+04,6.0587E+04,5.9344E+04,8.6287E+04,3.8639E+03,2.6097E+03,5.1436E+03,,,,,,,,,,,
1.0546,1.7149E+06,0.0000E+00,0.0000E+00,1.4696E+06,2.4533E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0521E+05,2.3616E+05,4.5870E+05,6.6948E+05,2.3231E+04,2.6809E+04,5.5503E+04,5.2684E+04,7.6490E+04,3.5281E+03,2.3923E+03,4.6937E+03,,,,,,,,,,,
1.063,1.7576E+06,0.0000E+00,0.0000E+00,1.5161E+06,2.4149E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.1292E+04,1.0434E+05,2.3367E+05,4.5009E+05,6.5668E+05,2.2932E+04,2.6478E+04,5.4769E+04,5.1740E+04,7.5104E+04,3.4802E+03,2.3610E+03,4.6292E+03,,,,,,,,,,,
1.5,8.2429E+05,0.0000E+00,0.0000E+00,7.0581E+05,1.1847E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.7518E+04,6.8075E+04,1.4275E+05,1.8324E+05,2.6423E+05,1.2884E+04,1.4958E+04,2.9863E+04,2.2588E+04,3.2486E+04,1.9076E+03,1.3029E+03,2.4841E+03,,,,,,,,,,,
2,4.1920E+05,0.0000E+00,0.0000E+00,3.5640E+05,6.2806E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.1150E+04,4.3180E+04,8.6483E+04,8.0430E+04,1.1515E+05,7.7856E+03,8.8481E+03,1.7197E+04,1.0570E+04,1.5087E+04,1.1369E+03,7.6157E+02,1.4201E+03,,,,,,,,,,,
3,1.5501E+05,0.0000E+00,0.0000E+00,1.3050E+05,2.4510E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5881E+04,2.0129E+04,3.8398E+04,2.3211E+04,3.2879E+04,3.7237E+03,3.9450E+03,7.4010E+03,3.3004E+03,4.6594E+03,5.3625E+02,3.3594E+02,6.0787E+02,,,,,,,,,,,
4,7.4826E+04,0.0000E+00,0.0000E+00,6.2597E+04,1.2230E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.4959E+03,1.0948E+04,2.0278E+04,9.0951E+03,1.2780E+04,2.1663E+03,2.1201E+03,3.8824E+03,1.3553E+03,1.8977E+03,3.0974E+02,1.7972E+02,3.1844E+02,,,,,,,,,,,
4.5498,5.3724E+04,0.0000E+00,0.0000E+00,4.4825E+04,8.8986E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.4758E+03,8.1983E+03,1.5001E+04,5.8961E+03,8.2542E+03,1.6906E+03,1.5842E+03,2.8701E+03,8.9487E+02,1.2482E+03,2.4110E+02,1.3411E+02,2.3547E+02,,,,,,,,,,,
4.5862,1.5639E+05,0.0000E+00,1.0376E+05,4.3905E+04,8.7240E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.0376E+05,7.3651E+03,8.0503E+03,1.4719E+04,5.7384E+03,8.0314E+03,1.6646E+03,1.5555E+03,2.8162E+03,8.7188E+02,1.2158E+03,2.3737E+02,1.3167E+02,2.3104E+02,,,,,,,,,,,
4.8528,1.3873E+05,0.0000E+00,9.3261E+04,3.7887E+04,7.5798E+03,0.0000E+00,0.0000E+00,0.0000E+00,9.3261E+04,6.6229E+03,7.0693E+03,1.2854E+04,4.7309E+03,6.6101E+03,1.4911E+03,1.3649E+03,2.4596E+03,7.2422E+02,1.0081E+03,2.1242E+02,1.1765E+02,2.0177E+02,,,,,,,,,,,
4.8916,1.8456E+05,0.0000E+00,1.4003E+05,3.7105E+04,7.4302E+03,0.0000E+00,0.0000E+00,4.8726E+04,9.1303E+04,6.5236E+03,6.9398E+03,1.2609E+04,4.6032E+03,6.4302E+03,1.4681E+03,1.3398E+03,2.4127E+03,7.0540E+02,9.8167E+02,2.0911E+02,1.1548E+02,1.9792E+02,,,,,,,,,,,
5,1.7660E+05,0.0000E+00,1.3453E+05,3.5037E+04,7.0334E+03,0.0000E+00,0.0000E+00,4.8193E+04,8.6337E+04,6.2576E+03,6.5948E+03,1.1956E+04,4.2692E+03,5.9598E+03,1.4064E+03,1.2729E+03,2.2881E+03,6.5603E+02,9.1234E+02,2.0025E+02,1.0971E+02,1.8770E+02,,,,,,,,,,,
5.1573,1.6295E+05,0.0000E+00,1.2414E+05,3.2305E+04,6.5074E+03,0.0000E+00,0.0000E+00,4.4210E+04,7.9932E+04,5.8981E+03,6.1328E+03,1.1087E+04,3.8368E+03,5.3512E+03,1.3234E+03,1.1836E+03,2.1220E+03,5.9182E+02,8.2223E+02,1.8834E+02,1.0201E+02,1.7407E+02,,,,,,,,,,,
5.1985,1.8430E+05,0.0000E+00,1.4629E+05,3.1636E+04,6.3782E+03,0.0000E+00,2.4620E+04,4.3317E+04,7.8350E+04,5.8086E+03,6.0185E+03,1.0872E+04,3.7324E+03,5.2043E+03,1.3028E+03,1.1615E+03,2.0811E+03,5.7627E+02,8.0043E+02,1.8538E+02,1.0011E+02,1.7072E+02,,,,,,,,,,,
6,1.2916E+05,0.0000E+00,1.0304E+05,2.1683E+04,4.4371E+03,0.0000E+00,1.9354E+04,3.0313E+04,5.3377E+04,4.4028E+03,4.2688E+03,7.6105E+03,2.2615E+03,3.1391E+03,9.7987E+02,8.2365E+02,1.4582E+03,3.5493E+02,4.9070E+02,1.3914E+02,7.0989E+01,1.1963E+02,,,,,,,,,,,
8,6.0831E+04,0.0000E+00,4.8643E+04,1.0072E+04,2.1161E+03,0.0000E+00,1.1514E+04,1.3714E+04,2.3415E+04,2.4806E+03,2.0753E+03,3.6053E+03,8.0458E+02,1.1059E+03,5.4528E+02,4.0120E+02,6.9318E+02,1.2991E+02,1.7780E+02,7.7184E+01,3.4594E+01,5.6897E+01,,,,,,,,,,,
10,3.3658E+04,0.0000E+00,2.6963E+04,5.5148E+03,1.1803E+03,0.0000E+00,7.4998E+03,7.2812E+03,1.2182E+04,1.5649E+03,1.1538E+03,1.9646E+03,3.5185E+02,4.7963E+02,3.4150E+02,2.2381E+02,3.7924E+02,5.7937E+01,7.8627E+01,4.8711E+01,1.9309E+01,3.1147E+01,,,,,,,,,,,
15,1.1212E+04,0.0000E+00,8.9945E+03,1.8169E+03,4.0038E+02,0.0000E+00,3.2583E+03,2.1960E+03,3.5403E+03,6.5326E+02,3.7506E+02,6.1480E+02,7.4259E+01,9.9493E+01,1.4144E+02,7.3379E+01,1.1982E+02,1.2597E+01,1.6802E+01,2.0146E+01,6.3394E+00,9.8534E+00,,,,,,,,,,,
20,5.0643E+03,0.0000E+00,4.0637E+03,8.1735E+02,1.8326E+02,0.0000E+00,1.7301E+03,9.0895E+02,1.4247E+03,3.4138E+02,1.6227E+02,2.5852E+02,2.3775E+01,3.1406E+01,7.3692E+01,3.1946E+01,5.0712E+01,4.0943E+00,5.3854E+00,1.0490E+01,2.7624E+00,4.1742E+00,,,,,,,,,,,
30,1.6261E+03,0.0000E+00,1.3046E+03,2.6161E+02,5.9847E+01,0.0000E+00,6.7269E+02,2.5258E+02,3.7937E+02,1.3127E+02,4.7447E+01,7.2386E+01,4.5899E+00,5.9239E+00,2.8273E+01,9.4140E+00,1.4313E+01,8.0320E-01,1.0273E+00,4.0223E+00,8.1490E-01,1.1794E+00,,,,,,,,,,,
33.134,1.2278E+03,0.0000E+00,9.8497E+02,1.9745E+02,4.5367E+01,0.0000E+00,5.2893E+02,1.8351E+02,2.7254E+02,1.0310E+02,3.4837E+01,5.2550E+01,3.0499E+00,3.9113E+00,2.2201E+01,6.9242E+00,1.0409E+01,5.3557E-01,6.8073E-01,3.1582E+00,5.9952E-01,8.5797E-01,,,,,,,,,,,
33.399,7.2614E+03,6.0611E+03,9.6297E+02,1.9303E+02,4.4367E+01,6.0611E+03,5.1876E+02,1.7884E+02,2.6538E+02,1.0111E+02,3.3980E+01,5.1210E+01,2.9512E+00,3.7828E+00,2.1772E+01,6.7547E+00,1.0145E+01,5.1839E-01,6.5854E-01,3.0971E+00,5.8486E-01,8.3622E-01,,,,,,,,,,,
40,4.5327E+03,3.8135E+03,5.7688E+02,1.1557E+02,2.6757E+01,3.8135E+03,3.3252E+02,9.9618E+01,1.4474E+02,6.4726E+01,1.9260E+01,2.8411E+01,1.3991E+00,1.7715E+00,1.3935E+01,3.8401E+00,5.6453E+00,2.4718E-01,3.1012E-01,1.9819E+00,3.3261E-01,4.6550E-01,,,,,,,,,,,
50,2.5002E+03,2.1201E+03,3.0486E+02,6.1044E+01,1.4248E+01,2.1201E+03,1.8913E+02,4.7955E+01,6.7775E+01,3.6810E+01,9.4449E+00,1.3547E+01,5.5296E-01,6.8889E-01,7.9251E+00,1.8894E+00,2.7008E+00,9.8279E-02,1.2134E-01,1.1269E+00,1.6371E-01,2.2281E-01,,,,,,,,,,,
60,1.5194E+03,1.2942E+03,1.8055E+02,3.6142E+01,8.4860E+00,1.2942E+03,1.1803E+02,2.6270E+01,3.6249E+01,2.2985E+01,5.2422E+00,7.3388E+00,2.5867E-01,3.1779E-01,4.9500E+00,1.0512E+00,1.4666E+00,4.6159E-02,5.6202E-02,7.0373E-01,9.1107E-02,1.2102E-01,,,,,,,,,,,
80,6.8276E+02,5.8464E+02,7.8647E+01,1.5743E+01,3.7254E+00,5.8464E+02,5.5126E+01,1.0115E+01,1.3407E+01,1.0756E+01,2.0539E+00,2.7605E+00,7.8191E-02,9.3894E-02,2.3181E+00,4.1348E-01,5.5215E-01,1.4030E-02,1.6689E-02,3.2944E-01,3.5826E-02,4.5689E-02,,,,,,,,,,,
100,3.6348E+02,3.1211E+02,4.1170E+01,8.2420E+00,1.9600E+00,3.1211E+02,3.0167E+01,4.8212E+00,6.1819E+00,5.8976E+00,9.8991E-01,1.2867E+00,3.1110E-02,3.6707E-02,1.2709E+00,1.9972E-01,2.5788E-01,5.6005E-03,6.5483E-03,1.8070E-01,1.7307E-02,2.1346E-02,,,,,,,,,,,
150,1.1421E+02,9.8370E+01,1.2687E+01,2.5414E+00,6.0892E-01,9.8370E+01,9.8943E+00,1.2670E+00,1.5255E+00,1.9418E+00,2.6426E-01,3.2242E-01,5.9996E-03,6.8823E-03,4.1875E-01,5.3485E-02,6.4816E-02,1.0853E-03,1.2326E-03,5.9545E-02,4.6365E-03,5.3675E-03,,,,,,,,,,,
200,5.0221E+01,4.3309E+01,5.5355E+00,1.1094E+00,2.6690E-01,4.3309E+01,4.4595E+00,4.9995E-01,5.7608E-01,8.7746E-01,1.0513E-01,1.2274E-01,1.9306E-03,2.1876E-03,1.8931E-01,2.1317E-02,2.4712E-02,3.5032E-04,3.9251E-04,2.6922E-02,1.8481E-03,2.0470E-03,,,,,,,,,,,
