PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
6,1.1308E+05,0.0000E+00,7.4105E+04,3.1711E+04,7.2637E+03,0.0000E+00,0.0000E+00,0.0000E+00,7.4105E+04,5.5036E+03,5.9566E+03,1.0637E+04,4.0427E+03,5.5711E+03,1.3270E+03,1.2505E+03,2.2132E+03,7.2363E+02,9.9464E+02,2.9838E+00,3.7183E+00,2.3339E+02,1.7985E+02,3.1281E+02,2.1909E+01,,,,,,,,
6.1594,1.0510E+05,0.0000E+00,6.8696E+04,2.9602E+04,6.7995E+03,0.0000E+00,0.0000E+00,0.0000E+00,6.8696E+04,5.2364E+03,5.6047E+03,9.9798E+03,3.6946E+03,5.0865E+03,1.2604E+03,1.1764E+03,2.0766E+03,6.6371E+02,9.1137E+02,2.6570E+00,3.3095E+00,2.2157E+02,1.6916E+02,2.9351E+02,2.0800E+01,,,,,,,,
6.2087,1.4050E+05,0.0000E+00,1.0485E+05,2.8988E+04,6.6641E+03,0.0000E+00,0.0000E+00,3.7626E+04,6.7223E+04,5.1575E+03,5.5015E+03,9.7871E+03,3.5945E+03,4.9471E+03,1.2407E+03,1.1547E+03,2.0366E+03,6.4643E+02,8.8737E+02,2.5647E+00,3.1940E+00,2.1809E+02,1.6603E+02,2.8786E+02,2.0473E+01,,,,,,,,
6.5076,1.2508E+05,0.0000E+00,9.3556E+04,2.5610E+04,5.9169E+03,0.0000E+00,0.0000E+00,3.4008E+04,5.9548E+04,4.7132E+03,4.9278E+03,8.7174E+03,3.0552E+03,4.1969E+03,1.1306E+03,1.0338E+03,1.8148E+03,5.5292E+02,7.5764E+02,2.0808E+00,2.5891E+00,1.9859E+02,1.4861E+02,2.5653E+02,1.8644E+01,,,,,,,,
6.5597,1.4144E+05,0.0000E+00,1.1056E+05,2.5077E+04,5.7985E+03,0.0000E+00,1.8957E+04,3.3252E+04,5.8354E+04,4.6412E+03,4.8360E+03,8.5468E+03,2.9718E+03,4.0811E+03,1.1129E+03,1.0145E+03,1.7795E+03,5.3839E+02,7.3751E+02,2.0081E+00,2.4983E+00,1.9545E+02,1.4583E+02,2.5153E+02,1.8349E+01,,,,,,,,
8,8.5947E+04,0.0000E+00,6.7645E+04,1.4811E+04,3.4910E+03,0.0000E+00,1.3661E+04,2.0017E+04,3.3967E+04,3.1481E+03,2.9937E+03,5.1759E+03,1.4784E+03,2.0149E+03,7.4728E+02,6.2829E+02,1.0801E+03,2.7440E+02,3.7293E+02,8.2204E-01,1.0186E+00,1.3088E+02,9.0246E+01,1.5275E+02,1.2291E+01,,,,,,,,
10,4.7712E+04,0.0000E+00,3.7611E+04,8.1448E+03,1.9560E+03,0.0000E+00,9.0309E+03,1.0785E+04,1.7795E+04,2.0080E+03,1.7053E+03,2.8782E+03,6.6086E+02,8.9234E+02,4.7232E+02,3.5869E+02,6.0266E+02,1.2553E+02,1.6900E+02,2.9680E-01,3.6603E-01,8.2532E+01,5.1509E+01,8.5321E+01,7.7525E+00,,,,,,,,
15,1.6133E+04,0.0000E+00,1.2758E+04,2.7066E+03,6.6900E+02,0.0000E+00,4.0575E+03,3.3730E+03,5.3271E+03,8.5661E+02,5.7867E+02,9.3395E+02,1.4509E+02,1.9225E+02,1.9911E+02,1.2257E+02,1.9723E+02,2.8572E+01,3.7731E+01,4.4732E-02,5.4651E-02,3.4695E+01,1.7816E+01,2.7924E+01,3.2596E+00,,,,,,,,
20,7.3496E+03,0.0000E+00,5.8167E+03,1.2248E+03,3.0811E+02,0.0000E+00,2.2039E+03,1.4295E+03,2.1833E+03,4.5486E+02,2.5771E+02,4.0240E+02,4.7656E+01,6.2173E+01,1.0524E+02,5.4943E+01,8.5593E+01,9.5813E+00,1.2458E+01,1.1189E-02,1.3557E-02,1.8425E+01,7.9951E+00,1.2132E+01,1.7209E+00,,,,,,,,
30,2.3848E+03,0.0000E+00,1.8882E+03,3.9515E+02,1.0139E+02,0.0000E+00,8.8227E+02,4.0976E+02,5.9617E+02,1.7893E+02,7.8272E+01,1.1633E+02,9.5169E+00,1.2107E+01,4.1252E+01,1.6837E+01,2.4973E+01,1.9546E+00,2.4789E+00,1.5269E-03,1.8246E-03,7.2167E+00,2.4538E+00,3.5452E+00,6.7396E-01,,,,,,,,
40,1.0621E+03,0.0000E+00,8.4100E+02,1.7558E+02,4.5563E+01,0.0000E+00,4.4463E+02,1.6505E+02,2.3132E+02,8.9687E+01,3.2591E+01,4.6637E+01,2.9676E+00,3.6989E+00,2.0653E+01,7.0495E+00,1.0069E+01,6.1646E-01,7.6640E-01,3.6792E-04,4.3475E-04,3.6118E+00,1.0283E+00,1.4307E+00,3.3729E-01,,,,,,,,
40.42,1.0312E+03,0.0000E+00,8.1652E+02,1.7046E+02,4.4251E+01,0.0000E+00,4.3346E+02,1.5963E+02,2.2342E+02,8.7426E+01,3.1557E+01,4.5093E+01,2.8438E+00,3.5419E+00,2.0132E+01,6.8272E+00,9.7374E+00,5.9095E-01,7.3416E-01,3.4933E-04,4.1261E-04,3.5206E+00,9.9592E-01,1.3837E+00,3.2878E-01,,,,,,,,
40.744,5.8663E+03,4.8581E+03,7.9831E+02,1.6665E+02,4.3275E+01,4.8581E+03,4.2512E+02,1.5562E+02,2.1758E+02,8.5736E+01,3.0790E+01,4.3949E+01,2.7529E+00,3.4265E+00,1.9743E+01,6.6621E+00,9.4916E+00,5.7220E-01,7.1046E-01,3.3577E-04,3.9647E-04,3.4525E+00,9.7187E-01,1.3488E+00,3.2242E-01,,,,,,,,
50,3.4218E+03,2.8574E+03,4.4685E+02,9.3178E+01,2.4363E+01,2.8574E+03,2.5649E+02,8.0686E+01,1.0968E+02,5.1654E+01,1.6285E+01,2.2587E+01,1.1918E+00,1.4600E+00,1.1891E+01,3.5362E+00,4.8954E+00,2.4937E-01,3.0492E-01,1.2141E-04,1.4205E-04,2.0791E+00,5.1616E-01,6.9607E-01,1.9415E-01,,,,,,,,
60,2.1048E+03,1.7690E+03,2.6581E+02,5.5384E+01,1.4559E+01,1.7690E+03,1.6182E+02,4.4750E+01,5.9235E+01,3.2584E+01,9.1713E+00,1.2383E+01,5.6424E-01,6.8091E-01,7.5013E+00,1.9972E+00,2.6916E+00,1.1873E-01,1.4220E-01,4.9079E-05,5.6918E-05,1.3113E+00,2.9165E-01,3.8289E-01,1.2246E-01,,,,,,,,
80,9.5831E+02,8.1098E+02,1.1661E+02,2.4279E+01,6.4303E+00,8.1098E+02,7.6827E+01,1.7554E+01,2.2233E+01,1.5488E+01,3.6721E+00,4.7409E+00,1.7350E-01,2.0430E-01,3.5671E+00,8.0278E-01,1.0345E+00,3.6763E-02,4.2959E-02,1.1838E-05,1.3530E-05,6.2344E-01,1.1730E-01,1.4726E-01,5.8221E-02,,,,,,,,
100,5.1525E+02,4.3768E+02,6.1393E+01,1.2778E+01,3.3999E+00,4.3768E+02,4.2549E+01,8.4825E+00,1.0361E+01,8.5921E+00,1.7979E+00,2.2377E+00,6.9879E-02,8.0731E-02,1.9799E+00,3.9401E-01,4.8848E-01,1.4874E-02,1.7043E-02,3.9814E-06,4.4978E-06,3.4596E-01,5.7601E-02,6.9706E-02,3.2309E-02,,,,,,,,
150,1.6445E+02,1.4028E+02,1.9123E+01,3.9802E+00,1.0663E+00,1.4028E+02,1.4240E+01,2.2812E+00,2.6023E+00,2.8862E+00,4.9259E-01,5.7220E-01,1.3753E-02,1.5407E-02,6.6531E-01,1.0844E-01,1.2536E-01,2.9452E-03,3.2733E-03,5.7942E-07,6.4347E-07,1.1631E-01,1.5851E-02,1.7902E-02,1.0863E-02,,,,,,,,
200,7.3037E+01,6.2407E+01,8.4086E+00,1.7505E+00,4.7072E-01,6.2407E+01,6.5019E+00,9.1345E-01,9.9330E-01,1.3214E+00,1.9919E-01,2.2049E-01,4.4825E-03,4.9497E-03,3.0476E-01,4.3948E-02,4.8398E-02,9.6308E-04,1.0552E-03,1.5594E-07,1.7230E-07,5.3284E-02,6.4256E-03,6.9142E-03,4.9776E-03,,,,,,,,
300,2.3732E+01,2.0307E+01,2.7083E+00,5.6400E-01,1.5226E-01,2.0307E+01,2.1769E+00,2.6243E-01,2.6893E-01,4.4385E-01,5.7800E-02,6.0276E-02,9.8470E-04,1.0881E-03,1.0243E-01,1.2784E-02,1.3254E-02,2.1250E-04,2.3247E-04,2.6777E-08,3.0071E-08,1.7911E-02,1.8695E-03,1.8945E-03,1.6740E-03,,,,,,,,
400,1.1026E+01,9.4429E+00,1.2521E+00,2.6076E-01,7.0537E-02,9.4429E+00,1.0264E+00,1.1318E-01,1.1251E-01,2.0962E-01,2.5045E-02,2.5339E-02,3.5927E-04,4.0038E-04,4.8389E-02,5.5471E-03,5.5751E-03,7.7461E-05,8.6204E-05,8.4235E-09,9.7735E-09,8.4621E-03,8.1132E-04,7.9705E-04,7.9145E-04,,,,,,,,
500,6.2514E+00,5.3575E+00,7.0688E-01,1.4715E-01,3.9865E-02,5.3575E+00,5.8643E-01,6.0837E-02,5.9612E-02,1.1983E-01,1.3525E-02,1.3430E-02,1.7060E-04,1.9543E-04,2.7675E-02,2.9925E-03,2.9633E-03,3.6735E-05,4.2312E-05,3.5713E-09,4.3508E-09,4.8399E-03,4.3767E-04,4.2368E-04,4.5309E-04,,,,,,,,
600,4.0174E+00,3.4451E+00,4.5250E-01,9.4170E-02,2.5532E-02,3.4451E+00,3.7844E-01,3.7506E-02,3.6557E-02,7.7360E-02,8.3550E-03,8.2454E-03,9.5365E-05,1.1369E-04,1.7868E-02,1.8496E-03,1.8201E-03,2.0605E-05,2.4572E-05,1.8436E-09,2.3440E-09,3.1250E-03,2.7042E-04,2.6031E-04,2.9291E-04,,,,,,,,
800,2.0889E+00,1.7934E+00,2.3371E-01,4.8607E-02,1.3190E-02,1.7934E+00,1.9745E-01,1.8342E-02,1.7915E-02,4.0371E-02,4.0936E-03,4.0489E-03,4.0780E-05,5.2246E-05,9.3255E-03,9.0678E-04,8.9325E-04,8.8179E-06,1.1189E-05,7.1268E-10,9.8869E-10,1.6310E-03,1.3260E-04,1.2785E-04,1.5343E-04,,,,,,,,
1000,1.3062E+00,1.1225E+00,1.4534E-01,3.0211E-02,8.2025E-03,1.1225E+00,1.2355E-01,1.0976E-02,1.0810E-02,2.5261E-02,2.4544E-03,2.4437E-03,2.2545E-05,2.9596E-05,5.8345E-03,5.4369E-04,5.3932E-04,4.8048E-06,6.4536E-06,3.6004E-10,5.5047E-10,1.0206E-03,7.9473E-05,7.7240E-05,9.6498E-05,,,,,,,,
1500,6.0256E-01,5.1858E-01,6.6443E-02,1.3795E-02,3.7490E-03,5.1858E-01,5.6924E-02,4.7623E-03,4.7565E-03,1.1632E-02,1.0636E-03,1.0783E-03,8.4153E-06,1.2703E-05,2.6866E-03,2.3574E-04,2.3798E-04,1.8140E-06,2.6770E-06,1.3931E-10,2.3621E-10,4.7019E-04,3.4466E-05,3.4168E-05,4.5376E-05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,0.86,1.14,2,2,4,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
