PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
1,3.9072E+05,0.0000E+00,3.5150E+05,3.8272E+04,9.4892E+02,0.0000E+00,8.2051E+04,9.1266E+04,1.7819E+05,1.2338E+04,8.6906E+03,1.6984E+04,1.0491E+02,1.5507E+02,9.4892E+02,,,,,,,,,,,,,,,,,,
1.5,1.3843E+05,0.0000E+00,1.2380E+05,1.4210E+04,4.2009E+02,0.0000E+00,3.9002E+04,2.8834E+04,5.5964E+04,5.5019E+03,2.9395E+03,5.7127E+03,2.2707E+01,3.3499E+01,4.2009E+02,,,,,,,,,,,,,,,,,,
2,6.4767E+04,0.0000E+00,5.7693E+04,6.8443E+03,2.2972E+02,0.0000E+00,2.1891E+04,1.2207E+04,2.3595E+04,3.0179E+03,1.2974E+03,2.5111E+03,7.2642E+00,1.0694E+01,2.2972E+02,,,,,,,,,,,,,,,,,,
3,2.1629E+04,0.0000E+00,1.9175E+04,2.3589E+03,9.4287E+01,0.0000E+00,9.1317E+03,3.4386E+03,6.6051E+03,1.2369E+03,3.8263E+02,7.3597E+02,1.3555E+00,1.9912E+00,9.4287E+01,,,,,,,,,,,,,,,,,,
4,9.7894E+03,0.0000E+00,8.6564E+03,1.0846E+03,4.8353E+01,0.0000E+00,4.7211E+03,1.3516E+03,2.5838E+03,6.3492E+02,1.5400E+02,2.9474E+02,3.9948E-01,5.8188E-01,4.8353E+01,,,,,,,,,,,,,,,,,,
4.4614,7.2269E+03,0.0000E+00,6.3849E+03,8.0472E+02,3.7267E+01,0.0000E+00,3.6467E+03,9.4163E+02,1.7966E+03,4.8946E+02,1.0812E+02,2.0653E+02,2.5052E-01,3.6447E-01,3.7267E+01,,,,,,,,,,,,,,,,,,
4.4971,6.0551E+04,5.3483E+04,6.2441E+03,7.8731E+02,3.6560E+01,5.3483E+04,3.5779E+03,9.1695E+02,1.7492E+03,4.8017E+02,1.0535E+02,2.0119E+02,2.4210E-01,3.5220E-01,3.6560E+01,,,,,,,,,,,,,,,,,,
5,4.6936E+04,4.1680E+04,4.6398E+03,5.8815E+02,2.8284E+01,4.1680E+04,2.7726E+03,6.4299E+02,1.2242E+03,3.7155E+02,7.4407E+01,1.4181E+02,1.5359E-01,2.2315E-01,2.8284E+01,,,,,,,,,,,,,,,,,,
6,2.9250E+04,2.6102E+04,2.7748E+03,3.5482E+02,1.8046E+01,2.6102E+04,1.7718E+03,3.4623E+02,6.5682E+02,2.3711E+02,4.0546E+01,7.6994E+01,6.9712E-02,1.0109E-01,1.8046E+01,,,,,,,,,,,,,,,,,,
8,1.3559E+04,1.2170E+04,1.2225E+03,1.5828E+02,8.7021E+00,1.2170E+04,8.5431E+02,1.2761E+02,2.4056E+02,1.1435E+02,1.5201E+01,2.8680E+01,1.9502E-02,2.8169E-02,8.7021E+00,,,,,,,,,,,,,,,,,,
10,7.3566E+03,6.6253E+03,6.4254E+02,8.3883E+01,4.8574E+00,6.6253E+03,4.7622E+02,5.7858E+01,1.0847E+02,6.3828E+01,6.9665E+00,1.3071E+01,7.0879E-03,1.0201E-02,4.8574E+00,,,,,,,,,,,,,,,,,,
15,2.3398E+03,2.1157E+03,1.9653E+02,2.5955E+01,1.6220E+00,2.1157E+03,1.5855E+02,1.3312E+01,2.4664E+01,2.1313E+01,1.6252E+00,3.0146E+00,1.0983E-03,1.5675E-03,1.6220E+00,,,,,,,,,,,,,,,,,,
20,1.0143E+03,9.1872E+02,8.3742E+01,1.1130E+01,7.2515E-01,9.1872E+02,7.0727E+01,4.5920E+00,8.4227E+00,9.5283E+00,5.6547E-01,1.0358E+00,2.8904E-04,4.0980E-04,7.2515E-01,,,,,,,,,,,,,,,,,,
30,3.0378E+02,2.7554E+02,2.4709E+01,3.3048E+00,2.2530E-01,2.7554E+02,2.1908E+01,9.9928E-01,1.8013E+00,2.9572E+00,1.2412E-01,2.2343E-01,4.3375E-05,6.0703E-05,2.2530E-01,,,,,,,,,,,,,,,,,,
40,1.2697E+02,1.1524E+02,1.0263E+01,1.3779E+00,9.6175E-02,1.1524E+02,9.3345E+00,3.3448E-01,5.9393E-01,1.2621E+00,4.1740E-02,7.4019E-02,1.1227E-05,1.5546E-05,9.6175E-02,,,,,,,,,,,,,,,,,,
50,6.4022E+01,5.8121E+01,5.1577E+00,6.9415E-01,4.9160E-02,5.8121E+01,4.7652E+00,1.4262E-01,2.4990E-01,6.4505E-01,1.7855E-02,3.1233E-02,3.9361E-06,5.4037E-06,4.9160E-02,,,,,,,,,,,,,,,,,,
60,3.6426E+01,3.3074E+01,2.9290E+00,3.9486E-01,2.8241E-02,3.3074E+01,2.7349E+00,7.1080E-02,1.2304E-01,3.7053E-01,8.9161E-03,1.5411E-02,1.6769E-06,2.2857E-06,2.8241E-02,,,,,,,,,,,,,,,,,,
80,1.4868E+01,1.3502E+01,1.1932E+00,1.6122E-01,1.1675E-02,1.3502E+01,1.1291E+00,2.3790E-02,4.0315E-02,1.5316E-01,2.9932E-03,5.0613E-03,4.4217E-07,5.9361E-07,1.1675E-02,,,,,,,,,,,,,,,,,,
100,7.3950E+00,6.7159E+00,5.9295E-01,8.0229E-02,5.8536E-03,6.7159E+00,5.6563E-01,1.0253E-02,1.7068E-02,7.6790E-02,1.2925E-03,2.1467E-03,1.5961E-07,2.1229E-07,5.8536E-03,,,,,,,,,,,,,,,,,,
150,2.0787E+00,1.8878E+00,1.6657E-01,2.2585E-02,1.6643E-03,1.8878E+00,1.6061E-01,2.2861E-03,3.6808E-03,2.1832E-02,2.8919E-04,4.6381E-04,2.6406E-08,3.4723E-08,1.6643E-03,,,,,,,,,,,,,,,,,,
200,8.5211E-01,7.7386E-01,6.8289E-02,9.2689E-03,6.8637E-04,7.7386E-01,6.6188E-02,8.1879E-04,1.2822E-03,9.0036E-03,1.0331E-04,1.6194E-04,7.7623E-09,1.0216E-08,6.8637E-04,,,,,,,,,,,,,,,,,,
300,2.5077E-01,2.2773E-01,2.0112E-02,2.7312E-03,2.0323E-04,2.2773E-01,1.9593E-02,2.0500E-04,3.1441E-04,2.6656E-03,2.5865E-05,3.9777E-05,1.5181E-09,2.0500E-09,2.0323E-04,,,,,,,,,,,,,,,,,,
400,1.0985E-01,9.9751E-02,8.8112E-03,1.1970E-03,8.9300E-05,9.9751E-02,8.6044E-03,8.1546E-05,1.2523E-04,1.1709E-03,1.0284E-05,1.5870E-05,5.1587E-10,7.2351E-10,8.9300E-05,,,,,,,,,,,,,,,,,,
500,6.0004E-02,5.4488E-02,4.8127E-03,6.5395E-04,4.8878E-05,5.4488E-02,4.7063E-03,4.1535E-05,6.4854E-05,6.4050E-04,5.2452E-06,8.2075E-06,2.3461E-10,3.4883E-10,4.8878E-05,,,,,,,,,,,,,,,,,,
600,3.7656E-02,3.4196E-02,3.0197E-03,4.1035E-04,3.0726E-05,3.4196E-02,2.9556E-03,2.4649E-05,3.9415E-05,4.0225E-04,3.1113E-06,4.9864E-06,1.2775E-10,2.0366E-10,3.0726E-05,,,,,,,,,,,,,,,,,,
800,1.9128E-02,1.7371E-02,1.5329E-03,2.0835E-04,1.5653E-05,1.7371E-02,1.5022E-03,1.1526E-05,1.9189E-05,2.0446E-04,1.4490E-06,2.4377E-06,5.2923E-11,9.3470E-11,1.5653E-05,,,,,,,,,,,,,,,,,,
1000,1.1895E-02,1.0803E-02,9.5248E-04,1.2947E-04,9.7692E-06,1.0803E-02,9.3408E-04,6.6759E-06,1.1720E-05,1.2714E-04,8.4185E-07,1.4844E-06,2.9228E-11,5.5013E-11,9.7692E-06,,,,,,,,,,,,,,,,,,
1500,5.5654E-03,5.0553E-03,4.4489E-04,6.0508E-05,4.6396E-06,5.0553E-03,4.3681E-04,2.7849E-06,5.3042E-06,5.9481E-05,3.4899E-07,6.7790E-07,1.3039E-11,2.7512E-11,4.6396E-06,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,0.4,0.6,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
