PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
1,2.6323E+05,0.0000E+00,0.0000E+00,2.5557E+05,7.6556E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.5798E+04,4.3606E+04,8.5195E+04,3.6952E+04,5.4018E+04,3.7855E+03,1.3225E+03,2.5475E+03,,,,,,,,,,,,,,,,
1.3269,1.3429E+05,0.0000E+00,0.0000E+00,1.2989E+05,4.4032E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2094E+04,2.4357E+04,4.7070E+04,1.4797E+04,2.1568E+04,2.2797E+03,7.2975E+02,1.3937E+03,,,,,,,,,,,,,,,,
1.3376,5.5608E+05,0.0000E+00,4.2436E+05,1.2739E+05,4.3331E+03,0.0000E+00,0.0000E+00,0.0000E+00,4.2436E+05,2.1786E+04,2.3941E+04,4.6252E+04,1.4410E+04,2.1002E+04,2.2467E+03,7.1711E+02,1.3693E+03,,,,,,,,,,,,,,,,
1.3644,5.5294E+05,0.0000E+00,4.2740E+05,1.2137E+05,4.1629E+03,0.0000E+00,0.0000E+00,0.0000E+00,4.2740E+05,2.1037E+04,2.2930E+04,4.4266E+04,1.3488E+04,1.9654E+04,2.1664E+03,6.8649E+02,1.3100E+03,,,,,,,,,,,,,,,,
1.3753,7.6004E+05,0.0000E+00,6.3691E+05,1.1904E+05,4.0963E+03,0.0000E+00,0.0000E+00,2.0473E+05,4.3218E+05,2.0743E+04,2.2534E+04,4.3490E+04,1.3134E+04,1.9136E+04,2.1349E+03,6.7454E+02,1.2869E+03,,,,,,,,,,,,,,,,
1.5,6.4964E+05,0.0000E+00,5.4998E+05,9.6221E+04,3.4338E+03,0.0000E+00,0.0000E+00,1.8769E+05,3.6229E+05,1.7771E+04,1.8592E+04,3.5769E+04,9.8101E+03,1.4280E+04,1.8194E+03,5.5608E+02,1.0583E+03,,,,,,,,,,,,,,,,
1.5178,6.3035E+05,0.0000E+00,5.3352E+05,9.3470E+04,3.3520E+03,0.0000E+00,0.0000E+00,1.8224E+05,3.5128E+05,1.7398E+04,1.8106E+04,3.4820E+04,9.4264E+03,1.3719E+04,1.7802E+03,5.4152E+02,1.0302E+03,,,,,,,,,,,,,,,,
1.5299,6.9888E+05,0.0000E+00,6.0393E+05,9.1649E+04,3.2975E+03,0.0000E+00,8.1376E+04,1.7857E+05,3.4398E+05,1.7150E+04,1.7784E+04,3.4190E+04,9.1744E+03,1.3351E+04,1.7541E+03,5.3184E+02,1.0116E+03,,,,,,,,,,,,,,,,
2,3.6408E+05,0.0000E+00,3.1530E+05,4.6899E+04,1.8745E+03,0.0000E+00,5.6594E+04,8.8779E+04,1.6993E+05,1.0450E+04,9.4949E+03,1.8084E+04,3.6195E+03,5.2508E+03,1.0558E+03,2.8353E+02,5.3515E+02,,,,,,,,,,,,,,,,
3,1.2997E+05,0.0000E+00,1.1269E+05,1.6514E+04,7.6353E+02,0.0000E+00,2.8021E+04,2.9413E+04,5.5260E+04,4.7275E+03,3.3923E+03,6.3717E+03,8.2779E+02,1.1946E+03,4.7237E+02,1.0163E+02,1.8953E+02,,,,,,,,,,,,,,,,
4,6.0754E+04,0.0000E+00,5.2630E+04,7.7317E+03,3.9284E+02,0.0000E+00,1.6130E+04,1.2762E+04,2.3738E+04,2.6137E+03,1.5530E+03,2.8878E+03,2.7785E+02,3.9932E+02,2.5982E+02,4.7084E+01,8.5938E+01,,,,,,,,,,,,,,,,
5,3.3300E+04,0.0000E+00,2.8816E+04,4.2531E+03,2.3144E+02,0.0000E+00,1.0229E+04,6.5327E+03,1.2054E+04,1.6236E+03,8.2499E+02,1.5218E+03,1.1625E+02,1.6648E+02,1.6095E+02,2.5080E+01,4.5410E+01,,,,,,,,,,,,,,,,
