PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,,,,
1,1.8837E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.8837E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.0406E+04,3.5340E+04,1.4279E+05,2.0102E+05,3.1016E+05,4.4384E+05,5.7009E+05,1.3793E+04,1.1879E+04,3.4864E+04,3.0500E+04,4.4749E+04,2.1671E+03,6.3008E+02,1.4296E+03,,,,
1.5,8.5214E+05,0.0000E+00,0.0000E+00,0.0000E+00,8.5214E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6470E+04,2.8428E+04,8.7258E+04,1.2295E+05,1.8067E+05,1.4525E+05,1.8465E+05,7.5866E+03,7.3701E+03,1.8983E+04,1.6616E+04,2.3642E+04,1.1386E+03,3.6938E+02,7.6090E+02,,,,
2,4.6361E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.6361E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8381E+04,2.1511E+04,5.7503E+04,7.5382E+04,1.0812E+05,6.0010E+04,7.5779E+04,4.8536E+03,5.0307E+03,1.1917E+04,9.8888E+03,1.3802E+04,7.1130E+02,2.4470E+02,4.7238E+02,,,,
2.583,2.6349E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.6349E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2801E+04,1.5747E+04,3.8113E+04,4.5349E+04,6.3789E+04,2.5896E+04,3.2506E+04,3.2167E+03,3.4752E+03,7.6830E+03,5.8896E+03,8.0890E+03,4.6349E+02,1.6544E+02,3.0231E+02,,,,
2.6037,6.3109E+05,0.0000E+00,0.0000E+00,3.7229E+05,2.5880E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.7229E+05,1.2652E+04,1.5581E+04,3.7606E+04,4.4591E+04,6.2686E+04,2.5207E+04,3.1635E+04,3.1750E+03,3.4337E+03,7.5756E+03,5.7903E+03,7.9488E+03,4.5727E+02,1.6336E+02,2.9798E+02,,,,
2.6952,6.3751E+05,0.0000E+00,0.0000E+00,3.9811E+05,2.3941E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9811E+05,1.2023E+04,1.4873E+04,3.5471E+04,4.1425E+04,5.8092E+04,2.2419E+04,2.8112E+04,3.0002E+03,3.2587E+03,7.1256E+03,5.3767E+03,7.3654E+03,4.3123E+02,1.5464E+02,2.8004E+02,,,,
2.7167,8.7548E+05,0.0000E+00,0.0000E+00,6.4035E+05,2.3513E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5003E+05,3.9032E+05,1.1882E+04,1.4712E+04,3.4991E+04,4.0719E+04,5.7072E+04,2.1817E+04,2.7353E+04,2.9610E+03,3.2194E+03,7.0251E+03,5.2847E+03,7.2358E+03,4.2542E+02,1.5268E+02,2.8085E+02,,,,
3,7.0890E+05,0.0000E+00,0.0000E+00,5.2127E+05,1.8763E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1716E+05,3.0411E+05,1.0227E+04,1.2816E+04,2.9476E+04,3.2741E+04,4.5582E+04,1.5500E+04,1.9387E+04,2.5127E+03,2.7610E+03,5.8748E+03,4.2464E+03,5.7789E+03,3.5902E+02,1.3003E+02,2.3462E+02,,,,
3.1636,6.1870E+05,0.0000E+00,0.0000E+00,4.5260E+05,1.6609E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8939E+05,2.6322E+05,9.4182E+03,1.1872E+04,2.6842E+04,2.9033E+04,4.0269E+04,1.2874E+04,1.6081E+04,2.2993E+03,2.5385E+03,5.3301E+03,3.7656E+03,5.1079E+03,3.2763E+02,1.1913E+02,2.1276E+02,,,,
3.1889,7.0079E+05,0.0000E+00,0.0000E+00,5.3772E+05,1.6306E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.4818E+04,1.8542E+05,2.5748E+05,9.3017E+03,1.1734E+04,2.6464E+04,2.8507E+04,3.9519E+04,1.2518E+04,1.5633E+04,2.2687E+03,2.5063E+03,5.2522E+03,3.6975E+03,5.0131E+03,3.2314E+02,1.1756E+02,2.0964E+02,,,,
