PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
1,3.4737E+05,0.0000E+00,0.0000E+00,3.3200E+05,1.5369E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.0782E+04,5.1911E+04,1.0190E+05,5.5830E+04,8.1578E+04,5.1576E+03,3.4846E+03,6.7270E+03,,,,,,,,,,,,,,,,
1.5,1.3222E+05,0.0000E+00,0.0000E+00,1.2534E+05,6.8756E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0543E+04,2.2943E+04,4.4222E+04,1.5334E+04,2.2303E+04,2.4973E+03,1.5079E+03,2.8703E+03,,,,,,,,,,,,,,,,
1.552,1.2167E+05,0.0000E+00,0.0000E+00,1.1527E+05,6.4042E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9341E+04,2.1309E+04,4.1014E+04,1.3695E+04,1.9910E+04,2.3451E+03,1.3991E+03,2.6600E+03,,,,,,,,,,,,,,,,
1.5644,5.2560E+05,0.0000E+00,4.0627E+05,1.1303E+05,6.2983E+03,0.0000E+00,0.0000E+00,0.0000E+00,4.0627E+05,1.9069E+04,2.0941E+04,4.0294E+04,1.3336E+04,1.9386E+04,2.3108E+03,1.3747E+03,2.6128E+03,,,,,,,,,,,,,,,,
1.6006,4.7333E+05,0.0000E+00,3.6050E+05,1.0683E+05,6.0038E+03,0.0000E+00,0.0000E+00,0.0000E+00,3.6050E+05,1.8310E+04,1.9917E+04,3.8287E+04,1.2357E+04,1.7958E+04,2.2151E+03,1.3068E+03,2.4819E+03,,,,,,,,,,,,,,,,
1.6134,6.6600E+05,0.0000E+00,5.5535E+05,1.0474E+05,5.9041E+03,0.0000E+00,0.0000E+00,1.9449E+05,3.6085E+05,1.8051E+04,1.9570E+04,3.7607E+04,1.2032E+04,1.7484E+04,2.1826E+03,1.2839E+03,2.4377E+03,,,,,,,,,,,,,,,,
1.7675,5.3692E+05,0.0000E+00,4.4855E+05,8.3505E+04,4.8665E+03,0.0000E+00,0.0000E+00,1.5354E+05,2.9501E+05,1.5316E+04,1.5955E+04,3.0548E+04,8.8461E+03,1.2840E+04,1.8416E+03,1.0457E+03,1.9793E+03,,,,,,,,,,,,,,,,
1.7817,5.9591E+05,0.0000E+00,5.0927E+05,8.1859E+04,4.7841E+03,0.0000E+00,6.9766E+04,1.5056E+05,2.8894E+05,1.5095E+04,1.5669E+04,2.9991E+04,8.6092E+03,1.2495E+04,1.8142E+03,1.0268E+03,1.9430E+03,,,,,,,,,,,,,,,,
2,4.5141E+05,0.0000E+00,3.8644E+05,6.1244E+04,3.7234E+03,0.0000E+00,6.2517E+04,1.1143E+05,2.1249E+05,1.2207E+04,1.2000E+04,2.2862E+04,5.7878E+03,8.3874E+03,1.4577E+03,7.8537E+02,1.4803E+03,,,,,,,,,,,,,,,,
3,1.6271E+05,0.0000E+00,1.3959E+05,2.1631E+04,1.4877E+03,0.0000E+00,3.1462E+04,3.7603E+04,7.0529E+04,5.6031E+03,4.4190E+03,8.2880E+03,1.3605E+03,1.9603E+03,6.5939E+02,2.8975E+02,5.3859E+02,,,,,,,,,,,,,,,,
4,7.6643E+04,0.0000E+00,6.5750E+04,1.0142E+04,7.5094E+02,0.0000E+00,1.8389E+04,1.6598E+04,3.0763E+04,3.1278E+03,2.0611E+03,3.8226E+03,4.6450E+02,6.6626E+02,3.6580E+02,1.3563E+02,2.4952E+02,,,,,,,,,,,,,,,,
5,4.2181E+04,0.0000E+00,3.6162E+04,5.5849E+03,4.3452E+02,0.0000E+00,1.1799E+04,8.5887E+03,1.5774E+04,1.9568E+03,1.1098E+03,2.0400E+03,1.9690E+02,2.8134E+02,2.2806E+02,7.3248E+01,1.3321E+02,,,,,,,,,,,,,,,,
