PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,,,,,,,,,,,,,,,,,,,,,,,
1,2.4900E+04,0.0000E+00,2.4677E+04,2.2306E+02,0.0000E+00,0.0000E+00,1.4701E+04,3.3561E+03,6.6200E+03,2.2306E+02,,,,,,,,,,,,,,,,,,,,,,,
1.0629,2.1139E+04,0.0000E+00,2.0945E+04,1.9365E+02,0.0000E+00,0.0000E+00,1.2781E+04,2.7471E+03,5.4170E+03,1.9365E+02,,,,,,,,,,,,,,,,,,,,,,,
1.0714,2.4587E+05,2.2518E+05,2.0500E+04,1.9009E+02,0.0000E+00,2.2518E+05,1.2548E+04,2.6758E+03,5.2763E+03,1.9009E+02,,,,,,,,,,,,,,,,,,,,,,,
1.5,1.2185E+05,1.1356E+05,8.2016E+03,8.5552E+01,0.0000E+00,1.1356E+05,5.6336E+03,8.6511E+02,1.7028E+03,8.5552E+01,,,,,,,,,,,,,,,,,,,,,,,
2,5.7985E+04,5.4247E+04,3.6969E+03,4.1639E+01,0.0000E+00,5.4247E+04,2.7478E+03,3.2009E+02,6.2900E+02,4.1639E+01,,,,,,,,,,,,,,,,,,,,,,,
3,1.9302E+04,1.8110E+04,1.1774E+03,1.4464E+01,0.0000E+00,1.8110E+04,9.5394E+02,7.5492E+01,1.4796E+02,1.4464E+01,,,,,,,,,,,,,,,,,,,,,,,
4,8.5855E+03,8.0640E+03,5.1491E+02,6.6402E+00,0.0000E+00,8.0640E+03,4.3718E+02,2.6297E+01,5.1427E+01,6.6402E+00,,,,,,,,,,,,,,,,,,,,,,,
5,4.5161E+03,4.2439E+03,2.6862E+02,3.5705E+00,0.0000E+00,4.2439E+03,2.3494E+02,1.1411E+01,2.2267E+01,3.5705E+00,,,,,,,,,,,,,,,,,,,,,,,
6,2.6493E+03,2.4903E+03,1.5685E+02,2.1293E+00,0.0000E+00,2.4903E+03,1.4003E+02,5.7070E+00,1.1114E+01,2.1293E+00,,,,,,,,,,,,,,,,,,,,,,,
8,1.1259E+03,1.0587E+03,6.6339E+01,9.2580E-01,0.0000E+00,1.0587E+03,6.0820E+01,1.8768E+00,3.6421E+00,9.2580E-01,,,,,,,,,,,,,,,,,,,,,,,
10,5.7355E+02,5.3936E+02,3.3710E+01,4.7856E-01,0.0000E+00,5.3936E+02,3.1417E+01,7.8147E-01,1.5122E+00,4.7856E-01,,,,,,,,,,,,,,,,,,,,,,,
15,1.6482E+02,1.5501E+02,9.6635E+00,1.4041E-01,0.0000E+00,1.5501E+02,9.2081E+00,1.5591E-01,2.9954E-01,1.4041E-01,,,,,,,,,,,,,,,,,,,,,,,
20,6.7043E+01,6.3056E+01,3.9288E+00,5.7767E-02,0.0000E+00,6.3056E+01,3.7856E+00,4.9347E-02,9.3826E-02,5.7767E-02,,,,,,,,,,,,,,,,,,,,,,,
30,1.8528E+01,1.7426E+01,1.0863E+00,1.6167E-02,0.0000E+00,1.7426E+01,1.0585E+00,9.6411E-03,1.8101E-02,1.6167E-02,,,,,,,,,,,,,,,,,,,,,,,
40,7.3583E+00,6.9200E+00,4.3181E-01,6.4649E-03,0.0000E+00,6.9200E+00,4.2319E-01,3.0177E-03,5.6027E-03,6.4649E-03,,,,,,,,,,,,,,,,,,,,,,,
50,3.5771E+00,3.3639E+00,2.1005E-01,3.1563E-03,0.0000E+00,3.3639E+00,2.0657E-01,1.2275E-03,2.2547E-03,3.1563E-03,,,,,,,,,,,,,,,,,,,,,,,
60,1.9793E+00,1.8613E+00,1.1629E-01,1.7516E-03,0.0000E+00,1.8613E+00,1.1463E-01,5.9015E-04,1.0740E-03,1.7516E-03,,,,,,,,,,,,,,,,,,,,,,,
80,7.7590E-01,7.2959E-01,4.5621E-02,6.8917E-04,0.0000E+00,7.2959E-01,4.5098E-02,1.8754E-04,3.3554E-04,6.8917E-04,,,,,,,,,,,,,,,,,,,,,,,
100,3.7507E-01,3.5267E-01,2.2065E-02,3.3391E-04,0.0000E+00,3.5267E-01,2.1850E-02,7.7964E-05,1.3745E-04,3.3391E-04,,,,,,,,,,,,,,,,,,,,,,,
150,1.0074E-01,9.4722E-02,5.9323E-03,8.9972E-05,0.0000E+00,9.4722E-02,5.8878E-03,1.6406E-05,2.8177E-05,8.9972E-05,,,,,,,,,,,,,,,,,,,,,,,
