PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
1,5.6952E+05,0.0000E+00,0.0000E+00,5.3127E+05,3.8244E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.1322E+04,6.9248E+04,1.3784E+05,1.1094E+05,1.6192E+05,9.0007E+03,9.1326E+03,1.7935E+04,5.4376E+02,7.8891E+02,8.4390E+02,,,,,,,,,,,,,
1.5,2.1960E+05,0.0000E+00,0.0000E+00,2.0218E+05,1.7411E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6584E+04,3.2739E+04,6.3525E+04,3.2365E+04,4.6971E+04,4.4181E+03,4.1602E+03,8.0158E+03,1.6685E+02,2.4067E+02,4.0910E+02,,,,,,,,,,,,,
2,1.0875E+05,0.0000E+00,0.0000E+00,9.9217E+04,9.5305E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6069E+04,1.7884E+04,3.4171E+04,1.2715E+04,1.8377E+04,2.6058E+03,2.2468E+03,4.2737E+03,6.7447E+01,9.6846E+01,2.3981E+02,,,,,,,,,,,,,
2.0793,9.8745E+04,0.0000E+00,0.0000E+00,8.9983E+04,8.7612E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4982E+04,1.6411E+04,3.1292E+04,1.1168E+04,1.6131E+04,2.4226E+03,2.0598E+03,3.9113E+03,5.9438E+01,8.5296E+01,2.2277E+02,,,,,,,,,,,,,
2.096,3.7564E+05,0.0000E+00,2.7883E+05,8.8195E+04,8.6107E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.7883E+05,1.4768E+04,1.6122E+04,3.0729E+04,1.0873E+04,1.5703E+04,2.3865E+03,2.0232E+03,3.8405E+03,5.7911E+01,8.3098E+01,2.1942E+02,,,,,,,,,,,,,
2.1576,3.4412E+05,0.0000E+00,2.5406E+05,8.1980E+04,8.0824E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.5406E+05,1.4011E+04,1.5109E+04,2.8757E+04,9.8640E+03,1.4239E+04,2.2597E+03,1.8950E+03,3.5926E+03,5.2663E+01,7.4847E+01,2.0764E+02,,,,,,,,,,,,,
2.1749,4.7099E+05,0.0000E+00,3.8270E+05,8.0346E+04,7.9426E+03,0.0000E+00,0.0000E+00,1.3285E+05,2.4985E+05,1.3809E+04,1.4840E+04,2.8235E+04,9.6024E+03,1.3860E+04,2.2259E+03,1.8611E+03,3.5269E+03,5.1301E+01,7.2901E+01,2.0450E+02,,,,,,,,,,,,,
2.3526,3.9063E+05,0.0000E+00,3.1810E+05,6.5850E+04,6.6791E+03,0.0000E+00,0.0000E+00,1.0943E+05,2.0867E+05,1.1954E+04,1.2412E+04,2.3523E+04,7.3558E+03,1.0604E+04,1.9173E+03,1.5545E+03,2.9358E+03,3.9427E+01,5.6131E+01,1.7596E+02,,,,,,,,,,,,,
2.3715,4.3695E+05,0.0000E+00,3.6586E+05,6.4528E+04,6.5618E+03,0.0000E+00,5.3933E+04,1.0744E+05,2.0449E+05,1.1779E+04,1.2187E+04,2.3086E+04,7.1581E+03,1.0318E+04,1.8884E+03,1.5261E+03,2.8811E+03,3.8392E+01,5.4650E+01,1.7329E+02,,,,,,,,,,,,,
3,2.4350E+05,0.0000E+00,2.0436E+05,3.5294E+04,3.8527E+03,0.0000E+00,3.8037E+04,5.7997E+04,1.0832E+05,7.5635E+03,6.9748E+03,1.3063E+04,3.1582E+03,4.5346E+03,1.1974E+03,8.7235E+02,1.6299E+03,1.7246E+01,2.4451E+01,1.1134E+02,,,,,,,,,,,,,
4,1.1653E+05,0.0000E+00,9.7951E+04,1.6627E+04,1.9558E+03,0.0000E+00,2.2957E+04,2.6385E+04,4.8609E+04,4.3000E+03,3.3775E+03,6.2389E+03,1.1164E+03,1.5946E+03,6.7373E+02,4.2347E+02,7.8104E+02,6.2160E+00,8.7663E+00,6.2575E+01,,,,,,,,,,,,,
5,6.4763E+04,0.0000E+00,5.4445E+04,9.1829E+03,1.1352E+03,0.0000E+00,1.5063E+04,1.3963E+04,2.5419E+04,2.7277E+03,1.8677E+03,3.4129E+03,4.8495E+02,6.8960E+02,4.2518E+02,2.3499E+02,4.2896E+02,2.7330E+00,3.8369E+00,3.9467E+01,,,,,,,,,,,,,
6,3.9747E+04,0.0000E+00,3.3405E+04,5.6215E+03,7.1999E+02,0.0000E+00,1.0486E+04,8.1766E+03,1.4743E+04,1.8600E+03,1.1306E+03,2.0474E+03,2.4145E+02,3.4199E+02,2.8903E+02,1.4267E+02,2.5819E+02,1.3715E+00,1.9177E+00,2.6820E+01,,,,,,,,,,,,,
8,1.8181E+04,0.0000E+00,1.5268E+04,2.5680E+03,3.4501E+02,0.0000E+00,5.7568E+03,3.4244E+03,6.0872E+03,9.9673E+02,4.9674E+02,8.8643E+02,7.8144E+01,1.0993E+02,1.5431E+02,6.2975E+01,1.1234E+02,4.4846E-01,6.2274E-01,1.4313E+01,,,,,,,,,,,,,
