PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,7s1/2,,,
1,2.3227E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.3227E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5358E+05,2.0931E+05,3.3231E+05,6.2344E+05,8.0333E+05,1.5991E+04,1.3325E+04,4.5589E+04,4.4784E+04,6.7412E+04,3.5384E+03,2.4711E+03,7.2065E+03,3.9897E+02,,,
1.048,2.1331E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.1331E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4630E+05,2.0302E+05,3.2027E+05,5.5758E+05,7.1733E+05,1.4997E+04,1.2704E+04,4.2652E+04,4.2256E+04,6.3311E+04,3.2928E+03,2.3354E+03,6.7164E+03,3.6892E+02,,,
1.0564,2.1327E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.1327E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0528E+04,1.4508E+05,2.0192E+05,3.1816E+05,5.4694E+05,7.0342E+05,1.4833E+04,1.2600E+04,4.2169E+04,4.1832E+04,6.2627E+04,3.2527E+03,2.3129E+03,6.6360E+03,3.6404E+02,,,
1.1901,1.7053E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.7053E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.8458E+04,1.2760E+05,1.8351E+05,2.8255E+05,4.0561E+05,5.1939E+05,1.2548E+04,1.1112E+04,3.5471E+04,3.5700E+04,5.2848E+04,2.7044E+03,1.9981E+03,5.5323E+03,2.9822E+02,,,
1.1997,1.7140E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.7140E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.4600E+04,2.8403E+04,1.2650E+05,1.8209E+05,2.7996E+05,3.9731E+05,5.0867E+05,1.2407E+04,1.1017E+04,3.5056E+04,3.5306E+04,5.2227E+04,2.6710E+03,1.9784E+03,5.4646E+03,2.9423E+02,,,
1.5,1.1026E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.1026E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6290E+04,2.5957E+04,9.7076E+04,1.4004E+05,2.0895E+05,2.1673E+05,2.7570E+05,8.9647E+03,8.5526E+03,2.5000E+04,2.5268E+04,3.6663E+04,1.8778E+03,1.4874E+03,3.8440E+03,2.0110E+02,,,
2,6.0379E+05,0.0000E+00,0.0000E+00,0.0000E+00,6.0379E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8946E+04,2.1117E+04,6.5196E+04,8.9650E+04,1.2966E+05,9.2677E+04,1.1695E+05,5.7936E+03,5.9804E+03,1.5788E+04,1.5430E+04,2.1889E+04,1.1817E+03,1.0082E+03,2.3966E+03,1.1904E+02,,,
3,2.4612E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.4612E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0929E+04,1.3492E+04,3.4191E+04,4.0942E+04,5.7179E+04,2.5025E+04,3.1245E+04,3.0429E+03,3.3997E+03,7.8793E+03,6.8935E+03,9.4962E+03,6.0442E+02,5.5635E+02,1.1823E+03,6.1141E+01,,,
3.1076,2.2714E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.2714E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0374E+04,1.2898E+04,3.2201E+04,3.7958E+04,5.2875E+04,2.2206E+04,2.7700E+04,2.8728E+03,3.2258E+03,7.3971E+03,6.3892E+03,8.7797E+03,5.6958E+02,5.2683E+02,1.1090E+03,5.7641E+01,,,
3.1325,6.0315E+05,0.0000E+00,0.0000E+00,3.8011E+05,2.2304E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.8011E+05,1.0251E+04,1.2765E+04,3.1764E+04,3.7309E+04,5.1940E+04,2.1611E+04,2.6953E+04,2.8355E+03,3.1875E+03,7.2916E+03,6.2795E+03,8.6241E+03,5.6196E+02,5.2034E+02,1.0930E+03,5.6876E+01,,,
3.2553,5.0866E+05,0.0000E+00,0.0000E+00,3.0438E+05,2.0428E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0438E+05,9.6814E+03,1.2133E+04,2.9730E+04,3.4311E+04,4.7631E+04,1.8949E+04,2.3609E+04,2.6623E+03,3.0078E+03,6.8017E+03,5.7728E+03,7.9070E+03,5.2658E+02,4.8999E+02,1.0188E+03,5.3321E+01,,,
3.2813,7.3852E+05,0.0000E+00,0.0000E+00,5.3793E+05,2.0058E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3965E+05,2.9828E+05,9.5671E+03,1.2004E+04,2.9321E+04,3.3715E+04,4.6775E+04,1.8437E+04,2.2966E+04,2.6275E+03,2.9716E+03,6.7038E+03,5.6721E+03,7.7647E+03,5.1951E+02,4.8388E+02,1.0040E+03,5.2610E+01,,,
3.7696,5.0767E+05,0.0000E+00,0.0000E+00,3.6216E+05,1.4551E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5235E+05,2.0981E+05,7.7525E+03,9.8840E+03,2.2902E+04,2.4636E+04,3.3811E+04,1.1370E+04,1.4109E+04,2.0866E+03,2.3955E+03,5.1892E+03,4.1452E+03,5.6198E+03,4.0994E+02,3.8744E+02,7.7525E+02,4.1594E+01,,,
3.7998,5.7817E+05,0.0000E+00,0.0000E+00,4.3533E+05,1.4284E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.0855E+04,1.4924E+05,2.0524E+05,7.6568E+03,9.7712E+03,2.2574E+04,2.4183E+04,3.3172E+04,1.1054E+04,1.3714E+04,2.0588E+03,2.3654E+03,5.1122E+03,4.0694E+03,5.5140E+03,4.0436E+02,3.8243E+02,7.6365E+02,4.1032E+01,,,
4,5.0937E+05,0.0000E+00,0.0000E+00,3.8268E+05,1.2669E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.4896E+04,1.3013E+05,1.7765E+05,7.0634E+03,9.0657E+03,2.0557E+04,2.1442E+04,2.9297E+04,9.2114E+03,1.1411E+04,1.8883E+03,2.1788E+03,4.6402E+03,3.6093E+03,4.8732E+03,3.7008E+02,3.5146E+02,6.9261E+02,3.7579E+01,,,
