PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,7s1/2,
1,2.9677E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.9677E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0598E+05,3.4740E+05,9.0311E+05,1.1720E+06,1.7790E+04,1.3571E+04,5.9542E+04,6.0138E+04,9.2830E+04,3.4412E+04,4.3427E+04,4.4023E+03,2.8935E+03,9.7569E+03,4.4483E+02,
1.1458,2.3369E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.3369E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9730E+05,3.2164E+05,6.7285E+05,8.6616E+05,1.4963E+04,1.1983E+04,4.9308E+04,5.1487E+04,7.8137E+04,2.6023E+04,3.2656E+04,3.5994E+03,2.4754E+03,7.9687E+03,3.5643E+02,
1.155,2.4499E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.4499E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4731E+05,1.9655E+05,3.1982E+05,6.6055E+05,8.4997E+05,1.4808E+04,1.1894E+04,4.8754E+04,5.0988E+04,7.7307E+04,2.5581E+04,3.2091E+04,3.5567E+03,2.4526E+03,7.8734E+03,3.5177E+02,
1.4276,1.6327E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.6327E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1562E+05,1.6680E+05,2.5931E+05,3.9254E+05,5.0061E+05,1.1120E+04,9.6804E+03,3.5788E+04,3.8459E+04,5.6950E+04,1.5786E+04,1.9646E+04,2.5778E+03,1.9099E+03,5.6811E+03,2.4706E+02,
1.439,1.6280E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.6280E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1201E+04,1.1452E+05,1.6547E+05,2.5696E+05,3.8445E+05,4.9015E+05,1.0997E+04,9.6024E+03,3.5362E+04,3.8021E+04,5.6254E+04,1.5486E+04,1.9268E+04,2.5463E+03,1.8916E+03,5.6103E+03,2.4378E+02,
1.5,1.4978E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.4978E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0072E+04,1.0894E+05,1.5858E+05,2.4456E+05,3.4458E+05,4.3869E+05,1.0377E+04,9.2020E+03,3.3214E+04,3.5786E+04,5.2719E+04,1.4003E+04,1.7397E+04,2.3881E+03,1.7987E+03,5.2545E+03,2.2738E+02,
1.597,1.3194E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.3194E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9784E+04,1.0102E+05,1.4796E+05,2.2511E+05,2.9125E+05,3.7008E+05,9.4925E+03,8.6146E+03,3.0184E+04,3.2563E+04,4.7669E+04,1.1988E+04,1.4860E+04,2.1662E+03,1.6655E+03,4.7551E+03,2.0449E+02,
1.6098,1.3224E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.3224E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4381E+04,1.9748E+04,1.0005E+05,1.4656E+05,2.2261E+05,2.8502E+05,3.6206E+05,9.3845E+03,8.5415E+03,2.9815E+04,3.2167E+04,4.7051E+04,1.1750E+04,1.4561E+04,2.1394E+03,1.6491E+03,4.6947E+03,2.0173E+02,
2,8.4038E+05,0.0000E+00,0.0000E+00,0.0000E+00,8.4038E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8574E+04,1.8125E+04,7.5645E+04,1.0858E+05,1.6011E+05,1.5422E+05,1.9447E+05,6.8315E+03,6.6996E+03,2.1162E+04,2.2579E+04,3.2350E+04,6.6512E+03,8.1814E+03,1.5180E+03,1.2516E+03,3.2924E+03,1.3906E+02,
3,3.4391E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.4391E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1384E+04,1.3259E+04,4.0950E+04,5.3144E+04,7.4890E+04,4.4087E+04,5.4888E+04,3.6629E+03,4.0205E+03,1.0704E+04,1.0575E+04,1.4624E+04,2.0579E+03,2.4522E+03,7.8548E+02,7.1847E+02,1.6390E+03,6.9349E+01,
