PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,
1,1.4323E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.4323E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.1082E+04,4.0088E+04,1.3054E+05,1.8553E+05,2.7988E+05,2.9330E+05,3.7577E+05,1.1418E+04,9.9530E+03,2.5780E+04,1.5886E+04,2.2512E+04,5.3847E+02,,,,,,
1.5,6.3974E+05,0.0000E+00,0.0000E+00,0.0000E+00,6.3974E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5656E+04,2.8980E+04,7.7265E+04,1.0452E+05,1.5198E+05,9.0364E+04,1.1479E+05,6.1830E+03,5.9843E+03,1.3928E+04,8.3103E+03,1.1495E+04,2.7878E+02,,,,,,
2,3.4644E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.4644E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7280E+04,2.0771E+04,4.9962E+04,6.1426E+04,8.7515E+04,3.5970E+04,4.5427E+04,3.9182E+03,3.9925E+03,8.6771E+03,4.7968E+03,6.5340E+03,1.7221E+02,,,,,,
2.1266,3.0281E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.0281E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5806E+04,1.9170E+04,4.5235E+04,5.4230E+04,7.6971E+04,2.9309E+04,3.6968E+04,3.5464E+03,3.6442E+03,7.8105E+03,4.2273E+03,5.7400E+03,1.5507E+02,,,,,,
2.1436,3.8358E+05,0.0000E+00,0.0000E+00,8.6041E+04,2.9754E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.6041E+04,1.5623E+04,1.8968E+04,4.4647E+04,5.3346E+04,7.5678E+04,2.8534E+04,3.5985E+04,3.5006E+03,3.6008E+03,7.7036E+03,4.1575E+03,5.6430E+03,1.5296E+02,,,,,,
2.2102,7.7278E+05,0.0000E+00,0.0000E+00,4.9466E+05,2.7812E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.9466E+05,1.4935E+04,1.8208E+04,4.2453E+04,5.0062E+04,7.0876E+04,2.5740E+04,3.2440E+04,3.3301E+03,3.4384E+03,7.3061E+03,3.8989E+03,5.2837E+03,1.4513E+02,,,,,,
2.2279,8.2849E+05,0.0000E+00,0.0000E+00,5.5524E+05,2.7325E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.9311E+04,4.9593E+05,1.4760E+04,1.8013E+04,4.1895E+04,4.9232E+04,6.9663E+04,2.5054E+04,3.1571E+04,3.2868E+03,3.3970E+03,7.2053E+03,3.8336E+03,5.1931E+03,1.4315E+02,,,,,,
2.6342,7.5143E+05,0.0000E+00,0.0000E+00,5.6377E+05,1.8766E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3438E+05,3.2938E+05,1.1428E+04,1.4207E+04,3.1497E+04,3.4171E+04,4.7857E+04,1.4062E+04,1.7656E+04,2.4896E+03,2.6154E+03,5.3488E+03,2.6560E+03,3.5672E+03,1.0713E+02,,,,,,
2.6553,8.5104E+05,0.0000E+00,0.0000E+00,6.6675E+05,1.8430E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1495E+05,2.2948E+05,3.2232E+05,1.1287E+04,1.4041E+04,3.1060E+04,3.3562E+04,4.6980E+04,1.3674E+04,1.7166E+04,2.4566E+03,2.5823E+03,5.2720E+03,2.6085E+03,3.5020E+03,1.0565E+02,,,,,,
3,6.3337E+05,0.0000E+00,0.0000E+00,4.9396E+05,1.3941E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.8165E+04,1.6526E+05,2.3054E+05,9.3061E+03,1.1668E+04,2.4990E+04,2.5307E+04,3.5171E+04,8.8663E+03,1.1101E+04,1.9981E+03,2.1159E+03,4.2104E+03,1.9676E+03,2.6252E+03,8.5210E+01,,,,,,
