PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,
1,1.0513E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.0513E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.0533E+04,4.2312E+04,1.1762E+05,1.6469E+05,2.4434E+05,1.7452E+05,2.2277E+05,9.1415E+03,7.9717E+03,1.8939E+04,3.1292E+03,4.4084E+03,9.2718E+02,,,,,,
1.5,4.6743E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.6743E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4058E+04,2.8049E+04,6.7469E+04,8.5883E+04,1.2390E+05,5.0364E+04,6.3826E+04,4.8896E+03,4.6572E+03,1.0137E+04,1.5624E+03,2.1584E+03,4.7810E+02,,,,,,
1.7396,3.4179E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.4179E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9464E+04,2.3256E+04,5.3643E+04,6.4496E+04,9.2238E+04,3.0927E+04,3.9089E+04,3.8548E+03,3.7541E+03,7.9335E+03,1.1663E+03,1.6005E+03,3.7286E+02,,,,,,
1.7535,5.3101E+05,0.0000E+00,0.0000E+00,1.9500E+05,3.3601E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9500E+05,1.9238E+04,2.3013E+04,5.2967E+04,6.3468E+04,9.0729E+04,3.0112E+04,3.8054E+04,3.8053E+03,3.7098E+03,7.8276E+03,1.1475E+03,1.5741E+03,3.6787E+02,,,,,,
1.8005,9.5051E+05,0.0000E+00,0.0000E+00,6.3302E+05,3.1750E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.3302E+05,1.8501E+04,2.2217E+04,5.0776E+04,6.0153E+04,8.5865E+04,2.7554E+04,3.4805E+04,3.6454E+03,3.5658E+03,7.4853E+03,1.0867E+03,1.4891E+03,3.5179E+02,,,,,,
1.8149,1.0791E+06,0.0000E+00,0.0000E+00,7.6704E+05,3.1209E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2673E+05,6.4032E+05,1.8283E+04,2.1979E+04,5.0129E+04,5.9179E+04,8.4436E+04,2.6823E+04,3.3876E+04,3.5984E+03,3.5232E+03,7.3845E+03,1.0689E+03,1.4642E+03,3.4706E+02,,,,,,
2,1.1300E+06,0.0000E+00,0.0000E+00,8.7727E+05,2.5274E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.6128E+05,5.1599E+05,1.5789E+04,1.9203E+04,4.2746E+04,4.8265E+04,6.8492E+04,1.9262E+04,2.4283E+04,3.0679E+03,3.0357E+03,6.2463E+03,8.7033E+02,1.1871E+03,2.9389E+02,,,,,,
2.1819,9.0651E+05,0.0000E+00,0.0000E+00,6.9785E+05,2.0866E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.8830E+05,4.0956E+05,1.3811E+04,1.6928E+04,3.6890E+04,3.9904E+04,5.6363E+04,1.4237E+04,1.7919E+04,2.6545E+03,2.6464E+03,5.3579E+03,7.1900E+02,9.7699E+02,2.5281E+02,,,,,,
2.1993,1.0316E+06,0.0000E+00,0.0000E+00,8.2658E+05,2.0500E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4328E+05,2.8235E+05,4.0095E+05,1.3640E+04,1.6729E+04,3.6389E+04,3.9201E+04,5.5346E+04,1.3845E+04,1.7423E+04,2.6193E+03,2.6128E+03,5.2822E+03,7.0630E+02,9.5941E+02,2.4933E+02,,,,,,
2.4595,7.8655E+05,0.0000E+00,0.0000E+00,6.2692E+05,1.5963E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1946E+05,2.1034E+05,2.9712E+05,1.1424E+04,1.4107E+04,2.9922E+04,3.0373E+04,4.2636E+04,9.3163E+03,1.1699E+04,2.1690E+03,2.1780E+03,4.3148E+03,5.4731E+02,7.3981E+02,2.0512E+02,,,,,,
