PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
1,9.5839E+05,0.0000E+00,0.0000E+00,8.7160E+05,8.6799E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.4297E+04,8.9724E+04,1.8401E+05,2.1708E+05,3.1649E+05,1.4097E+04,1.5285E+04,3.0329E+04,1.0871E+04,1.5699E+04,5.1856E+02,,,,,,,,,,,,,
1.5,3.7487E+05,0.0000E+00,0.0000E+00,3.3740E+05,3.7475E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.4595E+04,4.6100E+04,9.0834E+04,6.7773E+04,9.8096E+04,6.9702E+03,7.2889E+03,1.4099E+04,3.6428E+03,5.2227E+03,2.5199E+02,,,,,,,,,,,,,
2,1.8681E+05,0.0000E+00,0.0000E+00,1.6684E+05,1.9977E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1371E+04,2.6484E+04,5.1060E+04,2.7837E+04,4.0084E+04,4.1541E+03,4.0948E+03,7.7876E+03,1.5630E+03,2.2290E+03,1.4887E+02,,,,,,,,,,,,,
2.8358,7.8138E+04,0.0000E+00,0.0000E+00,6.9153E+04,8.9846E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1465E+04,1.2534E+04,2.3596E+04,8.8697E+03,1.2688E+04,2.1651E+03,1.9149E+03,3.5701E+03,5.1979E+02,7.3606E+02,7.8576E+01,,,,,,,,,,,,,
2.8585,2.6891E+05,0.0000E+00,1.9234E+05,6.7756E+04,8.8181E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.9234E+05,1.1298E+04,1.2311E+04,2.3164E+04,8.6346E+03,1.2349E+04,2.1324E+03,1.8805E+03,3.5044E+03,5.0642E+02,7.1703E+02,7.7382E+01,,,,,,,,,,,,,
2.969,2.4237E+05,0.0000E+00,1.7283E+05,6.1480E+04,8.0654E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.7283E+05,1.0533E+04,1.1296E+04,2.1203E+04,7.5947E+03,1.0854E+04,1.9831E+03,1.7242E+03,3.2063E+03,4.4718E+02,6.3268E+02,7.1934E+01,,,,,,,,,,,,,
2.9928,3.2905E+05,0.0000E+00,2.6090E+05,6.0235E+04,7.9151E+03,0.0000E+00,0.0000E+00,9.1336E+04,1.6957E+05,1.0379E+04,1.1092E+04,2.0810E+04,7.3918E+03,1.0562E+04,1.9530E+03,1.6929E+03,3.1466E+03,4.3559E+02,6.1618E+02,7.0837E+01,,,,,,,,,,,,,
3,3.2850E+05,0.0000E+00,2.6076E+05,5.9863E+04,7.8702E+03,0.0000E+00,0.0000E+00,9.2154E+04,1.6861E+05,1.0332E+04,1.1031E+04,2.0692E+04,7.3315E+03,1.0475E+04,1.9440E+03,1.6835E+03,3.1287E+03,4.3221E+02,6.1127E+02,7.0508E+01,,,,,,,,,,,,,
3.2009,2.7885E+05,0.0000E+00,2.2144E+05,5.0663E+04,6.7496E+03,0.0000E+00,0.0000E+00,7.6816E+04,1.4462E+05,9.1572E+03,9.5002E+03,1.7745E+04,5.8763E+03,8.3852E+03,1.7155E+03,1.4485E+03,2.6822E+03,3.4862E+02,4.9242E+02,6.2203E+01,,,,,,,,,,,,,
3.2265,3.1310E+05,0.0000E+00,2.5684E+05,4.9631E+04,6.6227E+03,0.0000E+00,3.9646E+04,7.5442E+04,1.4175E+05,9.0212E+03,9.3253E+03,1.7409E+04,5.7177E+03,8.1575E+03,1.6893E+03,1.4218E+03,2.6315E+03,3.3947E+02,4.7941E+02,6.1247E+01,,,,,,,,,,,,,
