PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
1,1.7335E+06,0.0000E+00,0.0000E+00,1.5126E+06,2.2091E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.7990E+04,1.0772E+05,2.3789E+05,4.4298E+05,6.4602E+05,2.2566E+04,2.5713E+04,5.2768E+04,4.6403E+04,6.7339E+04,2.9581E+03,1.0771E+03,2.0885E+03,,,,,,,,,,,
1.5,7.0421E+05,0.0000E+00,0.0000E+00,6.0935E+05,9.4857E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.5180E+04,6.4006E+04,1.3126E+05,1.5099E+05,2.1792E+05,1.1386E+04,1.2985E+04,2.5658E+04,1.7171E+04,2.4670E+04,1.4555E+03,5.3106E+02,1.0001E+03,,,,,,,,,,,
2,3.5583E+05,0.0000E+00,0.0000E+00,3.0584E+05,4.9994E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.9028E+04,3.9541E+04,7.8194E+04,6.5382E+04,9.3695E+04,6.8514E+03,7.5956E+03,1.4649E+04,7.8948E+03,1.1263E+04,8.6527E+02,3.0739E+02,5.6774E+02,,,,,,,,,,,
3,1.3086E+05,0.0000E+00,0.0000E+00,1.1145E+05,1.9408E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4614E+04,1.7973E+04,3.4072E+04,1.8517E+04,2.6276E+04,3.2630E+03,3.3343E+03,6.2266E+03,2.4058E+03,3.3972E+03,4.0689E+02,1.3360E+02,2.4034E+02,,,,,,,,,,,
4,6.2960E+04,0.0000E+00,0.0000E+00,5.3304E+04,9.6560E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.6725E+03,9.6171E+03,1.7768E+04,7.1611E+03,1.0086E+04,1.8914E+03,1.7697E+03,3.2322E+03,9.7090E+02,1.3603E+03,2.3436E+02,7.2371E+01,1.2477E+02,,,,,,,,,,,
4.1262,5.8124E+04,0.0000E+00,0.0000E+00,4.9180E+04,8.9434E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.1859E+03,8.9632E+03,1.6514E+04,6.4460E+03,9.0709E+03,1.7814E+03,1.6484E+03,3.0036E+03,8.7757E+02,1.2285E+03,2.2060E+02,6.7408E+01,1.1594E+02,,,,,,,,,,,
4.1593,1.7306E+05,0.0000E+00,1.1612E+05,4.8173E+04,8.7688E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.1612E+05,8.0652E+03,8.8019E+03,1.6205E+04,6.2738E+03,8.8267E+03,1.7541E+03,1.6186E+03,2.9474E+03,8.5501E+02,1.1967E+03,2.1719E+02,6.6185E+01,1.1377E+02,,,,,,,,,,,
4.3818,1.5603E+05,0.0000E+00,1.0626E+05,4.2064E+04,7.7059E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.0626E+05,7.3138E+03,7.8095E+03,1.4309E+04,5.2525E+03,7.3796E+03,1.5853E+03,1.4351E+03,2.6028E+03,7.2055E+02,1.0070E+03,1.9611E+02,5.8674E+01,1.0046E+02,,,,,,,,,,,
4.4169,2.0742E+05,0.0000E+00,1.5866E+05,4.1199E+04,7.5546E+03,0.0000E+00,0.0000E+00,5.4584E+04,1.0408E+05,7.2045E+03,7.6666E+03,1.4037E+04,5.1111E+03,7.1794E+03,1.5609E+03,1.4087E+03,2.5534E+03,7.0183E+02,9.8058E+02,1.9306E+02,5.7596E+01,9.8555E+01,,,,,,,,,,,
4.6694,1.8250E+05,0.0000E+00,1.4030E+05,3.5630E+04,6.5765E+03,0.0000E+00,0.0000E+00,4.9593E+04,9.0705E+04,6.4823E+03,6.7330E+03,1.2272E+04,4.2219E+03,5.9208E+03,1.4001E+03,1.2368E+03,2.2323E+03,5.8358E+02,8.1404E+02,1.7301E+02,5.0566E+01,8.6160E+01,,,,,,,,,,,
4.7068,2.0620E+05,0.0000E+00,1.6486E+05,3.4894E+04,6.4467E+03,0.0000E+00,2.7313E+04,4.8628E+04,8.8916E+04,6.3845E+03,6.6078E+03,1.2036E+04,4.1072E+03,5.7586E+03,1.3783E+03,1.2138E+03,2.1894E+03,5.6825E+02,7.9247E+02,1.7031E+02,4.9625E+01,8.4504E+01,,,,,,,,,,,
5,1.7787E+05,0.0000E+00,1.4255E+05,2.9783E+04,5.5399E+03,0.0000E+00,2.4456E+04,4.2077E+04,7.6015E+04,5.6874E+03,5.7269E+03,1.0377E+04,3.3301E+03,4.6613E+03,1.2236E+03,1.0516E+03,1.8881E+03,4.6392E+02,6.4582E+02,1.5105E+02,4.2993E+01,7.2872E+01,,,,,,,,,,,
6,1.1173E+05,0.0000E+00,8.9835E+04,1.8405E+04,3.4901E+03,0.0000E+00,1.8170E+04,2.5965E+04,4.5700E+04,3.9861E+03,3.6744E+03,6.5563E+03,1.7509E+03,2.4375E+03,8.4982E+02,6.7478E+02,1.1946E+03,2.4853E+02,3.4404E+02,1.0466E+02,2.7591E+01,4.6113E+01,,,,,,,,,,,
8,5.2503E+04,0.0000E+00,4.2310E+04,8.5298E+03,1.6629E+03,0.0000E+00,1.0681E+04,1.1619E+04,2.0010E+04,2.2326E+03,1.7626E+03,3.0707E+03,6.1533E+02,8.4867E+02,4.7062E+02,3.2455E+02,5.6168E+02,8.9676E+01,1.2295E+02,5.8466E+01,1.3278E+01,2.1694E+01,,,,,,,,,,,
10,2.8931E+04,0.0000E+00,2.3343E+04,4.6616E+03,9.2664E+02,0.0000E+00,6.9056E+03,6.1176E+03,1.0320E+04,1.4017E+03,9.7006E+02,1.6587E+03,2.6651E+02,3.6465E+02,2.9363E+02,1.7933E+02,3.0476E+02,3.9561E+01,5.3800E+01,3.6442E+01,7.3408E+00,1.1777E+01,,,,,,,,,,,
15,9.5799E+03,0.0000E+00,7.7356E+03,1.5304E+03,3.1393E+02,0.0000E+00,2.9532E+03,1.8209E+03,2.9615E+03,5.7961E+02,3.0977E+02,5.1116E+02,5.5344E+01,7.4480E+01,1.2064E+02,5.7768E+01,9.4816E+01,8.4319E+00,1.1280E+01,1.4956E+01,2.3677E+00,3.6685E+00,,,,,,,,,,,
20,4.3143E+03,0.0000E+00,3.4838E+03,6.8692E+02,1.4357E+02,0.0000E+00,1.5539E+03,7.4695E+02,1.1830E+03,3.0085E+02,1.3246E+02,2.1279E+02,1.7535E+01,2.3279E+01,6.2459E+01,2.4848E+01,3.9712E+01,2.7047E+00,3.5526E+00,7.7395E+00,1.0192E+00,1.5376E+00,,,,,,,,,,,
