PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2,
1,2.4338E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.4338E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5596E+05,2.1076E+05,3.3634E+05,6.6275E+05,8.5422E+05,1.6374E+04,1.3522E+04,4.7863E+04,4.7695E+04,7.2145E+04,3.8437E+03,2.7275E+03,8.2215E+03,3.7901E+02,5.3778E+02,4.9849E+02,
1.1042,2.0297E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.0297E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4078E+05,1.9704E+05,3.0982E+05,5.2286E+05,6.7179E+05,1.4306E+04,1.2235E+04,4.1563E+04,4.2148E+04,6.3116E+04,3.3022E+03,2.4206E+03,7.0795E+03,3.3184E+02,4.6772E+02,4.2291E+02,
1.113,2.0290E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.0290E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.9225E+04,1.3956E+05,1.9587E+05,3.0762E+05,5.1273E+05,6.5861E+05,1.4149E+04,1.2135E+04,4.1086E+04,4.1713E+04,6.2415E+04,3.2618E+03,2.3972E+03,6.9940E+03,3.2818E+02,4.6232E+02,4.1735E+02,
1.25,1.6274E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.6274E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7078E+04,1.2266E+05,1.7732E+05,2.7230E+05,3.8208E+05,4.8858E+05,1.2013E+04,1.0730E+04,3.4662E+04,3.5611E+04,5.2699E+04,2.7241E+03,2.0775E+03,5.8491E+03,2.7759E+02,3.8813E+02,3.4358E+02,
1.26,1.6349E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.6349E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.2687E+04,2.7023E+04,1.2156E+05,1.7588E+05,2.6969E+05,3.7418E+05,4.7835E+05,1.1878E+04,1.0638E+04,3.4254E+04,3.5209E+04,5.2067E+04,2.6904E+03,2.0569E+03,5.7769E+03,2.7430E+02,3.8335E+02,3.3897E+02,
1.5,1.1573E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.1573E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6363E+04,2.5189E+04,9.8833E+04,1.4304E+05,2.1444E+05,2.3320E+05,2.9657E+05,9.2207E+03,8.7417E+03,2.6288E+04,2.7091E+04,3.9450E+04,2.0439E+03,1.6471E+03,4.3855E+03,2.0879E+02,2.8875E+02,2.5215E+02,
2,6.3472E+05,0.0000E+00,0.0000E+00,0.0000E+00,6.3472E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8942E+04,2.0880E+04,6.6680E+04,9.2507E+04,1.3412E+05,1.0035E+05,1.2664E+05,5.9738E+03,6.1436E+03,1.6619E+04,1.6621E+04,2.3648E+04,1.2876E+03,1.1198E+03,2.7349E+03,1.2944E+02,1.7119E+02,1.5342E+02,
3,2.5911E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.5911E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1041E+04,1.3551E+04,3.5160E+04,4.2658E+04,5.9644E+04,2.7326E+04,3.4107E+04,3.1462E+03,3.5179E+03,8.3116E+03,7.4798E+03,1.0325E+04,6.5986E+02,6.2137E+02,1.3511E+03,5.8068E+01,7.4544E+01,7.5625E+01,
3.2203,2.2047E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.2047E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.9507E+03,1.2391E+04,3.1160E+04,3.6666E+04,5.0961E+04,2.1505E+04,2.6790E+04,2.8033E+03,3.1680E+03,7.3204E+03,6.4230E+03,8.8215E+03,5.8575E+02,5.5723E+02,1.1881E+03,4.9861E+01,6.3683E+01,6.7180E+01,
3.2461,5.5473E+05,0.0000E+00,0.0000E+00,3.3825E+05,2.1648E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3825E+05,9.8333E+03,1.2264E+04,3.0736E+04,3.6035E+04,5.0056E+04,2.0929E+04,2.6065E+04,2.7669E+03,3.1303E+03,7.2156E+03,6.3124E+03,8.6646E+03,5.7792E+02,5.5037E+02,1.1709E+03,4.9002E+01,6.2550E+01,6.6290E+01,
