PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,,,,,,,,,,,,,,,,,,,,,,,,
1,1.2192E+05,1.1553E+05,6.3873E+03,0.0000E+00,0.0000E+00,1.1553E+05,5.3221E+03,3.5731E+02,7.0783E+02,,,,,,,,,,,,,,,,,,,,,,,,
1.5,4.1116E+04,3.8989E+04,2.1267E+03,0.0000E+00,0.0000E+00,3.8989E+04,1.8715E+03,8.5678E+01,1.6953E+02,,,,,,,,,,,,,,,,,,,,,,,,
2,1.8429E+04,1.7476E+04,9.5265E+02,0.0000E+00,0.0000E+00,1.7476E+04,8.6336E+02,2.9999E+01,5.9296E+01,,,,,,,,,,,,,,,,,,,,,,,,
3,5.7394E+03,5.4408E+03,2.9863E+02,0.0000E+00,0.0000E+00,5.4408E+03,2.7929E+02,6.5079E+00,1.2835E+01,,,,,,,,,,,,,,,,,,,,,,,,
4,2.4522E+03,2.3239E+03,1.2826E+02,0.0000E+00,0.0000E+00,2.3239E+03,1.2193E+02,2.1347E+00,4.2041E+00,,,,,,,,,,,,,,,,,,,,,,,,
5,1.2537E+03,1.1880E+03,6.5762E+01,0.0000E+00,0.0000E+00,1.1880E+03,6.3139E+01,8.8424E-01,1.7397E+00,,,,,,,,,,,,,,,,,,,,,,,,
6,7.1991E+02,6.8205E+02,3.7861E+01,0.0000E+00,0.0000E+00,6.8205E+02,3.6592E+01,4.2796E-01,8.4088E-01,,,,,,,,,,,,,,,,,,,,,,,,
8,2.9670E+02,2.8104E+02,1.5661E+01,0.0000E+00,0.0000E+00,2.8104E+02,1.5261E+01,1.3560E-01,2.6466E-01,,,,,,,,,,,,,,,,,,,,,,,,
10,1.4787E+02,1.4004E+02,7.8278E+00,0.0000E+00,0.0000E+00,1.4004E+02,7.6652E+00,5.5183E-02,1.0740E-01,,,,,,,,,,,,,,,,,,,,,,,,
15,4.0962E+01,3.8782E+01,2.1797E+00,0.0000E+00,0.0000E+00,3.8782E+01,2.1486E+00,1.0607E-02,2.0504E-02,,,,,,,,,,,,,,,,,,,,,,,,
20,1.6265E+01,1.5397E+01,8.6824E-01,0.0000E+00,0.0000E+00,1.5397E+01,8.5874E-01,3.2539E-03,6.2521E-03,,,,,,,,,,,,,,,,,,,,,,,,
30,4.3599E+00,4.1264E+00,2.3354E-01,0.0000E+00,0.0000E+00,4.1264E+00,2.3177E-01,6.1108E-04,1.1606E-03,,,,,,,,,,,,,,,,,,,,,,,,
40,1.6990E+00,1.6078E+00,9.1179E-02,0.0000E+00,0.0000E+00,1.6078E+00,9.0641E-02,1.8666E-04,3.5095E-04,,,,,,,,,,,,,,,,,,,,,,,,
50,8.1509E-01,7.7129E-01,4.3797E-02,0.0000E+00,0.0000E+00,7.7129E-01,4.3583E-02,7.4648E-05,1.3914E-04,,,,,,,,,,,,,,,,,,,,,,,,
60,4.4658E-01,4.2257E-01,2.4017E-02,0.0000E+00,0.0000E+00,4.2257E-01,2.3916E-02,3.5464E-05,6.5471E-05,,,,,,,,,,,,,,,,,,,,,,,,
80,1.7262E-01,1.6332E-01,9.2942E-03,0.0000E+00,0.0000E+00,1.6332E-01,9.2630E-03,1.1070E-05,2.0144E-05,,,,,,,,,,,,,,,,,,,,,,,,
100,8.2635E-02,7.8182E-02,4.4529E-03,0.0000E+00,0.0000E+00,7.8182E-02,4.4402E-03,4.5487E-06,8.1612E-06,,,,,,,,,,,,,,,,,,,,,,,,
150,2.1858E-02,2.0678E-02,1.1794E-03,0.0000E+00,0.0000E+00,2.0678E-02,1.1769E-03,9.3874E-07,1.6465E-06,,,,,,,,,,,,,,,,,,,,,,,,
200,8.6372E-03,8.1707E-03,4.6649E-04,0.0000E+00,0.0000E+00,8.1707E-03,4.6562E-04,3.1966E-07,5.5244E-07,,,,,,,,,,,,,,,,,,,,,,,,
