PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,,,,
1,1.9819E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.9819E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.1003E+04,3.4228E+04,1.4477E+05,2.0349E+05,3.1528E+05,4.7766E+05,6.1385E+05,1.4261E+04,1.2220E+04,3.6919E+04,3.3336E+04,4.9182E+04,2.4112E+03,9.8629E+02,2.3357E+03,,,,
1.5,8.9930E+05,0.0000E+00,0.0000E+00,0.0000E+00,8.9930E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6552E+04,2.8072E+04,8.9202E+04,1.2653E+05,1.8648E+05,1.5818E+05,2.0111E+05,7.8720E+03,7.6329E+03,2.0132E+04,1.8295E+04,2.6146E+04,1.2694E+03,5.8059E+02,1.2438E+03,,,,
2,4.8976E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.8976E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8547E+04,2.1525E+04,5.9007E+04,7.8236E+04,1.1235E+05,6.5818E+04,8.3105E+04,5.0460E+03,5.2348E+03,1.2655E+04,1.0948E+04,1.5338E+04,7.9435E+02,3.8606E+02,7.7282E+02,,,,
2.682,2.5603E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.5603E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2276E+04,1.5139E+04,3.6851E+04,4.3773E+04,6.1465E+04,2.5171E+04,3.1559E+04,3.1508E+03,3.4336E+03,7.6473E+03,6.0521E+03,8.3190E+03,4.8649E+02,2.4699E+02,4.6303E+02,,,,
2.7034,7.2151E+05,0.0000E+00,0.0000E+00,4.7004E+05,2.5147E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.7004E+05,1.2133E+04,1.4980E+04,3.6360E+04,4.3039E+04,6.0397E+04,2.4500E+04,3.0713E+04,3.1099E+03,3.3926E+03,7.5399E+03,5.9498E+03,8.1742E+03,4.7996E+02,2.4390E+02,4.5644E+02,,,,
2.8006,6.1044E+05,0.0000E+00,0.0000E+00,3.7829E+05,2.3215E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.7829E+05,1.1515E+04,1.4286E+04,3.4242E+04,3.9904E+04,5.5848E+04,2.1728E+04,2.7214E+04,2.9349E+03,3.2160E+03,7.0805E+03,5.5138E+03,7.5583E+03,4.5204E+02,2.3059E+02,4.2825E+02,,,,
2.823,9.0608E+05,0.0000E+00,0.0000E+00,6.7810E+05,2.2799E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0756E+05,3.7054E+05,1.1380E+04,1.4132E+04,3.3777E+04,3.9221E+04,5.4861E+04,2.1145E+04,2.6478E+04,2.8967E+03,3.1772E+03,6.9802E+03,5.4191E+03,7.4247E+03,4.4594E+02,2.2767E+02,4.2210E+02,,,,
3,7.4402E+05,0.0000E+00,0.0000E+00,5.4553E+05,1.9849E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2641E+05,3.1912E+05,1.0389E+04,1.2992E+04,3.0401E+04,3.4322E+04,4.7811E+04,1.7155E+04,2.1450E+04,2.6198E+03,2.8933E+03,6.2555E+03,4.7407E+03,6.4703E+03,4.0199E+02,2.0644E+02,3.7777E+02,,,,
3.2781,5.9508E+05,0.0000E+00,0.0000E+00,4.3315E+05,1.6193E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8147E+05,2.5169E+05,9.0623E+03,1.1451E+04,2.6007E+04,2.8107E+04,3.8905E+04,1.2592E+04,1.5710E+04,2.2597E+03,2.5167E+03,5.3179E+03,3.8814E+03,5.2681E+03,3.4520E+02,1.7851E+02,3.2545E+02,,,,
3.3043,6.7402E+05,0.0000E+00,0.0000E+00,5.1505E+05,1.5897E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.1178E+04,1.7768E+05,2.4619E+05,8.9500E+03,1.1318E+04,2.5639E+04,2.7596E+04,3.8177E+04,1.2244E+04,1.5272E+04,2.2297E+03,2.4848E+03,5.2399E+03,3.8111E+03,5.1700E+03,3.4047E+02,1.7616E+02,3.2066E+02,,,,
