PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
1,8.6965E+05,0.0000E+00,0.0000E+00,7.9540E+05,7.4253E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.1855E+04,8.5992E+04,1.7510E+05,1.9222E+05,2.8024E+05,1.3025E+04,1.3990E+04,2.7687E+04,7.7949E+03,1.1263E+04,4.9336E+02,,,,,,,,,,,,,
1.5,3.3897E+05,0.0000E+00,0.0000E+00,3.0663E+05,3.2340E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.2984E+04,4.3376E+04,8.5185E+04,5.9265E+04,8.5822E+04,6.4331E+03,6.6193E+03,1.2788E+04,2.5710E+03,3.6893E+03,2.3955E+02,,,,,,,,,,,,,
2,1.6871E+05,0.0000E+00,0.0000E+00,1.5137E+05,1.7332E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0290E+04,2.4689E+04,4.7481E+04,2.4136E+04,3.4778E+04,3.8285E+03,3.6931E+03,7.0214E+03,1.0905E+03,1.5568E+03,1.4132E+02,,,,,,,,,,,,,
2.6748,8.1700E+04,0.0000E+00,0.0000E+00,7.2730E+04,8.9698E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2062E+04,1.3188E+04,2.4897E+04,9.2804E+03,1.3302E+04,2.2241E+03,1.9548E+03,3.6584E+03,4.3365E+02,6.1559E+02,8.3219E+01,,,,,,,,,,,,,
2.6962,2.8690E+05,0.0000E+00,2.0683E+05,7.1265E+04,8.8057E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.0683E+05,1.1887E+04,1.2954E+04,2.4442E+04,9.0345E+03,1.2948E+04,2.1906E+03,1.9197E+03,3.5912E+03,4.2250E+02,5.9967E+02,8.1957E+01,,,,,,,,,,,,,
2.7952,2.5907E+05,0.0000E+00,1.8597E+05,6.4993E+04,8.0984E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.8597E+05,1.1123E+04,1.1939E+04,2.2477E+04,7.9983E+03,1.1455E+04,2.0449E+03,1.7680E+03,3.3011E+03,3.7540E+02,5.3247E+02,7.6479E+01,,,,,,,,,,,,,
2.8176,3.5245E+05,0.0000E+00,2.8082E+05,6.3680E+04,7.9493E+03,0.0000E+00,0.0000E+00,9.8356E+04,1.8247E+05,1.0961E+04,1.1725E+04,2.2062E+04,7.7850E+03,1.1148E+04,2.0140E+03,1.7360E+03,3.2398E+03,3.6567E+02,5.1859E+02,7.5317E+01,,,,,,,,,,,,,
3,3.0191E+05,0.0000E+00,2.4084E+05,5.4210E+04,6.8642E+03,0.0000E+00,0.0000E+00,8.3355E+04,1.5748E+05,9.7558E+03,1.0151E+04,1.9025E+04,6.2869E+03,8.9919E+03,1.7851E+03,1.5016E+03,2.7929E+03,2.9711E+02,4.2077E+02,6.6741E+01,,,,,,,,,,,,,
3.0195,2.9720E+05,0.0000E+00,2.3713E+05,5.3312E+04,6.7603E+03,0.0000E+00,0.0000E+00,8.2157E+04,1.5497E+05,9.6381E+03,9.9987E+03,1.8733E+04,6.1486E+03,8.7929E+03,1.7629E+03,1.4790E+03,2.7500E+03,2.9075E+02,4.1171E+02,6.5907E+01,,,,,,,,,,,,,
3.0437,3.3358E+05,0.0000E+00,2.7472E+05,5.2228E+04,6.6347E+03,0.0000E+00,4.2123E+04,8.0692E+04,1.5190E+05,9.4952E+03,9.8150E+03,1.8381E+04,5.9828E+03,8.5544E+03,1.7360E+03,1.4517E+03,2.6981E+03,2.8312E+02,4.0084E+02,6.4897E+01,,,,,,,,,,,,,
4,1.6769E+05,0.0000E+00,1.3856E+05,2.5674E+04,3.4493E+03,0.0000E+00,2.7377E+04,3.9273E+04,7.1914E+04,5.6312E+03,5.0916E+03,9.3821E+03,2.2993E+03,3.2693E+03,1.0149E+03,7.5222E+02,1.3776E+03,1.1118E+02,1.5560E+02,3.7873E+01,,,,,,,,,,,,,
5,9.4213E+04,0.0000E+00,7.7982E+04,1.4239E+04,1.9929E+03,0.0000E+00,1.8403E+04,2.1220E+04,3.8359E+04,3.6175E+03,2.8905E+03,5.2577E+03,1.0241E+03,1.4489E+03,6.4635E+02,4.2786E+02,7.7401E+02,5.0407E+01,7.0185E+01,2.4096E+01,,,,,,,,,,,,,
6,5.8253E+04,0.0000E+00,4.8248E+04,8.7435E+03,1.2613E+03,0.0000E+00,1.3013E+04,1.2652E+04,2.2583E+04,2.4926E+03,1.7859E+03,3.2135E+03,5.1960E+02,7.3187E+02,4.4317E+02,2.6511E+02,4.7470E+02,2.5905E+01,3.5908E+01,1.6512E+01,,,,,,,,,,,,,
8,2.6891E+04,0.0000E+00,2.2277E+04,4.0108E+03,6.0305E+02,0.0000E+00,7.3287E+03,5.4250E+03,9.5238E+03,1.3576E+03,8.0859E+02,1.4300E+03,1.7290E+02,2.4167E+02,2.4011E+02,1.2069E+02,2.1250E+02,8.7608E+00,1.2050E+01,8.9400E+00,,,,,,,,,,,,,
10,1.4619E+04,0.0000E+00,1.2107E+04,2.1752E+03,3.3603E+02,0.0000E+00,4.5758E+03,2.7574E+03,4.7741E+03,8.3331E+02,4.2640E+02,7.4359E+02,7.1988E+01,9.9958E+01,1.4696E+02,6.3905E+01,1.1098E+02,3.6831E+00,5.0321E+00,5.4699E+00,,,,,,,,,,,,,
