PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
1,1.8616E+06,0.0000E+00,0.0000E+00,1.6157E+06,2.4592E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.6242E+04,1.0960E+05,2.4520E+05,4.8139E+05,7.0327E+05,2.3931E+04,2.7402E+04,5.6638E+04,5.2733E+04,7.6604E+04,3.4051E+03,1.7608E+03,3.4456E+03,,,,,,,,,,,
1.5,7.6290E+05,0.0000E+00,0.0000E+00,6.5663E+05,1.0627E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.6512E+04,6.6210E+04,1.3714E+05,1.6651E+05,2.4026E+05,1.2129E+04,1.3963E+04,2.7728E+04,1.9791E+04,2.8451E+04,1.6787E+03,8.7342E+02,1.6572E+03,,,,,,,,,,,
2,3.8671E+05,0.0000E+00,0.0000E+00,3.3055E+05,5.6158E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0072E+04,4.1413E+04,8.2318E+04,7.2659E+04,1.0409E+05,7.3125E+03,8.2129E+03,1.5899E+04,9.1807E+03,1.3101E+04,9.9927E+02,5.0791E+02,9.4415E+02,,,,,,,,,,,
3,1.4260E+05,0.0000E+00,0.0000E+00,1.2075E+05,2.1851E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5253E+04,1.9045E+04,3.6221E+04,2.0774E+04,2.9453E+04,3.4898E+03,3.6336E+03,6.8006E+03,2.8325E+03,3.9995E+03,4.7060E+02,2.2231E+02,4.0188E+02,,,,,,,,,,,
4,6.8699E+04,0.0000E+00,0.0000E+00,5.7815E+04,1.0884E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.0806E+03,1.0276E+04,1.9000E+04,8.0847E+03,1.1374E+04,2.0266E+03,1.9408E+03,3.5491E+03,1.1532E+03,1.6154E+03,2.7146E+02,1.1820E+02,2.0969E+02,,,,,,,,,,,
4.3352,5.5854E+04,0.0000E+00,0.0000E+00,4.6929E+04,8.9252E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.8196E+03,8.5672E+03,1.5731E+04,6.1622E+03,8.6492E+03,1.7354E+03,1.6163E+03,2.9368E+03,8.8864E+02,1.2419E+03,2.3210E+02,1.0060E+02,1.7349E+02,,,,,,,,,,,
4.3699,1.6429E+05,0.0000E+00,1.0958E+05,4.5967E+04,8.7505E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.0958E+05,7.7040E+03,8.4128E+03,1.5436E+04,5.9974E+03,8.4159E+03,1.7088E+03,1.5870E+03,2.8817E+03,8.6580E+02,1.2097E+03,2.2851E+02,9.8775E+01,1.7023E+02,,,,,,,,,,,
4.6137,1.4702E+05,0.0000E+00,9.9467E+04,3.9904E+04,7.6455E+03,0.0000E+00,0.0000E+00,0.0000E+00,9.9467E+04,6.9569E+03,7.4266E+03,1.3556E+04,4.9829E+03,6.9818E+03,1.5376E+03,1.3999E+03,2.5310E+03,7.2444E+02,1.0105E+03,2.0542E+02,8.7119E+01,1.4950E+02,,,,,,,,,,,
4.6507,1.9549E+05,0.0000E+00,1.4892E+05,3.9082E+04,7.4949E+03,0.0000E+00,0.0000E+00,5.1499E+04,9.7416E+04,6.8527E+03,7.2906E+03,1.3298E+04,4.8486E+03,6.7921E+03,1.5139E+03,1.3742E+03,2.4828E+03,7.0561E+02,9.8403E+02,2.0222E+02,8.5516E+01,1.4666E+02,,,,,,,,,,,
4.9097,1.7239E+05,0.0000E+00,1.3193E+05,3.3914E+04,6.5446E+03,0.0000E+00,0.0000E+00,4.6790E+04,8.5145E+04,6.1808E+03,6.4229E+03,1.1659E+04,4.0237E+03,5.6275E+03,1.3613E+03,1.2103E+03,2.1773E+03,5.8942E+02,8.2064E+02,1.8169E+02,7.5314E+01,1.2861E+02,,,,,,,,,,,
4.949,1.9489E+05,0.0000E+00,1.5526E+05,3.3213E+04,6.4150E+03,0.0000E+00,2.5937E+04,4.5862E+04,8.3464E+04,6.0873E+03,6.3034E+03,1.1435E+04,3.9143E+03,5.4732E+03,1.3402E+03,1.1877E+03,2.1354E+03,5.7393E+02,7.9889E+02,1.7884E+02,7.3910E+01,1.2613E+02,,,,,,,,,,,
5,1.8998E+05,0.0000E+00,1.5140E+05,3.2333E+04,6.2521E+03,0.0000E+00,2.5333E+04,4.4730E+04,8.1335E+04,5.9692E+03,6.1528E+03,1.1152E+04,3.7780E+03,5.2809E+03,1.3134E+03,1.1593E+03,2.0826E+03,5.5461E+02,7.7175E+02,1.7525E+02,7.2143E+01,1.2302E+02,,,,,,,,,,,
6,1.2032E+05,0.0000E+00,9.6385E+04,1.9995E+04,3.9411E+03,0.0000E+00,1.8828E+04,2.8112E+04,4.9444E+04,4.1919E+03,3.9651E+03,7.0728E+03,1.9937E+03,2.7714E+03,9.1366E+02,7.4704E+02,1.3225E+03,2.9859E+02,4.1310E+02,1.2160E+02,4.6488E+01,7.8123E+01,,,,,,,,,,,
8,5.6551E+04,0.0000E+00,4.5395E+04,9.2777E+03,1.8780E+03,0.0000E+00,1.1112E+04,1.2624E+04,2.1660E+04,2.3553E+03,1.9150E+03,3.3316E+03,7.0505E+02,9.7080E+02,5.0721E+02,3.6159E+02,6.2524E+02,1.0851E+02,1.4866E+02,6.7305E+01,2.2513E+01,3.6956E+01,,,,,,,,,,,
10,3.1229E+04,0.0000E+00,2.5106E+04,5.0752E+03,1.0471E+03,0.0000E+00,7.2062E+03,6.6798E+03,1.1220E+04,1.4823E+03,1.0595E+03,1.8075E+03,3.0686E+02,4.1909E+02,3.1706E+02,2.0076E+02,3.4068E+02,4.8134E+01,6.5399E+01,4.2445E+01,1.2507E+01,2.0148E+01,,,,,,,,,,,
15,1.0372E+04,0.0000E+00,8.3475E+03,1.6691E+03,3.5496E+02,0.0000E+00,3.1038E+03,2.0025E+03,3.2413E+03,6.1591E+02,3.4133E+02,5.6137E+02,6.4242E+01,8.6264E+01,1.3080E+02,6.5251E+01,1.0682E+02,1.0363E+01,1.3843E+01,1.7489E+01,4.0703E+00,6.3251E+00,,,,,,,,,,,
20,4.6784E+03,0.0000E+00,3.7660E+03,7.5002E+02,1.6241E+02,0.0000E+00,1.6413E+03,8.2483E+02,1.2999E+03,3.2077E+02,1.4682E+02,2.3487E+02,2.0462E+01,2.7097E+01,6.7936E+01,2.8236E+01,4.4975E+01,3.3468E+00,4.4113E+00,9.0784E+00,1.7629E+00,2.6654E+00,,,,,,,,,,,
