Z,Element,1s1/2,2s1/2,3s1/2,4s1/2,5s1/2,6s1/2,7s1/2,2p1/2,2p3/2,3p1/2,3p3/2,4p1/2,4p3/2,5p1/2,5p3/2,6p1/2,6p3/2,3d3/2,3d5/2,4d3/2,4d5/2,5d3/2,5d5/2,4f5/2,4f7/2,5f5/2,5f7/2
1,H,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,He,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Li,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Be,111.5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,188,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,284.2,,,,,,,,,,,,,,,,,,,,,,,,,,
7,N,409.9,37.3,,,,,,,,,,,,,,,,,,,,,,,,,
8,O,543.1,41.6,,,,,,,,,,,,,,,,,,,,,,,,,
9,F,696.7,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ne,870.2,48.5,,,,,,21.7,21.6,,,,,,,,,,,,,,,,,,
11,Na,1070.8,63.5,,,,,,30.65,30.81,,,,,,,,,,,,,,,,,,
12,Mg,1303,88.7,,,,,,49.78,49.5,,,,,,,,,,,,,,,,,,
13,Al,1559.6,117.8,,,,,,72.95,72.55,,,,,,,,,,,,,,,,,,
14,Si,1839,149.7,,,,,,99.82,99.42,,,,,,,,,,,,,,,,,,
15,P,2145.5,189,,,,,,136,135,,,,,,,,,,,,,,,,,,
16,S,2472,230.9,,,,,,163.6,162.5,,,,,,,,,,,,,,,,,,
17,Cl,2822.4,270,,,,,,202,200,,,,,,,,,,,,,,,,,,
18,Ar,3205.9,326.3,29.3,,,,,250.6,248.4,15.9,15.7,,,,,,,,,,,,,,,,
19,K,3608.4,378.6,34.8,,,,,297.3,294.6,18.3,18.3,,,,,,,,,,,,,,,,
20,Ca,4038.5,438.4,44.3,,,,,349.7,346.2,25.4,25.4,,,,,,,,,,,,,,,,
21,Sc,4492,498,51.1,,,,,403.6,398.7,28.3,28.3,,,,,,,,,,,,,,,,
22,Ti,4966,560.9,58.7,,,,,460.2,453.8,32.6,32.6,,,,,,,,,,,,,,,,
23,V,5465,626.7,66.3,,,,,519.8,512.1,37.2,37.2,,,,,,,,,,,,,,,,
24,Cr,5989,696,74.1,,,,,583.8,574.1,42.2,42.2,,,,,,,,,,,,,,,,
25,Mn,6539,769.1,82.3,,,,,649.9,638.7,47.2,47.2,,,,,,,,,,,,,,,,
26,Fe,7112,844.6,91.3,,,,,719.9,706.8,52.7,52.7,,,,,,,,,,,,,,,,
27,Co,7709,925.1,101,,,,,793.2,778.1,58.9,59.9,,,,,,,,,,,,,,,,
28,Ni,8333,1008.6,110.8,,,,,870,852.7,68,66.2,,,,,,,,,,,,,,,,
