Z,Element,K-L3,K-L2,K-M3,K-M2,K-N3,L3-M5,L3-M4,L3-M1,L2-M4,L3-N5,L2-N4,M5-N7
53,I,100.00,54.00,18.00,9.00,5.00,100.00,11.00,4.00,61.00,19.00,8.00,
54,Xe,100.00,54.00,18.00,9.00,5.00,100.00,11.00,4.00,60.00,20.00,8.00,
55,Cs,100.00,54.00,18.00,9.00,6.00,100.00,11.00,4.00,61.00,20.00,8.00,
56,Ba,100.00,54.00,18.00,10.00,6.00,100.00,11.00,4.00,60.00,20.00,9.00,
57,La,100.00,54.00,19.00,10.00,6.00,100.00,11.00,4.00,60.00,21.00,9.00,100.00
58,Ce,100.00,55.00,19.00,10.00,6.00,100.00,11.00,4.00,61.00,21.00,9.00,100.00
59,Pr,100.00,55.00,19.00,10.00,6.00,100.00,11.00,4.00,61.00,21.00,9.00,100.00
60,Nd,100.00,55.00,19.00,10.00,6.00,100.00,11.00,4.00,60.00,21.00,10.00,100.00
61,Pm,100.00,55.00,19.00,10.00,6.00,100.00,11.00,4.00,61.00,21.00,10.00,100.00
62,Sm,100.00,55.00,19.00,10.00,6.00,100.00,11.00,4.00,61.00,21.00,10.00,100.00
63,Eu,100.00,56.00,19.00,10.00,6.00,100.00,11.00,4.00,62.00,21.00,10.00,100.00
64,Gd,100.00,56.00,20.00,10.00,7.00,100.00,11.00,4.00,62.00,21.00,11.00,100.00
65,Tb,100.00,56.00,20.00,10.00,7.00,100.00,11.00,4.00,61.00,21.00,11.00,100.00
66,Dy,100.00,56.00,20.00,10.00,7.00,100.00,11.00,4.00,62.00,20.00,11.00,100.00
67,Ho,100.00,56.00,20.00,11.00,7.00,100.00,11.00,4.00,64.00,20.00,11.00,100.00
68,Er,100.00,56.00,21.00,11.00,7.00,100.00,11.00,4.00,64.00,20.00,11.00,100.00
69,Tm,100.00,57.00,21.00,11.00,7.00,100.00,11.00,4.00,64.00,20.00,12.00,100.00
70,Yb,100.00,57.00,21.00,11.00,7.00,100.00,11.00,4.00,65.00,20.00,12.00,100.00
71,Lu,100.00,57.00,21.00,11.00,7.00,100.00,11.00,4.00,66.00,19.00,12.00,100.00
72,Hf,100.00,57.00,22.00,11.00,7.00,100.00,11.00,5.00,67.00,20.00,12.00,100.00
73,Ta,100.00,57.00,22.00,11.00,7.00,100.00,11.00,5.00,67.00,20.00,12.00,100.00
74,W,100.00,58.00,22.00,11.00,8.00,100.00,11.00,5.00,67.00,21.00,13.00,100.00
75,Re,100.00,58.00,22.00,12.00,8.00,100.00,11.00,5.00,66.00,22.00,13.00,100.00
76,Os,100.00,58.00,23.00,12.00,8.00,100.00,11.00,5.00,67.00,22.00,13.00,100.00
77,Ir,100.00,58.00,23.00,12.00,8.00,100.00,11.00,5.00,66.00,22.00,13.00,100.00
78,Pt,100.00,58.00,23.00,12.00,8.00,100.00,11.00,5.00,67.00,23.00,13.00,100.00
79,Au,100.00,59.00,23.00,12.00,8.00,100.00,11.00,5.00,67.00,23.00,13.00,100.00
80,Hg,100.00,59.00,23.00,12.00,8.00,100.00,11.00,5.00,67.00,24.00,14.00,100.00
81,Tl,100.00,60.00,23.00,12.00,8.00,100.00,11.00,6.00,67.00,25.00,14.00,100.00
82,Pb,100.00,60.00,23.00,12.00,8.00,100.00,11.00,6.00,66.00,25.00,14.00,100.00
83,Bi,100.00,60.00,23.00,12.00,9.00,100.00,11.00,6.00,67.00,25.00,14.00,100.00
84,Po,,,,,,,,,,,,
85,At,,,,,,,,,,,,
86,Rn,,,,,,,,,,,,
87,Fr,,,,,,,,,,,,
88,Ra,,,,,,,,,,,,
89,Ac,,,,,,,,,,,,
90,Th,100.00,62.00,24.00,12.00,9.00,100.00,11.00,6.00,69.00,26.00,16.00,100.00
91,Pa,,,,,,,,,,,,
92,U,100.00,62.00,24.00,13.00,9.00,100.00,11.00,7.00,61.00,26.00,15.00,100.00
