Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,4.600E-03,,,,,,,,,,,,
21.2,,,,,,3.900E-02,,1.325E+01,,,,,,,,,,
26.8,,,,,,6.400E-02,,2.605E+01,,,,,,,,,,
40.8,,,,,,7.900E-02,,4.647E+01,,,,,,,,,,
80,,,,,1.523E+00,5.400E-02,,5.681E+00,,,,,,,,,,
132.3,,,1.859E-01,,4.005E-01,2.900E-02,3.652E-01,5.407E-01,,,,,,,,,,
151.4,,,1.789E-01,,3.367E-01,2.400E-02,4.546E-01,2.865E-01,,,,,,,,,,
200,,,1.475E-01,,2.692E-01,1.700E-02,1.381E+00,1.248E-01,,,,,,,,,,
300,,,9.500E-02,,1.961E-01,9.300E-03,4.922E+00,1.332E-01,,,,,,,,,,
600,,3.398E-01,3.600E-02,6.794E-01,9.100E-02,3.200E-03,2.771E+00,1.078E-01,,,,,,,,,,
800,8.700E-02,2.701E-01,2.300E-02,6.256E-01,6.200E-02,1.900E-03,1.497E+00,7.800E-02,,,,,,,,,,
1041,6.100E-02,2.026E-01,1.500E-02,4.831E-01,4.200E-02,1.200E-03,7.678E-01,5.500E-02,,,,,,,,,,
1253.6,4.600E-02,1.593E-01,1.000E-02,3.747E-01,3.100E-02,9.900E-04,4.584E-01,4.000E-02,,,,,,,,,,
1486.6,3.600E-02,1.256E-01,8.300E-03,2.843E-01,2.400E-02,7.000E-04,2.767E-01,3.000E-02,,,,,,,,,,
8047.8,1.800E-03,5.200E-03,3.700E-04,4.400E-03,9.300E-04,3.500E-05,5.800E-04,5.400E-04,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
