Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,,1.061E+01,,,,,,,,,
21.2,,,,,,1.400E-02,,,4.721E+00,,,,,,,,,
26.8,,,,,,8.800E-02,,,2.159E+00,,,,,,,,,
40.8,,,,,,1.668E-01,,,5.898E-01,,,,,,,,,
80,,,,,,1.135E-01,,1.392E+01,1.116E-01,,,,,,,,,
132.3,,,,,5.461E-01,6.300E-02,,1.147E+00,5.000E-02,,,,,,,,,
151.4,,,1.889E-01,,4.319E-01,5.200E-02,,5.824E-01,4.400E-02,,,,,,,,,
200,,,1.723E-01,,3.356E-01,3.700E-02,,2.100E-01,3.200E-02,,,,,,,,,
300,,,1.161E-01,,2.465E-01,2.000E-02,1.933E+00,1.931E-01,2.000E-02,,,,,,,,,
600,,,4.500E-02,6.548E-01,1.177E-01,7.100E-03,3.407E+00,1.604E-01,8.100E-03,,,,,,,,,
800,8.500E-02,2.887E-01,2.800E-02,6.515E-01,8.000E-02,4.200E-03,1.977E+00,1.197E-01,5.800E-03,,,,,,,,,
1041,6.700E-02,2.206E-01,1.800E-02,5.283E-01,5.400E-02,2.600E-03,1.054E+00,8.400E-02,3.700E-03,,,,,,,,,
1253.6,5.200E-02,1.756E-01,1.300E-02,4.201E-01,4.100E-02,2.100E-03,6.431E-01,6.300E-02,2.900E-03,,,,,,,,,
1486.6,4.000E-02,1.392E-01,1.000E-02,3.262E-01,3.100E-02,1.400E-03,3.952E-01,4.800E-02,2.200E-03,,,,,,,,,
8047.8,2.000E-03,6.200E-03,4.700E-04,6.000E-03,1.200E-03,6.500E-05,9.700E-04,8.800E-04,9.400E-05,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.00E+00,6.00E+00,2.00E+00,1.00E+01,6.00E+00,2.00E+00,1.40E+01,1.00E+01,4.00E+00,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
