Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,,,,,,,
10.2,,,,,,,,,,1.600E-02,2.396E+01,,,,,,,
16.7,,,,,,,,,,9.100E-02,1.571E+01,,,,,,,
21.2,,,,,,,,,,1.008E-01,8.896E+00,,,,,,,
26.8,,,,,,,,,,1.012E-01,4.810E+00,,,,,,,
40.8,,,,,,,,,2.911E+00,7.600E-02,1.454E+00,,,,,,,
80,,,,,,2.136E-01,,,4.769E-01,3.300E-02,1.495E-01,,,,,,,
132.3,,,,,,1.309E-01,,2.758E+00,2.200E-01,1.800E-02,2.400E-02,,,,,,,
151.4,,,,,,1.101E-01,,1.399E+00,1.852E-01,1.400E-02,1.500E-02,,,,,,,
200,,,,,4.329E-01,7.500E-02,,4.056E-01,1.328E-01,9.100E-03,1.000E-02,,,,,,,
300,,,1.481E-01,,3.243E-01,4.200E-02,,2.760E-01,8.200E-02,5.000E-03,8.700E-03,,,,,,,
600,,,6.000E-02,,1.614E-01,1.400E-02,4.036E+00,2.422E-01,3.200E-02,1.800E-03,5.700E-03,,,,,,,
800,,,3.900E-02,6.692E-01,1.105E-01,8.800E-03,2.734E+00,1.843E-01,2.100E-02,9.500E-04,4.100E-03,,,,,,,
1041,,2.455E-01,2.500E-02,5.842E-01,7.500E-02,5.500E-03,1.568E+00,1.322E-01,1.400E-02,7.800E-04,2.800E-03,,,,,,,
1253.6,5.900E-02,1.993E-01,1.800E-02,4.843E-01,5.700E-02,4.000E-03,9.895E-01,1.012E-01,1.000E-02,5.500E-04,2.200E-03,,,,,,,
1486.6,4.600E-02,1.605E-01,1.400E-02,3.864E-01,4.300E-02,2.900E-03,6.243E-01,7.600E-02,8.100E-03,3.700E-04,1.600E-03,,,,,,,
8047.8,2.500E-03,8.000E-03,6.500E-04,8.700E-03,1.800E-03,1.300E-04,1.900E-03,1.600E-03,3.300E-04,1.800E-05,3.900E-05,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,2.000E+00,2.000E+00,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
