Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,6s,4f,,,,,,,,
10.2,,,,,,,,,2.800E-02,,,,,,,,,
16.7,,,,,,,,,8.400E-02,4.162E-01,,,,,,,,
21.2,,,,,,,,,9.500E-02,6.961E-01,,,,,,,,
26.8,,,,,,,,,8.300E-02,1.277E+00,,,,,,,,
40.8,,,,,,,,2.790E+00,6.500E-02,2.833E+00,,,,,,,,
80,,,,,,2.318E-01,,4.195E-01,3.100E-02,3.937E+00,,,,,,,,
132.3,,,,,,1.459E-01,,2.380E-01,1.500E-02,2.892E+00,,,,,,,,
151.4,,,,,,1.234E-01,1.239E+00,2.095E-01,1.200E-02,2.502E+00,,,,,,,,
200,,,,,,8.500E-02,4.169E-01,1.612E-01,9.000E-03,1.693E+00,,,,,,,,
300,,,1.853E-01,,4.608E-01,4.800E-02,8.653E-01,1.038E-01,4.700E-03,7.711E-01,,,,,,,,
600,,,8.200E-02,,2.612E-01,1.600E-02,6.089E-01,4.200E-02,1.600E-03,1.247E-01,,,,,,,,
800,,,5.400E-02,,1.808E-01,1.000E-02,3.927E-01,2.700E-02,9.600E-04,5.100E-02,,,,,,,,
1041,,,3.500E-02,2.014E+00,1.220E-01,6.400E-03,2.405E-01,1.800E-02,5.300E-04,2.100E-02,,,,,,,,
1253.6,,,2.600E-02,1.269E+00,9.000E-02,4.600E-03,1.620E-01,1.300E-02,4.100E-04,1.100E-02,,,,,,,,
1486.6,6.500E-02,2.757E-01,1.900E-02,8.284E-01,6.700E-02,3.400E-03,1.103E-01,9.700E-03,3.400E-04,6.300E-03,,,,,,,,
8047.8,3.400E-03,8.700E-03,8.200E-04,4.200E-03,1.800E-03,1.300E-04,8.200E-04,2.800E-04,1.600E-05,4.600E-06,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,4.000E+00,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
