Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,2.052E+01,,,,,,,,,,
21.2,,,,,,,,7.985E+00,,,,,,,,,,
26.8,,,,,,9.000E-02,,3.313E+00,,,,,,,,,,
40.8,,,,,,2.169E-01,,7.803E-01,,,,,,,,,,
80,,,,,,1.602E-01,4.203E+01,1.782E-01,,,,,,,,,,
132.3,,,,,,8.900E-02,5.542E-01,1.021E-01,,,,,,,,,,
151.4,,,,,5.219E-01,7.500E-02,3.768E-01,9.200E-02,,,,,,,,,,
200,,,2.295E-01,,4.872E-01,5.100E-02,6.968E-01,7.100E-02,,,,,,,,,,
300,,,1.565E-01,,4.102E-01,2.800E-02,8.786E-01,4.600E-02,,,,,,,,,,
600,,,6.100E-02,,1.979E-01,9.400E-03,4.089E-01,1.800E-02,,,,,,,,,,
800,,,3.900E-02,2.177E+00,1.305E-01,5.800E-03,2.394E-01,1.100E-02,,,,,,,,,,
1041,8.800E-02,3.672E-01,2.500E-02,1.182E+00,8.500E-02,3.700E-03,1.359E-01,7.600E-03,,,,,,,,,,
1253.6,6.800E-02,2.847E-01,1.800E-02,7.359E-01,6.200E-02,2.500E-03,8.700E-02,5.400E-03,,,,,,,,,,
1486.6,5.300E-02,2.186E-01,1.300E-02,4.620E-01,4.500E-02,1.900E-03,5.600E-02,3.800E-03,,,,,,,,,,
8047.8,2.400E-03,5.200E-03,5.400E-04,1.800E-03,1.000E-03,8.200E-05,3.200E-04,9.300E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,5.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
