Photon Energy / eV,1s,,,,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,3.632E+00,,,,,,,,,,,,,,,,,
21.2,1.888E+00,,,,,,,,,,,,,,,,,
26.8,9.707E-01,,,,,,,,,,,,,,,,,
40.8,2.892E-01,,,,,,,,,,,,,,,,,
80,3.800E-02,,,,,,,,,,,,,,,,,
132.3,8.200E-03,,,,,,,,,,,,,,,,,
151.4,5.100E-03,,,,,,,,,,,,,,,,,
200,2.100E-03,,,,,,,,,,,,,,,,,
300,6.100E-04,,,,,,,,,,,,,,,,,
600,7.100E-05,,,,,,,,,,,,,,,,,
800,2.900E-05,,,,,,,,,,,,,,,,,
1041,1.300E-05,,,,,,,,,,,,,,,,,
1253.6,4.600E-06,,,,,,,,,,,,,,,,,
1486.6,2.000E-06,,,,,,,,,,,,,,,,,
8047.8,2.100E-07,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,1.000E+00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
