Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,,,,,,
10.2,,,,,,,,,,1.600E-02,1.145E+01,,,,,,,
16.7,,,,,,,,,,7.700E-02,7.056E+00,,,,,,,
21.2,,,,,,,,,,9.000E-02,4.135E+00,7.113E-01,,,,,,
26.8,,,,,,,,,,8.500E-02,2.284E+00,1.370E+00,,,,,,
40.8,,,,,,,,,3.210E+00,6.700E-02,7.021E-01,6.266E+00,,,,,,
80,,,,,,2.050E-01,,,4.820E-01,3.000E-02,7.300E-01,8.435E+00,,,,,,
132.3,,,,,,1.307E-01,,3.313E+00,2.182E-01,1.600E-02,1.100E-02,1.328E+00,,,,,,
151.4,,,,,,1.111E-01,,1.948E+00,1.854E-01,1.200E-02,7.800E-03,5.475E-01,,,,,,
200,,,,,,7.700E-02,,5.143E-01,1.329E-01,8.400E-03,4.500E-03,4.100E-02,,,,,,
300,,,1.565E-01,,3.391E-01,4.300E-02,,2.825E-01,8.300E-02,4.400E-03,3.700E-03,1.011E-01,,,,,,
600,,,6.600E-02,,1.773E-01,1.500E-02,3.980E+00,2.630E-01,3.300E-02,1.500E-03,2.600E-03,1.133E-01,,,,,,
800,,,4.300E-02,,1.224E-01,9.500E-03,3.089E+00,2.040E-01,2.200E-02,8.800E-04,1.900E-03,7.300E-02,,,,,,
1041,,,2.800E-02,6.042E-01,8.500E-02,6.000E-03,1.850E+00,1.498E-01,1.400E-02,5.500E-04,1.300E-03,4.400E-02,,,,,,
1253.6,6.300E-02,2.106E-01,2.100E-02,5.116E-01,6.300E-02,4.300E-03,1.188E+00,1.147E-01,1.100E-02,4.000E-04,1.000E-03,2.900E-02,,,,,,
1486.6,5.000E-02,1.707E-01,1.500E-02,4.151E-01,4.900E-02,3.200E-03,7.617E-01,8.700E-02,8.400E-03,3.200E-04,7.400E-04,1.900E-02,,,,,,
8047.8,2.800E-03,8.900E-03,7.400E-04,1.000E-02,2.100E-03,1.600E-04,2.500E-03,2.000E-03,4.100E-04,2.600E-05,1.900E-05,9.700E-05,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,2.000E+00,1.000E+00,4.000E+00,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
