Photon Energy / eV,2s,2p,3s,3p,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,4.739E+01,,,,,,,,,,,,,,
21.2,,,,1.384E+01,,,,,,,,,,,,,,
26.8,,,,2.774E-01,,,,,,,,,,,,,,
40.8,,,4.020E-01,6.470E-01,,,,,,,,,,,,,,
80,,,3.493E-01,9.231E-01,,,,,,,,,,,,,,
132.3,,,1.925E-01,5.489E-01,,,,,,,,,,,,,,
151.4,,,1.595E-01,4.528E-01,,,,,,,,,,,,,,
200,,,1.048E-01,2.795E-01,,,,,,,,,,,,,,
300,3.355E-01,2.321E+00,5.400E-02,1.233E-01,,,,,,,,,,,,,,
600,1.291E-01,4.330E-01,1.500E-02,2.300E-02,,,,,,,,,,,,,,
800,7.800E-02,1.951E-01,9.100E-03,1.100E-02,,,,,,,,,,,,,,
1041,4.700E-02,9.100E-02,5.200E-03,5.200E-03,,,,,,,,,,,,,,
1253.6,3.200E-02,5.200E-02,3.600E-03,3.300E-03,,,,,,,,,,,,,,
1486.6,2.200E-02,3.100E-02,2.500E-03,1.900E-03,,,,,,,,,,,,,,
8047.8,3.700E-04,9.700E-05,5.500E-05,6.400E-06,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,5.000E+00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
