Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,,,,,,,,,
10.2,,,,,,,,,2.809E+01,,,,,,,,,
16.7,,,,,,,,,5.875E+00,,,,,,,,,
21.2,,,,,,2.700E-02,,,2.692E+00,,,,,,,,,
26.8,,,,,,1.008E-01,,,1.263E+00,,,,,,,,,
40.8,,,,,,1.576E-01,,8.801E+00,3.493E-01,,,,,,,,,
80,,,,,,1.014E-01,,1.107E+01,6.600E-02,,,,,,,,,
132.3,,,,,5.006E-01,5.400E-02,,9.636E-01,3.100E-02,,,,,,,,,
151.4,,,1.971E-01,,4.068E-01,4.600E-02,,4.903E-01,2.600E-02,,,,,,,,,
200,,,1.663E-01,,3.180E-01,3.200E-02,3.397E-01,1.874E-01,2.000E-02,,,,,,,,,
300,,,1.106E-01,,2.343E-01,1.700E-02,2.918E+00,1.786E-01,1.200E-02,,,,,,,,,
600,,,4.200E-02,6.606E-01,1.104E-01,6.200E-03,3.256E+00,1.480E-01,4.900E-03,,,,,,,,,
800,9.300E-02,2.839E-01,2.700E-02,6.467E-01,7.500E-02,3.900E-03,1.852E+00,1.102E-01,3.300E-03,,,,,,,,,
1041,6.500E-02,2.161E-01,1.700E-02,5.172E-01,5.100E-02,2.500E-03,9.791E-01,7.700E-02,2.200E-03,,,,,,,,,
1253.6,5.000E-02,1.715E-01,1.300E-02,4.093E-01,3.800E-02,1.700E-03,5.929E-01,5.800E-02,1.600E-03,,,,,,,,,
1486.6,3.900E-02,1.357E-01,9.700E-03,3.157E-01,2.900E-02,1.300E-03,3.632E-01,4.300E-02,1.400E-03,,,,,,,,,
8047.8,2.000E-03,6.000E-03,4.400E-04,5.500E-03,1.100E-03,6.900E-05,8.500E-04,8.000E-04,7.600E-05,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,3.000E+00,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
