Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,,,,,,,,,,
10.2,,,,,,,,1.240E+01,,,,,,,,,,
16.7,,,,,,2.900E-04,,2.635E+00,,,,,,,,,,
21.2,,,,,,6.500E-02,,1.173E+00,,,,,,,,,,
26.8,,,,,,1.382E-01,,5.375E-01,,,,,,,,,,
40.8,,,,,,1.828E-01,8.636E+00,1.432E-01,,,,,,,,,,
80,,,,,,1.058E-01,1.061E+01,3.500E-02,,,,,,,,,,
132.3,,,,,4.904E-01,5.700E-02,3.049E-01,2.100E-02,,,,,,,,,,
151.4,,,2.423E-01,,4.674E-01,4.700E-02,3.895E-01,1.800E-02,,,,,,,,,,
200,,,2.034E-01,,4.464E-01,3.200E-02,7.011E-01,1.400E-02,,,,,,,,,,
300,,,1.344E-01,,3.582E-01,1.800E-02,7.342E-01,9.600E-03,,,,,,,,,,
600,,,5.100E-02,3.238E+00,1.636E-01,6.100E-03,2.969E-01,3.700E-03,,,,,,,,,,
800,,4.622E-01,3.200E-02,1.723E+00,1.066E-01,3.700E-03,1.662E-01,2.400E-03,,,,,,,,,,
1041,8.000E-02,3.349E-01,2.000E-02,9.108E-01,6.900E-02,2.300E-03,9.100E-02,1.600E-03,,,,,,,,,,
1253.6,6.100E-02,2.550E-01,1.500E-02,5.551E-01,4.900E-02,1.600E-03,5.700E-02,1.000E-03,,,,,,,,,,
1486.6,4.700E-02,1.920E-01,1.100E-02,3.442E-01,3.500E-02,1.200E-03,3.700E-02,7.700E-04,,,,,,,,,,
8047.8,2.000E-03,4.100E-03,4.200E-04,1.200E-03,7.700E-04,5.900E-05,1.800E-04,2.000E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,2.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
