Photon Energy / eV,4s,3d,4p,5s,4d,5p,6s,4f,,,,,,,,,,
10.2,,,,,,,6.800E-03,,,,,,,,,,,
16.7,,,,,,,6.300E-02,,,,,,,,,,,
21.2,,,,,,,7.500E-02,8.948E-01,,,,,,,,,,
26.8,,,,,,,7.200E-02,1.162E+00,,,,,,,,,,
40.8,,,,,,4.550E+00,5.800E-02,2.748E+00,,,,,,,,,,
80,,,,2.096E-01,,4.631E-01,3.000E-02,6.261E+00,,,,,,,,,,
132.3,,,,1.475E-01,,2.289E-01,1.500E-02,6.392E+00,,,,,,,,,,
151.4,,,,1.290E-01,,2.047E-01,1.300E-02,6.009E+00,,,,,,,,,,
200,,,,9.100E-02,6.172E-01,1.586E-01,8.600E-03,4.865E+00,,,,,,,,,,
300,,,4.389E-01,5.200E-02,5.636E-01,1.057E-01,4.500E-03,2.827E+00,,,,,,,,,,
600,9.400E-02,,2.892E-01,1.800E-02,6.736E-01,4.600E-02,1.300E-03,6.136E-01,,,,,,,,,,
800,6.300E-02,,2.080E-01,1.100E-02,4.793E-01,3.000E-02,1.000E-03,2.721E-01,,,,,,,,,,
1041,4.200E-02,,1.458E-01,7.500E-03,3.141E-01,2.000E-02,6.200E-04,1.220E-01,,,,,,,,,,
1253.6,3.100E-02,,1.101E-01,5.500E-03,2.224E-01,1.500E-02,4.400E-04,6.600E-02,,,,,,,,,,
1486.6,2.400E-02,1.245E+00,8.400E-02,4.100E-03,1.560E-01,1.100E-02,3.100E-04,3.700E-02,,,,,,,,,,
8047.8,1.000E-03,7.600E-03,2.600E-03,1.600E-04,1.400E-03,3.600E-04,2.400E-05,5.700E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
