Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,1.500E-02,,1.346E+01,,,,,,,,,,
21.2,,,,,,5.300E-02,,2.429E+01,,,,,,,,,,
26.8,,,,,,7.300E-02,,3.676E+01,,,,,,,,,,
40.8,,,,,,8.200E-02,,2.366E+01,,,,,,,,,,
80,,,,,1.168E+00,5.100E-02,,2.379E+00,,,,,,,,,,
132.3,,,1.855E-01,,3.484E-01,2.700E-02,9.804E-01,2.324E-01,,,,,,,,,,
151.4,,,1.722E-01,,3.003E-01,2.200E-02,1.784E+00,1.296E-01,,,,,,,,,,
200,,,1.345E-01,,2.426E-01,1.500E-02,4.281E+00,6.800E-02,,,,,,,,,,
300,,,8.400E-02,,1.711E-01,8.400E-03,5.594E+00,7.800E-02,,,,,,,,,,
600,1.130E-01,3.283E-01,3.000E-02,6.900E-01,7.700E-02,3.000E-03,2.267E+00,5.900E-02,,,,,,,,,,
800,8.100E-02,2.559E-01,1.900E-02,5.974E-01,5.200E-02,1.800E-03,1.174E+00,4.300E-02,,,,,,,,,,
1041,5.600E-02,1.887E-01,1.200E-02,4.463E-01,3.500E-02,1.200E-03,5.852E-01,2.900E-02,,,,,,,,,,
1253.6,4.300E-02,1.477E-01,9.300E-03,3.389E-01,2.700E-02,8.600E-04,3.438E-01,2.200E-02,,,,,,,,,,
1486.6,3.300E-02,1.155E-01,7.000E-03,2.542E-01,2.000E-02,5.800E-04,2.043E-01,1.600E-02,,,,,,,,,,
8047.8,1.600E-03,4.500E-03,3.100E-04,3.600E-03,7.700E-04,2.700E-05,3.900E-04,2.500E-04,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.00E+00,6.00E+00,2.00E+00,1.00E+01,6.00E+00,2.00E+00,1.40E+01,7.00E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
