Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,3.496E+01,,,,,,,,,,
21.2,,,,,,,,1.287E+01,,,,,,,,,,
26.8,,,,,,6.500E-02,,5.057E+00,,,,,,,,,,
40.8,,,,,,2.146E-01,,1.149E+00,,,,,,,,,,
80,,,,,,1.768E-01,1.199E+02,2.453E-01,,,,,,,,,,
132.3,,,,,,9.900E-02,7.355E-01,1.469E-01,,,,,,,,,,
151.4,,,,,,8.300E-02,3.976E-01,1.273E-01,,,,,,,,,,
200,,,2.135E-01,,4.979E-01,5.600E-02,6.782E-01,9.700E-02,,,,,,,,,,
300,,,1.634E-01,,4.281E-01,3.200E-02,9.176E-01,6.400E-02,,,,,,,,,,
600,,,6.500E-02,,2.090E-01,1.000E-02,4.468E-01,2.500E-02,,,,,,,,,,
800,,,4.100E-02,2.356E+00,1.395E-01,6.500E-03,2.637E-01,1.600E-02,,,,,,,,,,
1041,,3.769E-01,2.600E-02,1.279E+00,9.100E-02,4.200E-03,1.506E-01,1.000E-02,,,,,,,,,,
1253.6,7.000E-02,2.939E-01,1.900E-02,8.023E-01,6.600E-02,2.900E-03,9.800E-02,7.600E-03,,,,,,,,,,
1486.6,5.500E-02,2.273E-01,1.400E-02,5.067E-01,4.800E-02,2.200E-03,6.400E-02,5.100E-03,,,,,,,,,,
8047.8,2.500E-03,5.600E-03,5.800E-04,2.000E-03,1.100E-03,8.500E-05,3.700E-04,1.200E-04,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,6.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
