Photon Energy / eV,2s,2p,3s,3p,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,1.822E+01,,,,,,,,,,,,,,
21.2,,,,4.333E+00,,,,,,,,,,,,,,
26.8,,,2.482E-01,9.827E-01,,,,,,,,,,,,,,
40.8,,,4.493E-01,6.028E-01,,,,,,,,,,,,,,
80,,,3.150E-01,6.814E-01,,,,,,,,,,,,,,
132.3,,,1.637E-01,3.610E-01,,,,,,,,,,,,,,
151.4,,,1.341E-01,2.896E-01,,,,,,,,,,,,,,
200,,3.799E+00,8.600E-02,1.716E-01,,,,,,,,,,,,,,
300,3.134E-01,1.920E+00,4.400E-02,7.400E-02,,,,,,,,,,,,,,
600,1.141E-01,3.315E-01,1.200E-02,1.300E-02,,,,,,,,,,,,,,
800,6.700E-02,1.475E-01,7.200E-03,6.500E-03,,,,,,,,,,,,,,
1041,4.000E-02,6.700E-02,4.300E-03,2.900E-03,,,,,,,,,,,,,,
1253.6,2.700E-02,3.800E-02,2.800E-03,1.700E-03,,,,,,,,,,,,,,
1486.6,1.900E-02,2.200E-02,1.900E-03,1.000E-03,,,,,,,,,,,,,,
8047.8,3.000E-04,6.600E-05,3.400E-05,4.600E-06,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,4.000E+00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
