Photon Energy / eV,2s,2p,3s,3p,4s,3d,4p,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,9.345E+00,,,,,,,,,,,
21.2,,,,,2.400E-03,,3.856E+00,,,,,,,,,,,
26.8,,,,,8.400E-02,,1.509E+00,,,,,,,,,,,
40.8,,,,,2.085E-01,,2.949E-01,,,,,,,,,,,
80,,,,,1.598E-01,4.717E+00,8.100E-02,,,,,,,,,,,
132.3,,,,,8.800E-02,7.088E+00,6.100E-02,,,,,,,,,,,
151.4,,,,4.709E-01,7.200E-02,6.578E+00,5.500E-02,,,,,,,,,,,
200,,,2.489E-01,6.914E-01,4.900E-02,4.871E+00,4.300E-02,,,,,,,,,,,
300,,,1.945E-01,7.022E-01,2.700E-02,2.357E+00,2.800E-02,,,,,,,,,,,
600,,,8.100E-02,3.186E-01,9.100E-03,4.227E-01,1.000E-02,,,,,,,,,,,
800,,,5.100E-02,1.960E-01,5.600E-03,1.827E-01,5.900E-03,,,,,,,,,,,
1041,,,3.300E-02,1.179E-01,3.500E-03,8.000E-02,3.400E-03,,,,,,,,,,,
1253.6,,,2.400E-02,7.900E-02,2.400E-03,4.400E-02,2.300E-03,,,,,,,,,,,
1486.6,8.600E-02,5.581E-01,1.800E-02,5.400E-02,1.800E-03,2.500E-02,1.700E-03,,,,,,,,,,,
8047.8,3.500E-03,4.000E-03,5.600E-04,5.400E-04,6.500E-05,3.700E-05,1.700E-05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,2.000E+00,1.000E+01,3.000E+00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
