Photon Energy / eV,4s,3d,4p,5s,4d,5p,6s,4f,,,,,,,,,,
10.2,,,,,,,4.500E-03,,,,,,,,,,,
16.7,,,,,,,6.000E-02,,,,,,,,,,,
21.2,,,,,,,7.200E-02,9.610E-01,,,,,,,,,,
26.8,,,,,,,7.000E-02,1.170E+00,,,,,,,,,,
40.8,,,,,,4.933E+00,5.600E-02,2.659E+00,,,,,,,,,,
80,,,,2.046E-01,,4.746E-01,2.900E-02,6.330E+00,,,,,,,,,,
132.3,,,,1.473E-01,,2.272E-01,1.500E-02,6.747E+00,,,,,,,,,,
151.4,,,,1.292E-01,,2.028E-01,1.300E-02,6.420E+00,,,,,,,,,,
200,,,,9.200E-02,7.348E-01,1.578E-01,8.300E-03,5.334E+00,,,,,,,,,,
300,,,4.375E-01,5.300E-02,5.089E-01,1.057E-01,4.300E-03,3.223E+00,,,,,,,,,,
600,9.500E-02,,2.923E-01,1.800E-02,6.773E-01,4.600E-02,1.400E-03,7.368E-01,,,,,,,,,,
800,6.400E-02,,2.115E-01,1.100E-02,4.889E-01,3.000E-02,1.000E-03,3.311E-01,,,,,,,,,,
1041,4.300E-02,,1.494E-01,7.600E-03,3.263E-01,2.000E-02,5.300E-04,1.503E-01,,,,,,,,,,
1253.6,3.200E-02,,1.130E-01,5.600E-03,2.310E-01,1.500E-02,3.900E-04,8.200E-02,,,,,,,,,,
1486.6,2.400E-02,1.327E+00,8.600E-02,4.200E-03,1.646E-01,1.100E-02,2.700E-04,4.600E-02,,,,,,,,,,
8047.8,1.100E-03,8.400E-03,2.800E-03,1.800E-04,1.600E-03,3.700E-04,1.600E-05,6.600E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.100E+01,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
