Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,,,,,,,,,,,
10.2,,,,,,4.600E-03,,,,,,,,,,,,
16.7,,,,,,2.700E-02,1.925E+01,,,,,,,,,,,
21.2,,,,,,3.600E-02,2.563E+01,,,,,,,,,,,
26.8,,,,,,4.200E-02,3.128E+01,,,,,,,,,,,
40.8,,,,,,3.800E-02,2.059E+01,,,,,,,,,,,
80,,,2.667E-01,,7.311E-01,2.200E-02,5.878E-01,,,,,,,,,,,
132.3,,,2.353E-01,,4.285E-01,1.200E-02,2.847E-01,,,,,,,,,,,
151.4,,,2.145E-01,,4.156E-01,1.000E-02,3.560E-01,,,,,,,,,,,
200,,,1.620E-01,,3.681E-01,6.600E-03,4.064E-01,,,,,,,,,,,
300,,,9.800E-02,1.898E-01,2.648E-01,3.600E-03,3.059E-01,,,,,,,,,,,
600,1.352E-01,5.346E-01,3.400E-02,1.948E+00,1.078E-01,1.100E-03,9.200E-02,,,,,,,,,,,
800,9.400E-02,3.859E-01,2.100E-02,9.758E-01,6.700E-02,7.400E-04,4.800E-02,,,,,,,,,,,
1041,6.400E-02,2.602E-01,1.300E-02,4.827E-01,4.200E-02,4.700E-04,2.400E-02,,,,,,,,,,,
1253.6,4.700E-02,1.899E-01,9.600E-03,2.836E-01,3.000E-02,3.600E-04,1.500E-02,,,,,,,,,,,
1486.6,3.600E-02,1.387E-01,7.100E-03,1.717E-01,2.100E-02,2.200E-04,9.100E-03,,,,,,,,,,,
8047.8,1.400E-03,2.300E-03,2.700E-04,4.600E-04,3.900E-04,1.300E-05,2.800E-05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,1.000E+00,7.000E+00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
