Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,,,,,,,,,,,
10.2,,,,,,5.000E-07,1.526E+01,,,,,,,,,,,
16.7,,,,,,3.300E-02,2.349E+01,,,,,,,,,,,
21.2,,,,,,4.000E-02,2.627E+01,,,,,,,,,,,
26.8,,,,,,4.300E-02,2.396E+01,,,,,,,,,,,
40.8,,,,,,3.800E-02,8.492E+00,,,,,,,,,,,
80,,,2.727E-01,,5.983E-01,2.100E-02,1.530E-01,,,,,,,,,,,
132.3,,,2.249E-01,,4.100E-01,1.100E-02,2.234E-01,,,,,,,,,,,
151.4,,,1.982E-01,,3.913E-01,9.400E-03,2.544E-01,,,,,,,,,,,
200,,,1.469E-01,,3.346E-01,6.400E-03,2.574E-01,,,,,,,,,,,
300,,,8.500E-02,4.361E+00,2.306E-01,3.300E-03,1.722E-01,,,,,,,,,,,
600,1.269E-01,5.069E-01,2.900E-02,1.588E+00,9.000E-02,1.100E-03,4.700E-02,,,,,,,,,,,
800,8.600E-02,3.533E-01,1.700E-02,7.731E-01,5.600E-02,6.800E-04,2.300E-02,,,,,,,,,,,
1041,5.800E-02,2.335E-01,1.100E-02,3.748E-01,3.500E-02,4.000E-04,1.200E-02,,,,,,,,,,,
1253.6,4.300E-02,1.683E-01,8.200E-03,2.186E-01,2.400E-02,2.700E-04,7.400E-03,,,,,,,,,,,
1486.6,3.200E-02,1.211E-01,6.000E-03,1.303E-01,1.700E-02,2.300E-04,4.600E-03,,,,,,,,,,,
8047.8,1.200E-03,1.800E-03,2.100E-04,3.300E-04,2.900E-04,1.200E-05,1.800E-05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,1.000E+00,5.000E+00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
