Photon Energy / eV,3s,3p,4s,3d,4p,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,6.524E+01,,,,,,,,,,,,,
21.2,,,,,2.851E+01,,,,,,,,,,,,,
26.8,,,,,9.991E+00,,,,,,,,,,,,,
40.8,,,1.634E-01,,1.578E+00,,,,,,,,,,,,,
80,,,2.157E-01,,2.659E-01,,,,,,,,,,,,,
132.3,,,1.316E-01,3.619E+00,2.082E-01,,,,,,,,,,,,,
151.4,,,1.120E-01,5.032E+00,1.943E-01,,,,,,,,,,,,,
200,,,7.600E-02,5.691E+00,1.551E-01,,,,,,,,,,,,,
300,2.174E-01,7.139E-01,4.200E-02,3.468E+00,9.900E-02,,,,,,,,,,,,,
600,9.600E-02,3.872E-01,1.300E-02,7.182E-01,3.600E-02,,,,,,,,,,,,,
800,6.300E-02,2.471E-01,8.800E-03,3.234E-01,2.200E-02,,,,,,,,,,,,,
1041,4.100E-02,1.541E-01,5.400E-03,1.475E-01,1.300E-02,,,,,,,,,,,,,
1253.6,3.000E-02,1.063E-01,3.900E-03,8.300E-02,9.500E-03,,,,,,,,,,,,,
1486.6,2.200E-02,7.400E-02,2.900E-03,4.700E-02,6.300E-03,,,,,,,,,,,,,
8047.8,7.400E-04,8.600E-04,1.000E-04,8.200E-05,9.100E-05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
