Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,,,,,,
10.2,,,,,,,,,,2.000E-02,1.205E+01,,,,,,,
16.7,,,,,,,,,,8.100E-02,6.702E+00,,,,,,,
21.2,,,,,,,,,,9.400E-02,3.872E+00,6.278E-01,,,,,,
26.8,,,,,,,,,,8.800E-02,2.138E+00,1.674E+00,,,,,,
40.8,,,,,,,,,2.853E+00,6.900E-02,6.557E-01,5.012E+00,,,,,,
80,,,,,,2.033E-01,,,4.557E-01,2.900E-02,6.800E-02,3.407E+00,,,,,,
132.3,,,,,,1.258E-01,,3.060E+00,2.093E-01,1.600E-02,1.000E-02,4.038E-01,,,,,,
151.4,,,,,,1.060E-01,,1.560E+00,1.757E-01,1.300E-02,7.200E-03,1.540E-01,,,,,,
200,,,,,4.331E-01,7.300E-02,,4.324E-01,1.271E-01,8.200E-03,4.300E-03,1.300E-02,,,,,,
300,,,1.495E-01,,3.272E-01,4.100E-02,,2.748E-01,7.800E-02,4.500E-03,3.700E-03,5.200E-02,,,,,,
600,,,6.200E-02,,1.661E-01,1.300E-02,4.076E+00,2.474E-01,3.100E-02,1.600E-03,2.500E-03,4.900E-02,,,,,,
800,,,4.000E-02,6.768E-01,1.141E-01,8.700E-03,2.856E+00,1.897E-01,2.000E-02,9.100E-04,1.900E-03,3.100E-02,,,,,,
1041,,2.488E-01,2.600E-02,5.911E-01,7.800E-02,5.600E-03,1.659E+00,1.369E-01,1.400E-02,5.700E-04,1.300E-03,1.800E-02,,,,,,
1253.6,6.100E-02,2.031E-01,1.900E-02,4.938E-01,5.900E-02,4.000E-03,1.054E+00,1.051E-01,1.000E-02,4.600E-04,9.300E-04,1.200E-02,,,,,,
1486.6,4.700E-02,1.639E-01,1.400E-02,3.961E-01,4.500E-02,3.000E-03,6.681E-01,7.900E-02,7.800E-03,3.600E-04,7.500E-04,8.000E-03,,,,,,
8047.8,2.600E-03,8.300E-03,6.800E-04,9.200E-03,1.900E-03,1.400E-04,2.100E-03,1.700E-03,3.600E-04,2.000E-05,2.300E-05,4.000E-05,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.00E+00,6.00E+00,2.00E+00,1.00E+01,6.00E+00,2.00E+00,1.40E+01,1.00E+01,6.00E+00,2.00E+00,1.00E+00,2.00E+00,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
