Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,,,,,,,,,,,
10.2,,,,,,7.100E-04,1.760E+01,,,,,,,,,,,
16.7,,,,,,3.600E-02,2.252E+01,,,,,,,,,,,
21.2,,,,,,4.000E-02,2.210E+01,,,,,,,,,,,
26.8,,,,,,4.400E-02,1.669E+01,,,,,,,,,,,
40.8,,,,,,3.800E-02,4.657E+00,,,,,,,,,,,
80,,,2.726E-01,,5.463E-01,2.000E-02,7.900E-02,,,,,,,,,,,
132.3,,,2.149E-01,,3.940E-01,1.000E-02,1.778E-01,,,,,,,,,,,
151.4,,,1.878E-01,,3.724E-01,8.600E-03,1.910E-01,,,,,,,,,,,
200,,,1.376E-01,,3.139E-01,6.200E-03,1.840E-01,,,,,,,,,,,
300,,,7.900E-02,4.551E+00,2.122E-01,3.100E-03,1.170E-01,,,,,,,,,,,
600,1.224E-01,4.908E-01,2.600E-02,1.418E+00,8.200E-02,1.100E-03,3.000E-02,,,,,,,,,,,
800,8.200E-02,3.359E-01,1.600E-02,6.815E-01,5.100E-02,5.800E-04,1.500E-02,,,,,,,,,,,
1041,5.500E-02,2.202E-01,1.000E-02,3.275E-01,3.100E-02,4.200E-04,7.900E-03,,,,,,,,,,,
1253.6,4.100E-02,1.572E-01,7.400E-03,1.900E-01,2.200E-02,2.400E-04,4.600E-03,,,,,,,,,,,
1486.6,3.000E-02,1.130E-01,5.400E-03,1.124E-01,1.500E-02,1.800E-04,2.600E-03,,,,,,,,,,,
8047.8,1.100E-03,1.500E-03,2.000E-04,2.800E-04,2.400E-04,7.700E-06,1.000E-05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,1.000E+00,4.000E+00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
