Photon Energy / eV,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,,,,,,,
10.2,,,,,,,,,2.800E-03,8.993E+00,,,,,,,,
16.7,,,,,,,,,6.500E-02,7.258E+00,,,,,,,,
21.2,,,,,,,,,7.100E-02,4.684E+00,,,,,,,,
26.8,,,,,,,,,7.900E-02,2.702E+00,,,,,,,,
40.8,,,,,,,,5.044E+00,6.300E-02,8.682E-01,2.357E+00,,,,,,,
80,,,,,1.861E-01,,,5.739E-01,2.800E-02,9.500E-02,1.810E+01,,,,,,,
132.3,,,,,1.358E-01,,,2.336E-01,1.400E-02,1.400E-02,1.816E+01,,,,,,,
151.4,,,,,1.194E-01,,,1.982E-01,1.200E-02,9.100E-03,1.098E+01,,,,,,,
200,,,,,8.500E-02,,1.082E+00,1.443E-01,9.300E-03,4.600E-03,1.816E+00,,,,,,,
300,,,,3.693E-01,5.000E-02,,3.006E-01,9.100E-02,4.500E-03,3.400E-03,1.466E-01,,,,,,,
600,,8.200E-02,,2.160E-01,1.800E-02,,3.092E-01,3.900E-02,1.800E-03,2.400E-03,5.021E-01,,,,,,,
800,,5.500E-02,,1.563E-01,1.100E-02,2.274E+00,2.567E-01,2.600E-02,9.200E-04,1.800E-03,3.823E-01,,,,,,,
1041,,3.700E-02,,1.106E-01,7.400E-03,2.772E+00,1.967E-01,1.700E-02,7.500E-04,1.300E-03,2.552E-01,,,,,,,
1253.6,,2.700E-02,5.732E-01,8.500E-02,5.400E-03,1.879E+00,1.558E-01,1.300E-02,4.100E-04,1.100E-03,1.782E-01,,,,,,,
1486.6,1.984E-01,2.100E-02,4.875E-01,6.500E-02,4.100E-03,1.257E+00,1.218E-01,1.000E-02,2.800E-04,8.200E-04,1.229E-01,,,,,,,
8047.8,1.100E-02,1.000E-03,1.500E-02,3.100E-03,1.800E-04,5.500E-03,3.600E-03,5.100E-04,3.700E-05,2.900E-05,8.200E-04,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,2.000E+00,1.000E+00,1.300E+01,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
