Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,,,,,,,,,,
10.2,,,,,,1.400E-02,,1.075E+01,,,,,,,,,,
16.7,,,,,,4.700E-02,,1.344E+01,,,,,,,,,,
21.2,,,,,,7.000E-02,,1.105E+01,,,,,,,,,,
26.8,,,,,,8.400E-02,,7.302E+00,,,,,,,,,,
40.8,,,,,,7.600E-02,9.905E-01,2.598E+00,,,,,,,,,,
80,,,1.863E-01,,6.695E-01,3.800E-02,2.997E+00,2.467E-01,,,,,,,,,,
132.3,,,1.621E-01,,2.619E-01,1.900E-02,6.265E+00,2.500E-02,,,,,,,,,,
151.4,,,1.434E-01,,2.296E-01,1.600E-02,6.688E+00,1.400E-02,,,,,,,,,,
200,,,1.073E-01,,1.828E-01,1.100E-02,6.668E+00,1.000E-02,,,,,,,,,,
300,,,6.300E-02,3.136E-01,1.254E-01,5.900E-03,4.979E+00,1.200E-02,,,,,,,,,,
600,1.036E-01,3.068E-01,2.200E-02,6.809E-01,5.500E-02,2.000E-03,1.470E+00,9.300E-03,,,,,,,,,,
800,7.200E-02,2.307E-01,1.400E-02,5.414E-01,3.700E-02,1.300E-03,7.139E-01,6.900E-03,,,,,,,,,,
1041,4.900E-02,1.670E-01,9.300E-03,3.805E-01,2.500E-02,8.000E-04,3.396E-01,4.500E-03,,,,,,,,,,
1253.6,3.700E-02,1.289E-01,6.900E-03,2.819E-01,1.800E-02,6.500E-04,1.922E-01,3.300E-03,,,,,,,,,,
1486.6,2.800E-02,9.900E-02,5.200E-03,2.049E-01,1.400E-02,4.700E-04,1.108E-01,2.400E-03,,,,,,,,,,
8047.8,1.300E-03,3.600E-03,2.200E-04,2.400E-03,5.200E-04,2.200E-05,1.600E-04,3.300E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,2.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
