Photon Energy / eV,2s,2p,3s,3p,4s,3d,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,7.800E-03,,,,,,,,,,,,,
21.2,,,,,5.700E-02,3.572E+00,,,,,,,,,,,,
26.8,,,,,1.025E-01,4.440E+00,,,,,,,,,,,,
40.8,,,,,1.163E-01,7.292E+00,,,,,,,,,,,,
80,,,,,7.200E-02,8.895E+00,,,,,,,,,,,,
132.3,,,,5.345E-01,4.000E-02,6.052E+00,,,,,,,,,,,,
151.4,,,2.814E-01,6.509E-01,3.400E-02,5.059E+00,,,,,,,,,,,,
200,,,2.480E-01,7.784E-01,2.300E-02,3.237E+00,,,,,,,,,,,,
300,,,1.705E-01,6.466E-01,1.200E-02,1.380E+00,,,,,,,,,,,,
600,,,6.600E-02,2.527E-01,4.300E-03,2.086E-01,,,,,,,,,,,,
800,,,4.200E-02,1.485E-01,2.300E-03,8.700E-02,,,,,,,,,,,,
1041,,7.746E-01,2.700E-02,8.600E-02,1.600E-03,4.000E-02,,,,,,,,,,,,
1253.6,1.036E-01,6.057E-01,1.900E-02,5.600E-02,1.100E-03,2.100E-02,,,,,,,,,,,,
1486.6,7.900E-02,3.907E-01,1.400E-02,3.700E-02,7.800E-04,1.200E-02,,,,,,,,,,,,
8047.8,2.700E-03,2.400E-03,3.900E-04,3.100E-04,2.400E-05,4.700E-06,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,2.000E+00,1.000E+01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
