Photon Energy / eV,2s,2p,3s,3p,4s,3d,,,,,,,,,,,,
10.2,,,,,1.900E-02,,,,,,,,,,,,,
16.7,,,,,1.053E-01,3.910E+00,,,,,,,,,,,,
21.2,,,,,1.532E-01,5.344E+00,,,,,,,,,,,,
26.8,,,,,1.607E-01,6.959E+00,,,,,,,,,,,,
40.8,,,,,1.389E-01,8.354E+00,,,,,,,,,,,,
80,,,,6.563E-01,7.300E-02,5.047E+00,,,,,,,,,,,,
132.3,,,3.371E-01,1.057E+00,3.600E-02,2.130E+00,,,,,,,,,,,,
151.4,,,3.094E-01,1.049E+00,3.100E-02,1.607E+00,,,,,,,,,,,,
200,,,2.354E-01,8.972E-01,2.000E-02,8.338E-01,,,,,,,,,,,,
300,,,1.422E-01,5.588E-01,1.100E-02,2.812E-01,,,,,,,,,,,,
600,,,4.800E-02,1.633E-01,3.300E-03,3.400E-02,,,,,,,,,,,,
800,1.544E-01,9.533E-01,2.900E-02,8.700E-02,1.900E-03,1.300E-02,,,,,,,,,,,,
1041,1.051E-01,4.936E-01,1.800E-02,4.600E-02,1.100E-03,5.200E-03,,,,,,,,,,,,
1253.6,7.700E-02,3.011E-01,1.200E-02,2.900E-02,9.200E-04,2.600E-03,,,,,,,,,,,,
1486.6,5.700E-02,1.878E-01,9.100E-03,1.900E-02,5.800E-04,1.400E-03,,,,,,,,,,,,
8047.8,1.500E-03,9.500E-04,2.200E-04,1.200E-04,1.400E-05,2.000E-06,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,2.000E+00,5.000E+00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
