Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,,,,,,,,,,
10.2,,,,,,3.300E-02,,,,,,,,,,,,
16.7,,,,,,4.000E-02,,1.903E+01,,,,,,,,,,
21.2,,,,,,6.900E-02,,1.844E+01,,,,,,,,,,
26.8,,,,,,8.200E-02,,1.338E+01,,,,,,,,,,
40.8,,,,,,7.900E-02,,4.898E+00,,,,,,,,,,
80,,,1.856E-01,,7.567E-01,4.300E-02,1.722E+00,4.606E-01,,,,,,,,,,
132.3,,,1.686E-01,,2.805E-01,2.200E-02,5.297E+00,4.700E-02,,,,,,,,,,
151.4,,,1.503E-01,,2.467E-01,1.700E-02,6.013E+00,2.700E-02,,,,,,,,,,
200,,,1.133E-01,,1.945E-01,1.200E-02,6.537E+00,1.900E-02,,,,,,,,,,
300,,,6.700E-02,2.996E-01,1.338E-01,6.500E-03,5.202E+00,2.200E-02,,,,,,,,,,
600,1.060E-01,3.111E-01,2.400E-02,6.849E-01,5.900E-02,2.100E-03,1.617E+00,1.600E-02,,,,,,,,,,
800,7.300E-02,2.356E-01,1.500E-02,5.533E-01,4.000E-02,1.300E-03,7.959E-01,1.100E-02,,,,,,,,,,
1041,5.000E-02,1.712E-01,9.900E-03,3.936E-01,2.700E-02,9.200E-04,3.824E-01,8.100E-03,,,,,,,,,,
1253.6,3.800E-02,1.326E-01,7.400E-03,2.930E-01,2.000E-02,6.400E-04,2.194E-01,5.900E-03,,,,,,,,,,
1486.6,2.900E-02,1.026E-01,5.500E-03,2.145E-01,1.500E-02,5.400E-04,1.274E-01,4.200E-03,,,,,,,,,,
8047.8,1.400E-03,3.700E-03,2.300E-04,2.600E-03,5.700E-04,3.900E-05,1.900E-04,6.500E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,3.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
