Photon Energy / eV,2s,2p,3s,3p,4s,3d,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,1.700E-03,,,,,,,,,,,,,
21.2,,,,,4.800E-02,,,,,,,,,,,,,
26.8,,,,,1.183E-01,,,,,,,,,,,,,
40.8,,,,,1.704E-01,3.626E+00,,,,,,,,,,,,
80,,,,,1.085E-01,8.393E+00,,,,,,,,,,,,
132.3,,,,4.834E-01,5.700E-02,6.685E+00,,,,,,,,,,,,
151.4,,,,5.886E-01,4.700E-02,5.719E+00,,,,,,,,,,,,
200,,,2.546E-01,7.559E-01,3.100E-02,3.797E+00,,,,,,,,,,,,
300,,,1.792E-01,6.645E-01,1.700E-02,1.686E+00,,,,,,,,,,,,
600,,,7.100E-02,2.751E-01,5.800E-03,2.744E-01,,,,,,,,,,,,
800,,,4.500E-02,1.636E-01,3.700E-03,1.150E-01,,,,,,,,,,,,
1041,,,2.800E-02,9.500E-02,2.300E-03,5.000E-02,,,,,,,,,,,,
1253.6,,6.851E-01,2.100E-02,6.400E-02,1.700E-03,2.600E-02,,,,,,,,,,,,
1486.6,8.300E-02,4.412E-01,1.500E-02,4.300E-02,1.200E-03,1.400E-02,,,,,,,,,,,,
8047.8,3.000E-03,2.900E-03,4.500E-04,3.900E-04,3.400E-05,1.700E-05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,2.000E+00,1.000E+01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
