Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,,,,,,,,,,,
10.2,,,,,,9.800E-03,,,,,,,,,,,,
16.7,,,,,,2.400E-02,1.638E+01,,,,,,,,,,,
21.2,,,,,,3.400E-02,2.275E+01,,,,,,,,,,,
26.8,,,,,,4.000E-02,3.034E+01,,,,,,,,,,,
40.8,,,,,,3.700E-02,2.783E+01,,,,,,,,,,,
80,,,,,8.206E-01,2.300E-02,1.087E+00,,,,,,,,,,,
132.3,,,2.362E-01,,4.335E-01,1.200E-02,2.930E-01,,,,,,,,,,,
151.4,,,2.192E-01,,4.211E-01,1.000E-02,3.910E-01,,,,,,,,,,,
200,,,1.689E-01,,3.817E-01,6.800E-03,4.811E-01,,,,,,,,,,,
300,,,1.045E-01,,2.800E-01,3.800E-03,3.817E-01,,,,,,,,,,,
600,1.418E-01,5.498E-01,3.600E-02,2.133E+00,1.159E-01,1.200E-03,1.209E-01,,,,,,,,,,,
800,9.700E-02,4.003E-01,2.200E-02,1.087E+00,7.300E-02,7.400E-04,6.300E-02,,,,,,,,,,,
1041,6.700E-02,2.737E-01,1.400E-02,5.429E-01,4.600E-02,5.100E-04,3.300E-02,,,,,,,,,,,
1253.6,5.000E-02,2.009E-01,1.000E-02,3.210E-01,3.200E-02,3.400E-04,2.000E-02,,,,,,,,,,,
1486.6,3.800E-02,1.475E-01,7.600E-03,1.949E-01,2.300E-02,2.300E-04,1.200E-02,,,,,,,,,,,
8047.8,1.500E-03,2.600E-03,2.800E-04,5.500E-04,4.300E-04,1.100E-05,6.300E-05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,1.000E+00,8.000E+00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
